Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SNT,2008-02-15,Y,0.11,0.11,0.12,0.11,9.09,0.12,9.09,35,0.18,0.11,63.63,0.17,54.54
SNT,2008-05-16,Y,0.19,0.2,0.21,0.19,10.52,0.2,5.26,35,0.33,0.17,73.68,0.28,47.36
SNT,2008-09-29,Y,0.2,0.18,0.22,0.18,-10.0,0.22,9.99,18,0.22,0.08,-60.0,0.14,-30.0
SNT,2008-11-14,Y,0.17,0.15,0.15,0.12,-29.41,0.14,-17.64,7,0.15,0.08,-52.94,0.1,-41.17
SNT,2009-02-18,Y,0.07,0.07,0.07,0.06,-14.28,0.06,-14.28,2,0.08,0.06,14.28,0.08,14.28
SNT,2009-09-28,Y,0.48,0.5,0.5,0.46,4.16,0.49,2.08,18,0.5,0.38,-20.83,0.4,-16.66
SNT,2010-05-18,Y,0.61,0.6,0.65,0.6,6.55,0.61,,3,0.65,0.5,-18.03,0.53,-13.11
SNT,2010-09-28,Y,0.28,0.28,0.32,0.28,14.28,0.3,7.14,17,0.33,0.27,17.85,0.27,-3.57
SNT,2010-11-15,Y,0.27,0.26,0.26,0.25,-7.4,0.26,-3.7,4,0.28,0.25,-7.4,0.26,-3.7
SNT,2011-02-10,Y,0.28,0.28,0.3,0.28,3.44,0.28,,8,0.31,0.28,6.89,0.3,3.44
SNT,2011-09-29,N,0.2,0.2,0.21,0.2,4.99,0.21,4.99,22,0.24,0.18,19.99,0.19,-5.0
SNT,2011-11-15,N,0.2,0.2,0.2,0.2,,0.2,,3,0.22,0.2,9.99,0.22,9.99
SNT,2012-02-15,N,0.25,0.26,0.26,0.24,4.0,0.24,-4.0,2,0.26,0.23,-7.99,0.23,-7.99
SNT,2012-09-18,Y,0.21,0.21,0.22,0.21,4.76,0.21,,3,0.22,0.2,4.76,0.22,4.76
SNT,2012-11-15,N,0.19,0.19,0.19,0.19,,0.19,,1,0.19,0.16,-15.78,0.16,-15.78
SNT,2021-11-16,N,4.03,4.0,4.06,3.89,-3.47,3.92,-2.72,4,4.06,3.75,-6.94,3.81,-5.45
SNT,2022-05-26,N,2.02,1.97,2.08,1.97,2.97,2.02,0.0,23,2.2,1.95,8.91,1.96,-2.97
SNT,2022-12-22,N,1.22,1.42,1.42,1.32,16.39,1.35,10.65,30,1.42,1.24,16.39,1.36,11.47
