Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SNX,2004-01-08,Y,16.64,20.0,19.2,17.6,15.31,19.0,14.11,8,19.85,17.6,19.21,18.7,12.31
SNX,2004-03-25,Y,18.25,18.89,19.14,18.14,4.87,18.23,-0.05,22,21.0,18.14,15.06,19.67,7.78
SNX,2004-06-24,Y,17.02,17.2,17.39,16.2,-4.81,16.3,-4.17,22,17.39,14.58,-14.33,14.8,-13.04
SNX,2004-09-29,Y,16.1,17.05,17.94,17.05,11.42,17.7,9.93,16,18.88,17.05,17.26,18.37,14.09
SNX,2005-01-12,Y,22.21,23.5,23.82,22.6,7.24,23.25,4.68,9,23.82,21.5,7.24,21.92,-1.3
SNX,2005-03-29,Y,18.55,17.89,17.91,17.1,-7.86,17.42,-6.14,17,17.91,16.3,-12.17,16.43,-11.47
SNX,2005-06-28,Y,18.0,18.14,18.7,17.6,3.88,17.66,-1.88,17,18.7,17.45,3.88,18.3,1.66
SNX,2006-01-11,N,16.51,17.39,18.64,17.2,12.9,18.55,12.41,9,18.75,17.2,13.56,18.21,10.29
SNX,2006-03-23,Y,18.48,19.2,19.95,19.0,7.95,19.75,6.87,29,19.98,17.84,8.11,18.75,1.46
SNX,2006-06-22,Y,17.82,18.5,19.95,18.5,11.95,19.29,8.24,29,20.57,18.11,15.43,20.54,15.26
SNX,2006-09-21,Y,22.99,24.1,24.44,22.41,6.3,22.91,-0.34,29,24.44,22.35,6.3,22.73,-1.13
SNX,2007-01-09,Y,21.9,21.0,21.38,20.05,-8.44,20.25,-7.53,10,21.38,19.28,-11.96,19.6,-10.5
SNX,2007-03-22,Y,19.73,22.25,22.46,21.24,13.77,22.25,12.71,29,22.46,20.41,13.77,21.09,6.83
SNX,2007-06-25,Y,21.53,20.85,21.56,19.45,-9.66,21.43,-0.46,25,21.59,19.45,-9.66,21.1,-1.99
SNX,2007-09-24,Y,21.15,19.37,21.36,19.36,-8.46,20.96,-0.89,25,22.23,19.36,-8.46,21.79,3.02
SNX,2008-01-10,Y,19.26,21.85,23.38,20.0,21.39,20.69,7.42,8,23.81,20.0,23.62,21.52,11.73
SNX,2008-06-26,Y,25.79,25.1,25.96,24.84,-3.68,25.58,-0.81,22,26.11,22.66,-12.13,23.97,-7.05
SNX,2008-09-25,Y,20.64,20.83,23.32,20.66,12.98,23.14,12.11,22,23.32,15.37,-25.53,16.57,-19.67
SNX,2009-01-08,Y,12.35,14.4,15.5,13.75,25.5,13.76,11.41,8,15.5,13.45,25.5,13.6,10.12
SNX,2009-03-26,Y,16.18,18.46,20.71,18.46,27.99,20.14,24.47,22,20.71,18.02,27.99,19.69,21.69
SNX,2009-06-30,Y,24.99,26.06,28.36,25.95,13.48,28.22,12.92,17,29.24,25.95,17.0,28.34,13.4
SNX,2009-09-21,Y,32.14,32.95,33.02,30.8,-4.16,31.81,-1.02,25,33.02,28.88,-10.14,29.64,-7.77
SNX,2010-01-05,Y,32.09,32.01,32.2,29.96,-6.63,30.12,-6.13,10,32.2,28.67,-10.65,29.11,-9.28
SNX,2010-03-25,Y,31.75,31.0,31.2,29.23,-7.93,29.27,-7.81,22,31.2,28.67,-9.7,29.18,-8.09
SNX,2010-06-24,Y,25.39,25.75,26.99,25.52,6.3,26.58,4.68,22,27.25,24.5,7.32,25.3,-0.35
SNX,2010-09-29,Y,25.9,28.22,28.79,27.83,11.15,28.14,8.64,16,29.21,27.25,12.77,28.73,10.92
SNX,2011-01-11,Y,33.74,36.25,36.5,33.97,8.18,34.28,1.6,10,36.5,33.19,8.18,33.61,-0.35
SNX,2011-03-24,Y,34.15,33.11,33.65,30.91,-9.48,31.47,-7.84,22,33.65,30.91,-9.48,32.04,-6.14
SNX,2011-06-28,Y,31.46,29.34,30.98,29.31,-6.83,30.7,-2.41,17,32.06,29.31,-6.83,29.94,-4.83
SNX,2011-09-27,Y,24.91,28.03,28.65,27.16,15.01,27.26,9.43,24,28.65,24.66,15.01,27.75,11.4
SNX,2012-01-10,Y,32.09,33.78,35.04,32.79,9.19,34.77,8.35,10,36.11,32.79,12.52,35.9,11.87
SNX,2012-03-27,Y,43.64,38.9,39.0,36.72,-15.85,38.18,-12.51,24,39.0,36.5,-16.36,36.97,-15.26
SNX,2012-06-25,Y,33.04,31.26,33.88,31.26,-5.38,33.29,0.78,26,35.47,31.26,7.35,33.15,0.36
SNX,2012-09-25,Y,34.25,32.43,33.2,31.74,-7.32,32.45,-5.25,25,33.2,31.68,-7.5,31.81,-7.12
SNX,2013-01-10,Y,35.84,36.0,36.04,34.51,-3.71,35.36,-1.31,9,36.04,34.51,-3.71,35.9,0.19
SNX,2013-03-27,Y,40.88,38.4,38.4,36.71,-10.2,37.0,-9.49,24,38.4,32.04,-21.62,32.6,-20.25
SNX,2013-06-25,Y,41.57,41.86,42.17,40.96,-1.46,41.59,0.04,25,48.68,40.96,17.1,48.44,16.52
SNX,2013-09-25,Y,62.04,62.78,63.52,60.62,2.38,61.53,-0.82,24,63.52,58.22,-6.15,61.28,-1.22
SNX,2014-01-09,Y,65.06,63.0,63.9,56.06,-13.84,57.69,-11.34,9,63.9,56.06,-13.84,60.0,-7.79
SNX,2014-04-03,Y,62.42,75.5,79.44,74.0,27.26,76.94,23.26,16,79.44,66.47,27.26,69.7,11.67
SNX,2014-07-02,Y,73.93,72.25,72.5,67.77,-8.33,70.37,-4.81,17,72.5,62.01,-16.12,65.52,-11.37
SNX,2014-09-29,Y,62.19,66.81,67.48,62.67,8.5,64.63,3.92,19,67.48,59.27,8.5,61.65,-0.86
