Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SOL,2007-08-23,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
SOL,2007-11-19,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
SOL,2008-03-19,N,10.56,9.77,10.3,8.26,-21.78,8.35,-20.92,2,10.3,7.36,-30.3,7.6,-28.03
SOL,2008-05-14,N,21.67,23.48,24.5,21.77,13.05,22.3,2.9,2,26.85,21.77,23.9,26.04,20.16
SOL,2008-08-19,Y,17.48,18.04,19.36,17.87,10.69,19.11,9.26,31,19.7,11.68,-33.21,14.55,-16.8
SOL,2008-11-18,N,4.11,3.54,3.99,2.92,-28.95,3.35,-18.49,3,3.99,2.06,-49.87,2.35,-42.82
SOL,2009-03-12,N,2.27,2.28,2.31,2.15,-5.28,2.29,1.32,8,2.85,2.06,25.55,2.35,3.52
SOL,2009-05-21,Y,3.97,4.01,4.01,3.53,-11.08,3.69,-7.05,29,7.9,3.5,98.99,6.09,53.4
SOL,2009-08-12,Y,5.36,5.35,5.67,5.31,5.78,5.55,3.54,9,5.97,4.76,11.38,5.53,3.17
SOL,2009-11-16,N,4.05,4.25,4.38,4.15,8.14,4.28,5.67,4,4.38,3.94,8.14,4.08,0.74
SOL,2010-03-10,N,5.26,5.09,5.35,5.09,-3.23,5.16,-1.9,9,5.35,4.72,-10.26,4.86,-7.6
SOL,2010-05-10,N,6.61,7.33,7.5,7.04,13.46,7.28,10.13,11,7.5,4.96,-24.96,5.73,-13.31
SOL,2010-08-09,N,7.99,8.1,8.4,7.93,5.13,8.31,4.0,11,8.48,7.06,-11.63,7.89,-1.25
SOL,2010-11-05,N,13.06,14.13,14.13,12.85,8.19,12.96,-0.76,14,14.13,8.83,-32.38,9.51,-27.18
SOL,2011-03-01,N,11.05,9.85,9.94,9.05,-18.09,9.19,-16.74,17,9.94,8.08,-26.87,9.02,-18.28
SOL,2011-04-28,N,8.85,8.1,8.9,8.07,-8.81,8.66,-2.14,22,9.31,7.15,-19.2,7.25,-18.07
SOL,2011-08-09,N,2.76,2.71,3.16,2.65,14.49,3.15,14.13,10,4.15,2.65,50.36,2.99,8.33
SOL,2011-11-23,N,1.74,1.79,1.91,1.7,9.77,1.86,6.89,23,2.04,1.47,17.24,1.47,-15.51
SOL,2012-03-16,N,2.46,2.66,3.02,2.62,22.76,2.81,14.22,0,3.02,2.62,22.76,2.81,14.22
SOL,2012-05-11,N,1.79,1.87,1.97,1.85,10.05,1.85,3.35,7,1.97,1.33,-25.69,1.34,-25.13
SOL,2012-08-03,Y,1.37,1.38,1.48,1.37,8.02,1.42,3.64,14,1.67,1.37,21.89,1.65,20.43
SOL,2012-08-24,N,1.79,1.7,1.72,1.49,-16.75,1.51,-15.64,28,1.72,1.31,-26.81,1.46,-18.43
SOL,2012-11-30,N,1.18,1.23,1.31,1.22,11.01,1.3,10.16,21,1.88,1.22,59.32,1.52,28.81
SOL,2013-03-14,N,2.14,2.23,2.34,2.12,9.34,2.14,,1,2.34,1.95,9.34,1.97,-7.94
SOL,2013-05-16,N,2.21,2.13,2.15,1.86,-15.83,1.92,-13.12,1,2.15,1.86,-15.83,2.09,-5.42
SOL,2013-08-30,N,4.4,5.05,5.11,4.68,16.13,4.76,8.4,21,5.97,4.08,35.68,4.32,-1.81
SOL,2013-12-05,N,4.53,3.82,3.83,3.55,-21.63,3.58,-20.97,15,3.83,2.68,-40.83,3.46,-23.62
SOL,2014-03-24,N,3.87,4.17,4.19,3.68,8.26,3.86,-0.25,28,4.19,2.54,-34.36,2.95,-23.77
SOL,2014-05-16,N,2.41,2.36,2.38,2.27,-5.8,2.34,-2.9,0,2.38,2.27,-5.8,2.34,-2.9
SOL,2014-08-12,N,2.84,3.0,3.02,2.54,-10.56,2.6,-8.45,3,3.02,2.46,-13.38,2.63,-7.39
SOL,2014-11-26,N,2.12,1.86,1.97,1.85,-12.73,1.97,-7.07,24,1.97,1.21,-42.92,1.51,-28.77
SOL,2015-03-04,N,1.35,1.44,1.46,1.4,8.14,1.43,5.92,16,1.65,1.26,22.22,1.62,20.0
SOL,2015-06-02,N,1.43,1.32,1.38,1.25,-12.58,1.37,-4.19,17,1.69,1.25,18.18,1.69,18.18
SOL,2015-08-25,N,1.17,1.23,1.28,1.12,9.4,1.15,-0.85,24,1.33,0.95,-18.8,0.95,-18.8
SOL,2015-11-17,N,1.34,1.45,1.47,1.31,9.7,1.32,-1.49,3,1.47,1.24,9.7,1.25,-6.71
SOL,2016-03-08,N,1.46,1.53,1.54,1.44,5.47,1.45,-0.68,10,1.54,1.38,5.47,1.51,3.42
SOL,2016-05-23,N,1.23,1.37,1.45,1.35,17.88,1.42,15.44,25,1.45,1.25,17.88,1.25,1.62
SOL,2016-08-24,N,1.27,1.17,1.25,1.17,-7.87,1.23,-3.14,23,1.25,0.98,-22.83,0.98,-22.83
SOL,2016-11-29,N,0.76,0.72,0.75,0.65,-14.47,0.74,-2.63,17,0.82,0.62,-18.42,0.65,-14.47
SOL,2017-03-28,N,2.41,2.29,2.48,2.29,-4.97,2.39,-0.82,24,2.82,2.29,17.01,2.39,-0.82
SOL,2017-06-15,N,2.52,2.67,2.67,2.5,5.95,2.57,1.98,2,2.67,2.35,-6.74,2.45,-2.77
SOL,2017-12-19,N,3.03,3.12,3.13,2.83,-6.6,2.94,-2.97,32,3.25,2.64,-12.87,2.8,-7.59
SOL,2018-04-25,N,2.7,2.7,2.85,2.7,5.55,2.76,2.22,24,2.99,2.62,10.74,2.8,3.7
SOL,2018-06-20,N,2.49,2.64,2.65,2.5,6.42,2.54,2.0,31,2.87,2.41,15.26,2.48,-0.4
SOL,2018-09-06,N,2.4,2.35,2.4,2.29,-4.58,2.32,-3.33,16,2.4,2.16,-9.99,2.18,-9.16
SOL,2018-11-19,N,1.67,1.6,1.65,1.6,-4.19,1.62,-2.99,35,1.89,1.32,-20.95,1.33,-20.35
SOL,2019-04-08,N,1.68,1.75,1.75,1.65,4.16,1.65,-1.78,13,1.75,1.62,4.16,1.67,-0.59
SOL,2019-06-27,N,1.39,1.4,1.4,1.25,-10.07,1.27,-8.63,23,1.41,1.16,-16.54,1.18,-15.1
SOL,2019-11-25,N,1.6,1.7,1.78,1.6,11.24,1.61,0.62,28,1.78,1.37,-14.37,1.42,-11.25
SOL,2020-03-13,N,0.96,0.96,1.03,0.89,7.29,0.93,-3.12,8,1.08,0.85,12.5,1.03,7.29
SOL,2020-05-29,N,1.01,1.03,1.05,1.0,3.96,1.02,0.99,22,1.3,0.97,28.71,1.2,18.81
SOL,2020-12-01,Y,7.89,6.31,7.28,5.05,-35.99,6.22,-21.16,17,8.84,5.05,-35.99,8.14,3.16
SOL,2021-03-26,N,11.13,11.4,11.98,10.11,-9.16,10.76,-3.32,22,13.02,8.69,-21.92,9.21,-17.25
SOL,2021-05-25,Y,7.61,7.83,9.15,7.6,20.23,8.86,16.42,24,10.7,7.6,40.6,8.28,8.8
SOL,2021-08-30,Y,7.08,6.65,7.14,6.55,-7.48,7.0,-1.12,18,7.72,6.55,9.03,7.48,5.64
SOL,2021-12-07,Y,5.84,5.07,5.88,4.84,-17.12,5.85,0.17,10,6.56,4.84,-17.12,6.27,7.36
SOL,2022-03-23,Y,6.8,6.75,6.86,6.12,-9.99,6.26,-7.94,22,6.86,5.34,-21.47,5.45,-19.85
SOL,2022-06-07,Y,5.14,4.98,5.23,4.9,-4.66,5.09,-0.97,10,5.23,4.35,-15.36,4.89,-4.86
SOL,2022-09-07,Y,5.43,5.46,5.59,4.96,-8.65,5.1,-6.07,9,6.32,4.96,16.39,5.92,9.02
