Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SPOT,2018-05-02,Y,170.0,154.12,161.11,151.11,-11.11,160.38,-5.65,16,164.95,148.06,-12.9,150.8,-11.29
SPOT,2018-07-26,N,187.99,191.86,198.99,187.05,5.85,196.28,4.4,23,198.99,174.65,-7.09,188.37,0.2
SPOT,2018-11-01,N,149.69,133.4,145.0,133.25,-10.98,141.16,-5.69,16,147.27,126.75,-15.32,134.21,-10.34
SPOT,2019-02-06,N,139.4,129.9,137.35,129.6,-7.03,135.45,-2.83,10,148.99,128.7,-7.67,148.52,6.54
SPOT,2019-04-29,N,138.25,144.4,145.46,134.21,5.21,138.14,-0.07,21,145.46,131.01,-5.23,132.76,-3.97
SPOT,2019-07-31,N,155.2,148.92,155.68,145.67,-6.14,154.94,-0.16,17,161.38,143.52,-7.52,147.74,-4.8
SPOT,2019-10-28,N,120.69,131.11,143.15,129.34,18.6,140.2,16.16,21,154.31,129.34,27.85,147.51,22.22
SPOT,2020-02-05,N,154.31,150.0,152.0,145.36,-5.8,147.0,-4.73,17,155.0,140.85,-8.72,146.95,-4.76
SPOT,2020-04-29,N,139.78,153.0,163.94,152.42,17.28,155.78,11.44,17,163.94,143.01,17.28,158.83,13.62
SPOT,2020-07-29,N,267.12,254.88,268.58,251.02,-6.02,262.21,-1.83,24,276.88,241.27,-9.67,270.98,1.44
SPOT,2020-10-29,N,276.14,260.0,268.56,248.26,-10.09,266.87,-3.35,23,284.11,228.11,-17.39,260.0,-5.84
SPOT,2021-02-03,N,345.05,321.5,327.3,310.7,-9.95,317.25,-8.05,17,365.99,306.0,-11.31,364.59,5.66
SPOT,2021-04-28,N,292.92,269.7,270.16,255.16,-12.89,256.84,-12.31,24,270.16,211.1,-27.93,229.14,-21.77
SPOT,2021-07-28,N,236.93,220.7,224.17,213.11,-10.05,223.32,-5.74,24,233.22,201.68,-14.87,216.64,-8.56
SPOT,2021-10-27,N,252.2,269.91,278.0,260.53,10.22,273.13,8.29,24,305.6,258.07,21.17,259.55,2.91
SPOT,2022-02-02,Y,191.92,164.0,174.4,155.57,-18.94,159.76,-16.75,16,177.6,150.74,-21.45,152.27,-20.65
SPOT,2022-04-27,N,110.41,97.22,105.64,95.74,-13.28,96.67,-12.44,24,113.36,89.03,-19.36,107.27,-2.84
SPOT,2022-07-27,N,103.97,118.04,121.64,114.23,16.99,116.61,12.15,24,126.27,110.07,21.44,111.43,7.17
SPOT,2022-10-25,Y,97.05,91.53,91.98,84.0,-13.44,84.42,-13.01,24,91.98,69.28,-28.61,76.99,-20.66
SPOT,2023-01-31,N,100.0,109.37,113.3,106.31,13.29,112.72,12.71,18,128.98,106.31,28.97,125.33,25.32
