Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SPSC,2011-02-09,Y,17.0,15.56,16.75,15.56,-8.47,16.32,-3.99,9,17.3,15.56,-8.47,16.73,-1.58
SPSC,2011-04-28,Y,15.95,16.75,17.0,16.01,6.58,16.41,2.88,22,18.5,16.01,15.98,16.73,4.89
SPSC,2011-07-28,Y,18.54,17.03,18.82,16.85,-9.11,18.37,-0.91,22,18.82,16.57,-10.62,16.67,-10.08
SPSC,2011-10-27,Y,19.5,19.41,20.16,18.96,3.38,19.8,1.58,22,23.11,18.96,18.51,22.69,16.35
SPSC,2012-02-08,Y,27.91,27.95,27.95,25.07,-10.17,25.92,-7.13,9,27.95,24.1,-13.65,24.84,-10.99
SPSC,2012-04-26,Y,25.63,25.66,28.0,25.4,9.24,27.95,9.05,22,28.1,25.4,9.63,27.17,6.0
SPSC,2012-07-26,Y,28.83,30.71,32.42,29.09,12.45,32.28,11.96,22,33.82,29.09,17.3,33.04,14.63
SPSC,2012-10-25,Y,38.27,39.0,39.0,36.28,-5.19,36.4,-4.88,22,39.0,32.27,-15.67,32.9,-14.03
SPSC,2013-02-06,Y,38.49,38.5,40.5,37.9,5.22,38.52,0.07,9,40.5,36.67,5.22,37.5,-2.57
SPSC,2013-04-25,Y,41.28,41.5,47.25,41.22,14.46,45.79,10.92,22,51.11,41.22,23.81,50.86,23.2
SPSC,2013-07-25,Y,56.88,56.57,67.75,54.03,19.11,65.97,15.98,22,71.06,54.03,24.92,62.04,9.07
SPSC,2013-10-24,Y,74.0,79.98,79.98,75.45,8.08,77.88,5.24,22,79.98,64.95,-12.22,73.2,-1.06
SPSC,2014-02-06,Y,64.75,64.79,66.46,62.01,-4.23,65.9,1.77,16,66.63,62.01,-4.23,64.77,0.03
SPSC,2014-04-24,Y,52.43,49.4,50.99,43.84,-16.38,48.4,-7.68,23,55.45,43.84,-16.38,51.14,-2.46
SPSC,2014-07-24,Y,53.42,51.04,53.46,49.98,-6.43,52.35,-2.0,23,57.32,49.98,7.3,53.61,0.35
SPSC,2014-10-23,Y,56.24,56.06,56.06,55.32,-1.63,55.5,-1.31,30,64.0,55.02,13.79,57.92,2.98
