Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SPWH,2014-06-10,Y,8.6,8.89,9.11,8.5,5.93,8.89,3.37,10,9.11,7.88,-8.37,8.09,-5.93
SPWH,2014-09-11,Y,6.04,6.76,7.46,6.7,23.5,6.96,15.23,8,7.46,6.33,23.5,6.37,5.46
SPWH,2014-12-04,Y,7.69,7.02,7.76,6.7,-12.87,7.4,-3.77,16,7.78,6.7,-12.87,7.41,-3.64
SPWH,2015-04-01,Y,7.97,8.01,8.74,7.98,9.66,8.71,9.28,16,9.68,7.98,21.45,9.25,16.06
SPWH,2015-05-28,Y,9.56,9.18,9.99,9.18,4.49,9.69,1.35,22,12.04,9.18,25.94,11.83,23.74
SPWH,2015-08-27,Y,11.86,12.08,13.06,12.01,10.11,12.92,8.93,22,14.91,12.01,25.71,14.04,18.38
SPWH,2015-11-19,Y,9.34,10.86,11.77,10.69,26.01,11.42,22.26,1,11.77,10.69,26.01,11.42,22.26
SPWH,2016-03-24,Y,12.23,12.32,12.8,12.19,4.66,12.28,0.4,22,12.8,10.9,-10.87,11.25,-8.01
SPWH,2016-05-24,Y,9.8,9.11,9.49,8.61,-12.14,8.73,-10.91,24,9.49,7.77,-20.71,8.06,-17.75
SPWH,2016-08-18,Y,10.99,11.23,11.29,10.37,-5.64,10.94,-0.45,1,11.29,10.37,-5.64,10.94,-0.45
SPWH,2016-11-17,Y,8.22,9.0,9.5,8.52,15.57,8.58,4.37,1,9.5,8.52,15.57,8.58,4.37
SPWH,2017-03-23,Y,5.03,4.38,4.75,4.13,-17.89,4.63,-7.75,29,4.93,4.13,-17.89,4.47,-11.13
SPWH,2017-05-18,Y,4.73,4.75,5.95,4.72,25.79,5.7,20.5,1,5.95,4.72,25.79,5.7,20.5
SPWH,2017-08-17,Y,3.46,4.09,4.83,4.05,39.59,4.34,25.43,1,4.83,4.05,39.59,4.34,25.43
SPWH,2017-11-16,Y,3.98,3.9,4.75,3.72,19.34,4.68,17.58,1,4.75,3.72,19.34,4.68,17.58
SPWH,2018-03-28,Y,4.14,4.21,4.36,3.66,-11.59,4.08,-1.44,23,5.19,3.66,25.36,4.96,19.8
SPWH,2018-05-24,N,4.7,5.26,5.26,4.82,11.91,5.1,8.51,23,5.51,4.82,17.23,5.5,17.02
SPWH,2018-08-23,N,5.41,5.61,6.19,5.6,14.41,5.97,10.35,30,6.46,5.5,19.4,6.1,12.75
SPWH,2018-11-28,N,4.72,5.05,5.3,4.5,12.28,4.95,4.87,24,5.3,4.15,12.28,4.27,-9.53
SPWH,2019-03-28,N,5.43,5.25,5.37,4.61,-15.1,4.91,-9.57,22,5.37,4.61,-15.1,4.89,-9.94
SPWH,2019-05-30,N,3.92,3.77,3.98,3.41,-13.01,3.86,-1.53,23,3.98,3.41,-13.01,3.81,-2.8
SPWH,2019-08-28,Y,3.93,4.44,4.53,3.96,15.26,4.08,3.81,23,5.24,3.96,33.33,4.65,18.32
SPWH,2019-12-04,Y,7.33,7.8,8.82,7.6,20.32,8.05,9.82,16,8.82,7.6,20.32,8.19,11.73
SPWH,2020-03-26,Y,5.61,6.19,6.19,5.31,10.33,5.96,6.23,22,7.21,5.31,28.52,7.03,25.31
SPWH,2020-06-04,Y,11.81,13.0,13.84,12.46,17.18,13.26,12.27,15,13.84,10.93,17.18,12.48,5.67
SPWH,2020-09-02,Y,17.25,17.23,17.29,14.19,-17.73,14.63,-15.18,16,17.29,12.56,-27.18,13.52,-21.62
SPWH,2020-12-02,Y,13.99,14.0,14.21,12.96,-7.36,13.14,-6.07,16,14.21,11.29,-19.29,12.45,-11.0
SPWH,2021-03-31,Y,17.24,17.26,17.51,17.19,1.56,17.47,1.33,16,17.63,17.19,2.26,17.51,1.56
SPWH,2021-06-02,Y,17.84,17.8,17.97,17.8,0.72,17.93,0.5,16,18.05,17.7,1.17,17.7,-0.78
SPWH,2021-09-01,Y,17.88,17.73,17.86,17.69,-1.06,17.79,-0.5,16,17.86,17.57,-1.73,17.65,-1.28
SPWH,2021-12-08,Y,13.13,12.67,12.77,11.96,-8.91,12.0,-8.6,9,12.77,10.81,-17.66,11.06,-15.76
SPWH,2022-03-29,Y,12.16,11.72,12.19,11.32,-6.9,11.4,-6.24,16,12.19,10.48,-13.81,10.69,-12.08
SPWH,2022-05-31,Y,9.46,8.75,9.1,8.46,-10.57,8.76,-7.39,17,9.98,8.46,-10.57,9.73,2.85
SPWH,2022-09-01,Y,7.91,8.18,8.96,8.12,13.27,8.72,10.24,15,9.58,8.12,21.11,8.45,6.82
SPWH,2022-12-07,Y,10.31,9.89,10.62,9.26,-10.18,10.15,-1.55,9,10.62,9.14,-11.34,9.33,-9.5
SPWH,2023-04-12,Y,8.31,6.0,7.42,5.93,-28.64,7.21,-13.23,9,7.42,5.93,-28.64,6.14,-26.11
