Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SSP,2002-01-23,N,8.06,8.08,8.11,7.98,-0.99,8.01,-0.62,23,8.61,7.91,6.82,8.46,4.96
SSP,2002-02-14,Y,8.57,8.57,8.57,8.44,-1.51,8.46,-1.28,1,8.57,8.44,-1.51,8.46,-1.28
SSP,2002-04-10,N,9.92,10.03,10.11,9.94,1.91,10.08,1.61,9,10.11,9.34,-5.84,9.41,-5.14
SSP,2002-04-19,Y,9.41,9.36,9.36,9.27,-1.38,9.3,-1.16,28,9.42,8.85,-5.95,9.07,-3.61
SSP,2002-07-11,N,8.67,8.66,8.66,8.48,-2.19,8.58,-1.03,8,8.84,8.42,-2.88,8.52,-1.73
SSP,2002-09-06,Y,8.19,8.18,8.18,8.1,-1.21,8.15,-0.6,14,8.39,8.0,-2.43,8.14,-0.73
SSP,2002-10-10,N,7.59,7.77,8.27,7.71,8.95,8.27,9.09,8,8.89,7.71,17.12,8.77,15.67
SSP,2002-11-04,N,9.01,9.01,9.02,8.86,-1.66,8.94,-0.66,11,9.19,8.72,-3.21,9.1,0.99
SSP,2003-01-23,N,243.18,9.36,250.47,240.6,2.99,248.64,2.24,29,250.47,229.35,-5.68,240.24,-1.2
SSP,2003-04-01,Y,229.05,8.93,240.12,231.54,4.83,239.16,4.41,17,246.0,221.7,7.4,237.99,3.9
SSP,2003-04-10,N,238.17,9.17,238.17,221.7,-6.91,235.5,-1.12,8,240.75,221.7,-6.91,237.99,-0.07
SSP,2003-05-21,N,249.0,9.68,253.8,249.03,1.92,253.8,1.92,30,271.95,249.03,9.21,262.02,5.22
SSP,2003-07-14,N,266.7,9.93,261.36,249.63,-6.4,254.73,-4.48,4,261.36,246.72,-7.49,246.84,-7.44
SSP,2003-10-14,N,263.97,10.22,280.95,265.5,6.43,278.64,5.55,3,281.39,265.5,6.59,280.44,6.23
SSP,2003-11-14,Y,279.72,10.76,279.72,276.83,-1.03,277.2,-0.9,7,279.72,270.95,-3.13,273.75,-2.13
SSP,2004-01-22,N,279.51,276.6,276.6,276.6,1.04,276.6,-1.04,29,301.5,276.6,7.86,299.31,7.08
SSP,2004-04-14,N,309.51,11.84,317.85,307.41,2.69,316.95,2.4,2,327.9,307.41,5.94,325.68,5.22
SSP,2004-07-15,N,309.0,11.9,12.2,11.75,-96.19,12.2,-96.05,1,319.8,11.75,-96.19,316.58,2.45
SSP,2004-10-14,N,147.3,144.75,144.78,141.0,-4.27,142.35,-3.36,1,144.78,141.0,-4.27,141.27,-4.09
SSP,2005-01-25,N,143.69,144.44,144.81,142.35,-0.93,142.77,-0.64,24,144.81,137.72,-4.16,140.07,-2.52
SSP,2005-04-14,N,144.96,150.0,158.72,148.83,9.49,155.19,7.05,1,158.72,148.83,9.49,157.05,8.34
SSP,2005-07-19,N,141.75,145.5,147.27,145.47,3.89,146.61,3.42,31,153.21,145.47,8.08,149.91,5.75
SSP,2005-10-14,N,146.43,145.83,147.18,144.0,-1.65,145.65,-0.53,7,147.18,136.38,-6.86,138.0,-5.75
SSP,2006-02-02,N,144.75,147.75,151.88,147.03,4.92,150.75,4.14,15,151.88,145.94,4.92,146.97,1.53
SSP,2006-04-25,N,133.68,135.72,137.34,134.76,2.73,135.75,1.54,24,142.29,134.4,6.44,134.66,0.74
SSP,2006-07-24,N,125.76,126.3,131.16,126.27,4.29,128.61,2.26,25,132.66,122.58,5.48,131.25,4.36
SSP,2006-10-17,N,147.33,147.33,153.27,144.97,4.03,145.65,-1.14,3,153.27,142.71,4.03,146.85,-0.32
SSP,2007-01-30,N,156.47,151.5,151.5,145.11,-7.26,148.53,-5.08,17,151.5,142.94,-8.65,146.85,-6.15
SSP,2007-04-25,N,135.44,134.97,134.97,124.5,-8.08,130.5,-3.65,23,135.9,124.5,-8.08,135.09,-0.26
SSP,2007-07-24,Y,132.12,132.12,133.94,129.84,-1.72,131.34,-0.59,24,133.94,113.67,-13.96,115.56,-12.53
SSP,2007-10-25,N,127.23,130.83,135.66,129.75,6.62,130.74,2.75,22,135.9,129.75,6.81,134.61,5.8
SSP,2008-01-31,N,123.0,111.3,122.73,106.83,-13.14,122.16,-0.68,15,129.36,106.83,-13.14,128.13,4.17
SSP,2008-04-24,N,131.37,130.86,134.82,128.85,2.62,133.59,1.68,22,143.16,128.85,8.97,142.26,8.28
SSP,2008-07-24,N,9.19,9.52,9.52,8.36,-9.13,8.51,-7.49,22,9.52,6.19,-32.71,7.25,-21.19
SSP,2008-11-07,N,4.13,3.89,4.0,3.69,-10.65,3.81,-7.74,14,4.0,2.41,-41.64,2.69,-34.86
