Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
SSTK,2013-05-08,Y,45.35,49.0,49.0,45.0,8.04,46.21,1.89,9,52.58,45.0,15.94,49.32,8.75
SSTK,2013-08-07,Y,53.46,55.59,57.7,54.8,7.93,56.2,5.12,9,58.18,51.49,8.82,52.47,-1.85
SSTK,2013-11-07,Y,66.69,70.01,73.81,64.01,10.67,72.39,8.54,8,74.98,64.01,12.43,72.88,9.28
SSTK,2014-02-20,Y,82.46,91.95,99.0,88.6,20.05,98.0,18.84,1,99.0,88.6,20.05,98.0,18.84
SSTK,2014-05-08,Y,68.04,61.3,67.34,60.01,-11.8,67.34,-1.01,8,69.98,60.01,-11.8,64.88,-4.64
SSTK,2014-08-07,Y,78.42,74.0,77.94,73.01,-6.89,76.17,-2.86,8,81.93,73.01,-6.89,76.23,-2.79
SSTK,2014-11-06,Y,74.91,74.23,79.45,73.48,6.06,79.18,5.7,16,84.06,69.68,12.21,73.37,-2.05
SSTK,2015-02-12,Y,59.24,59.51,59.74,54.46,-8.06,56.49,-4.64,8,59.74,54.46,-8.06,57.94,-2.19
SSTK,2015-05-07,N,67.4,67.0,67.0,63.03,-6.48,63.74,-5.43,8,67.0,63.03,-6.48,63.34,-6.02
SSTK,2015-08-06,N,50.75,36.36,41.0,32.2,-36.55,34.42,-32.17,15,41.0,29.76,-41.35,30.69,-39.52
SSTK,2015-11-05,N,28.01,29.26,33.47,29.26,19.49,33.38,19.17,15,38.86,29.26,38.73,35.06,25.16
SSTK,2016-02-24,N,30.77,29.97,36.0,27.67,16.99,34.81,13.12,23,37.92,27.67,23.23,35.71,16.05
SSTK,2016-05-04,N,40.31,44.99,47.21,39.29,17.11,40.18,-0.32,16,47.21,38.64,17.11,40.06,-0.62
SSTK,2016-08-04,N,57.51,57.52,58.99,54.76,-4.78,57.65,0.24,15,62.0,54.76,7.8,59.84,4.05
SSTK,2016-11-04,N,54.27,47.9,51.33,47.67,-12.16,48.4,-10.81,14,51.33,47.0,-13.39,49.6,-8.6
SSTK,2017-02-27,N,51.63,44.62,46.17,41.66,-19.31,43.02,-16.67,18,46.17,39.75,-23.0,40.79,-20.97
SSTK,2017-05-03,N,43.91,43.71,44.04,40.27,-8.28,41.08,-6.44,17,45.34,40.27,-8.28,44.52,1.38
SSTK,2017-08-02,N,41.7,34.5,35.97,33.44,-19.8,35.26,-15.44,17,36.0,32.5,-22.06,33.27,-20.21
SSTK,2017-10-31,N,34.25,37.75,42.7,37.5,24.67,38.99,13.83,18,42.7,36.35,24.67,40.25,17.51
SSTK,2018-02-22,N,44.58,42.29,47.38,41.88,6.28,46.35,3.97,23,52.78,41.88,18.39,52.07,16.8
SSTK,2018-04-26,N,50.33,47.87,48.5,43.86,-12.85,44.72,-11.14,23,48.5,41.14,-18.25,45.95,-8.7
SSTK,2018-08-01,N,46.07,46.85,49.28,46.3,6.96,48.66,5.62,17,54.0,46.17,17.21,50.86,10.39
SSTK,2018-10-30,N,44.65,39.37,40.84,37.1,-16.9,39.01,-12.63,18,41.72,36.55,-18.14,39.01,-12.63
SSTK,2019-02-26,N,43.96,45.48,48.59,44.51,10.53,48.4,10.1,18,50.09,44.51,13.94,46.19,5.07
SSTK,2019-04-25,N,45.77,38.85,43.12,37.9,-17.19,42.05,-8.12,23,43.58,37.9,-17.19,39.97,-12.67
SSTK,2019-08-06,N,37.63,34.8,35.83,34.13,-9.3,34.37,-8.66,11,36.17,33.26,-11.61,34.66,-7.89
SSTK,2020-02-13,N,44.38,40.73,42.43,39.1,-11.89,40.56,-8.6,9,42.43,39.1,-11.89,41.07,-7.45
SSTK,2020-04-28,N,38.9,39.3,39.86,36.5,-6.16,38.4,-1.28,18,39.86,34.5,-11.31,36.65,-5.78
SSTK,2020-07-28,N,43.4,45.0,52.93,44.5,21.95,51.06,17.64,25,59.45,44.5,36.98,49.24,13.45
SSTK,2020-10-27,N,62.27,67.92,70.6,65.9,13.37,69.63,11.81,25,71.97,63.31,15.57,69.0,10.8
SSTK,2021-02-11,N,69.08,75.31,86.46,73.5,25.15,85.35,23.55,9,96.5,73.5,39.69,95.32,37.98
SSTK,2021-04-27,N,97.2,97.12,97.3,90.95,-6.43,92.06,-5.28,25,97.3,77.38,-20.39,86.27,-11.24
SSTK,2021-07-27,N,107.66,107.63,108.92,98.44,-8.56,101.11,-6.08,25,108.92,97.97,-9.0,102.48,-4.81
SSTK,2021-10-26,N,120.67,117.3,128.36,114.56,6.37,124.31,3.01,25,128.36,114.56,6.37,118.66,-1.66
SSTK,2022-02-10,N,93.34,91.22,92.47,82.98,-11.09,85.68,-8.2,9,93.25,82.97,-11.1,91.23,-2.26
SSTK,2022-04-26,N,77.79,74.65,80.0,73.41,-5.63,74.73,-3.93,25,80.13,56.5,-27.36,58.97,-24.19
SSTK,2022-07-26,N,59.08,50.67,56.01,50.04,-15.3,54.4,-7.92,25,65.12,50.04,-15.3,60.03,1.6
SSTK,2023-02-09,N,72.24,76.11,80.79,74.71,11.83,75.58,4.62,9,80.79,74.71,11.83,76.08,5.31
