Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
STN,2002-03-04,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STN,2002-05-02,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STN,2002-07-18,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STN,2002-11-07,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STN,2003-02-27,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STN,2003-05-01,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STN,2003-07-31,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STN,2003-10-30,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STN,2004-02-26,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STN,2004-05-06,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STN,2004-08-05,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STN,2004-11-04,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STN,2005-02-24,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STN,2005-05-10,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STN,2005-08-02,Y,14.83,14.95,15.05,14.82,1.48,15.05,1.48,17,16.0,14.82,7.88,15.71,5.93
STN,2005-11-02,Y,31.2,31.3,32.42,31.3,3.91,32.4,3.87,16,33.35,31.3,6.89,33.35,6.89
STN,2006-02-23,Y,38.95,38.75,38.75,36.51,-6.26,36.56,-6.13,22,38.75,33.54,-13.88,35.53,-8.78
STN,2006-05-04,Y,42.23,42.8,42.84,42.3,1.44,42.3,0.16,15,42.84,41.14,-2.58,41.48,-1.77
STN,2006-08-03,N,16.91,17.25,18.14,17.2,7.27,17.64,4.37,15,18.89,17.2,11.7,18.39,8.81
STN,2006-11-02,Y,19.73,19.76,20.62,19.7,4.45,20.27,2.68,15,22.55,19.7,14.23,21.43,8.56
STN,2007-02-22,Y,24.27,24.21,24.61,24.12,1.4,24.31,0.16,22,28.18,24.12,16.11,28.06,15.61
STN,2007-05-03,Y,30.29,30.34,30.69,30.0,1.32,30.28,-0.03,15,30.73,29.13,-3.82,30.15,-0.46
STN,2007-08-02,Y,31.18,31.36,31.44,30.67,-1.63,30.7,-1.53,15,31.44,27.53,-11.7,28.55,-8.43
STN,2007-11-01,Y,38.5,38.83,38.89,38.28,1.01,38.6,0.25,15,38.89,32.36,-15.94,33.08,-14.07
STN,2008-02-21,Y,33.74,33.97,34.24,33.5,1.48,34.24,1.48,29,34.51,27.07,-19.76,29.36,-12.98
STN,2008-05-01,Y,30.57,30.61,30.69,29.73,-2.74,30.4,-0.55,15,30.69,28.0,-8.4,29.09,-4.84
STN,2008-07-31,Y,27.42,28.0,28.14,25.82,-5.83,26.15,-4.63,15,28.23,25.82,-5.83,27.69,0.98
STN,2008-10-30,Y,14.6,14.4,16.6,14.4,13.69,15.93,9.1,22,20.48,12.85,40.27,13.66,-6.43
STN,2009-02-26,Y,18.52,17.0,17.0,15.43,-16.68,16.1,-13.06,22,18.14,14.19,-23.38,17.19,-7.18
STN,2009-05-14,N,22.34,22.26,23.21,22.13,3.89,22.9,2.5,1,23.44,22.13,4.92,23.0,2.95
STN,2009-08-06,N,26.21,25.95,26.3,24.91,-4.95,25.4,-3.09,15,27.57,24.82,-5.3,26.44,0.87
STN,2009-11-05,Y,24.93,24.8,24.96,24.6,-1.32,24.89,-0.16,15,25.97,23.97,4.17,24.32,-2.44
STN,2010-02-25,N,25.3,24.97,24.97,24.49,-3.2,24.79,-2.01,22,26.78,24.49,5.84,25.76,1.81
STN,2010-05-13,Y,25.82,22.59,25.55,22.36,-13.4,25.31,-1.97,8,25.55,22.36,-13.4,23.82,-7.74
STN,2010-08-05,Y,24.49,24.11,24.69,24.05,-1.79,24.52,0.12,15,24.99,23.54,-3.87,23.97,-2.12
STN,2010-11-04,Y,27.84,27.96,28.08,27.54,-1.07,27.84,,15,28.08,25.95,-6.78,26.73,-3.98
STN,2011-02-24,Y,28.46,28.73,29.59,28.49,3.97,29.35,3.12,22,30.38,27.2,6.74,28.72,0.91
STN,2011-05-12,N,31.22,31.17,31.17,30.05,-3.74,30.45,-2.46,8,31.17,29.44,-5.7,29.76,-4.67
STN,2011-08-04,Y,26.11,26.36,26.36,23.55,-9.8,25.12,-3.79,15,26.36,22.12,-15.28,22.64,-13.28
STN,2011-11-03,Y,25.42,25.27,25.85,25.05,1.69,25.11,-1.21,15,25.85,24.06,-5.35,24.19,-4.83
STN,2012-02-23,N,31.69,31.57,31.61,30.08,-5.08,30.2,-4.7,22,32.49,28.56,-9.87,32.19,1.57
STN,2012-05-10,Y,29.86,29.89,31.87,29.82,6.73,31.43,5.25,8,31.87,28.85,6.73,29.19,-2.24
STN,2012-08-02,Y,28.17,28.0,32.0,28.0,13.59,31.13,10.5,15,32.76,28.0,16.29,32.63,15.83
STN,2012-11-01,N,34.25,34.35,37.58,34.13,9.72,37.52,9.54,15,38.0,34.13,10.94,36.33,6.07
STN,2013-02-21,N,39.5,39.28,40.44,39.28,2.37,39.79,0.75,22,42.41,39.28,7.36,42.37,7.26
STN,2013-05-09,Y,43.3,43.11,43.22,42.24,-2.44,42.9,-0.92,8,43.35,41.65,-3.81,43.15,-0.34
STN,2013-08-01,Y,48.2,48.11,48.53,46.99,-2.51,47.79,-0.85,15,49.33,46.96,-2.57,48.01,-0.39
STN,2013-10-31,Y,29.72,29.91,31.54,29.91,6.12,31.4,5.65,15,32.78,29.91,10.29,32.27,8.58
STN,2014-02-27,Y,30.37,30.38,31.0,30.22,2.07,30.66,0.95,22,31.38,29.29,-3.55,30.41,0.13
STN,2014-05-15,Y,30.14,30.3,30.68,30.16,1.79,30.18,0.13,1,30.68,30.16,1.79,30.18,0.13
STN,2014-08-07,Y,32.11,31.78,32.07,31.44,-2.08,31.98,-0.4,8,32.61,31.44,-2.08,32.28,0.52
STN,2014-11-06,N,31.14,31.16,31.42,30.33,-2.6,30.54,-1.92,16,31.42,30.06,-3.46,30.09,-3.37
STN,2015-02-26,N,25.85,25.69,25.72,25.41,-1.7,25.47,-1.47,22,25.91,24.0,-7.15,24.69,-4.48
STN,2015-05-14,N,27.53,28.98,29.09,28.64,5.66,28.79,4.57,1,29.83,28.37,8.35,29.66,7.73
STN,2015-08-06,N,27.68,27.03,27.03,24.26,-12.35,24.69,-10.8,15,27.03,23.31,-15.78,23.5,-15.1
STN,2015-11-05,N,24.94,24.5,25.12,24.44,-2.0,25.05,0.44,15,25.25,24.24,-2.8,24.8,-0.56
STN,2016-02-25,N,22.23,22.09,22.1,21.32,-4.09,22.03,-0.89,22,24.61,20.71,10.7,23.57,6.02
STN,2016-11-10,N,24.3,23.95,25.55,23.95,5.14,25.3,4.11,8,25.8,23.95,6.17,25.25,3.9
STN,2017-02-23,N,26.9,26.2,26.85,25.15,-6.5,26.55,-1.3,22,27.35,25.15,-6.5,25.6,-4.83
STN,2017-05-11,N,24.6,24.1,24.1,23.05,-6.3,23.25,-5.48,8,24.1,22.25,-9.55,22.9,-6.91
STN,2017-08-09,N,24.8,25.1,27.55,25.1,11.08,27.1,9.27,9,27.55,25.1,11.08,26.5,6.85
STN,2017-11-09,N,28.15,26.85,28.2,26.8,-4.79,28.05,-0.35,8,28.6,26.8,-4.79,27.6,-1.95
STN,2021-05-05,Y,46.84,47.14,47.14,42.7,-8.83,44.64,-4.69,16,47.14,42.7,-8.83,44.55,-4.88
STN,2021-08-04,Y,47.95,47.69,49.61,46.92,3.46,46.98,-2.02,16,49.61,45.89,-4.29,47.5,-0.93
STN,2021-11-03,Y,54.62,54.43,55.93,54.41,2.39,54.96,0.62,16,57.36,54.41,5.01,57.1,4.54
STN,2022-02-23,Y,51.24,53.01,53.01,49.08,-4.21,51.52,0.54,23,53.01,47.7,-6.9,51.06,-0.35
STN,2022-05-11,Y,42.85,42.73,42.73,40.92,-4.5,41.05,-4.2,9,44.71,40.92,-4.5,44.41,3.64
STN,2022-08-10,Y,48.66,49.41,51.08,48.43,4.97,48.67,0.02,9,51.37,48.43,5.56,50.61,4.0
STN,2022-11-11,Y,49.53,49.57,51.39,49.57,3.75,50.45,1.85,7,51.39,49.07,3.75,49.68,0.3
STN,2023-02-22,Y,52.38,55.0,61.61,54.65,17.62,57.3,9.39,23,61.61,54.65,17.62,57.03,8.87
