Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
STX,2002-01-22,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STX,2002-04-11,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STX,2002-07-17,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STX,2002-10-10,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
STX,2003-01-09,Y,12.6,11.5,12.6,10.7,-15.07,11.1,-11.9,8,12.6,10.0,-20.63,10.8,-14.28
STX,2003-04-15,Y,11.45,11.6,12.35,11.6,7.86,11.9,3.93,3,12.35,11.6,7.86,12.25,6.98
STX,2003-07-15,Y,20.65,21.0,22.26,20.79,7.79,21.56,4.4,3,22.26,20.0,7.79,20.03,-3.0
STX,2003-10-21,Y,29.5,26.5,26.5,20.61,-30.13,22.28,-24.47,31,26.5,18.48,-37.35,19.0,-35.59
STX,2004-01-20,Y,20.32,16.39,16.7,15.34,-24.5,16.1,-20.76,31,18.2,15.34,-24.5,17.5,-13.87
STX,2004-04-20,Y,14.52,14.0,14.4,13.55,-6.68,13.83,-4.75,31,14.4,11.5,-20.79,12.2,-15.97
STX,2004-07-20,Y,14.3,13.75,14.0,11.67,-18.39,11.91,-16.71,31,14.0,10.11,-29.3,11.67,-18.39
STX,2004-09-07,N,11.87,12.4,13.26,12.2,11.71,12.46,4.97,10,13.79,12.2,16.17,13.79,16.17
STX,2004-10-19,Y,14.23,14.5,14.5,13.38,-5.97,13.71,-3.65,31,14.5,12.3,-13.56,13.89,-2.38
STX,2005-01-18,Y,18.35,18.05,18.1,17.1,-6.81,17.22,-6.15,3,18.1,16.76,-8.66,17.35,-5.44
STX,2005-04-19,Y,17.34,18.1,18.35,17.8,5.82,17.98,3.69,31,20.48,16.98,18.1,20.16,16.26
STX,2005-07-19,Y,19.45,18.39,19.14,18.0,-7.45,19.07,-1.95,31,19.43,17.97,-7.6,18.42,-5.29
STX,2005-10-18,Y,15.05,14.8,14.86,14.35,-4.65,14.7,-2.32,3,15.06,14.14,-6.04,14.27,-5.18
STX,2006-01-18,Y,24.6,26.25,26.72,25.55,8.61,25.59,4.02,2,26.72,24.91,8.61,25.0,1.62
STX,2006-04-18,Y,27.52,25.9,26.05,25.24,-8.28,25.75,-6.43,3,26.05,24.8,-9.88,25.1,-8.79
STX,2006-08-08,Y,20.7,19.2,20.35,19.14,-7.53,19.95,-3.62,10,21.79,19.14,-7.53,21.34,3.09
STX,2006-10-24,Y,21.13,21.4,22.75,21.39,7.66,22.43,6.15,24,25.51,21.39,20.72,25.35,19.97
STX,2007-01-23,Y,26.18,27.42,28.49,27.31,8.82,28.35,8.28,24,28.51,25.64,8.89,26.54,1.37
STX,2007-04-17,Y,22.15,20.9,21.39,20.2,-8.8,21.3,-3.83,3,21.85,20.2,-8.8,21.58,-2.57
STX,2007-07-19,Y,24.12,24.75,25.0,24.52,3.64,24.63,2.11,1,25.0,24.52,3.64,24.63,2.11
STX,2007-10-16,Y,26.45,27.4,27.51,26.37,4.0,27.01,2.11,3,27.51,26.37,4.0,26.87,1.58
STX,2008-01-17,Y,21.6,21.26,21.98,19.44,-10.0,19.7,-8.79,1,21.98,19.44,-10.0,19.7,-8.79
STX,2008-04-15,Y,20.17,19.64,19.69,18.69,-7.33,19.05,-5.5,3,20.02,18.69,-7.33,19.48,-3.42
