Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
TACT,2002-02-20,N,3.44,3.33,3.36,2.6,-24.41,3.01,-12.5,23,3.36,2.6,-24.41,3.24,-5.81
TACT,2002-04-29,N,4.26,4.2,4.44,4.0,-6.32,4.0,-6.32,18,4.44,3.05,-28.57,3.77,-11.7
TACT,2002-07-31,N,3.1,3.06,3.13,2.89,-6.77,3.1,,16,4.0,2.89,29.03,3.58,15.48
TACT,2002-10-30,N,3.32,3.28,3.3,3.06,-7.83,3.23,-2.71,16,3.3,2.87,-13.55,3.03,-8.73
TACT,2003-03-06,N,3.07,3.13,3.17,3.13,3.25,3.17,3.25,15,3.78,3.13,23.12,3.73,21.49
TACT,2003-04-30,N,4.67,4.76,5.0,4.43,7.06,4.93,5.56,16,6.99,4.3,49.67,6.64,42.18
TACT,2003-07-28,Y,10.0,10.14,10.19,9.33,-6.69,9.33,-6.69,18,10.19,8.02,-19.8,9.21,-7.89
TACT,2003-11-03,N,15.66,16.21,16.32,13.83,-11.68,14.85,-5.17,18,16.38,12.5,-20.17,13.82,-11.74
TACT,2004-03-04,Y,20.0,21.21,21.67,20.51,8.35,21.3,6.5,15,22.89,18.69,14.45,20.68,3.39
TACT,2004-05-03,Y,21.6,20.91,25.5,20.91,18.05,24.64,14.07,18,30.25,20.91,40.04,29.05,34.49
TACT,2004-07-26,Y,23.6,23.0,24.15,22.0,-6.77,23.76,0.67,25,24.16,15.0,-36.44,16.73,-29.06
TACT,2004-10-28,Y,25.2,27.0,27.0,24.76,7.14,25.02,-0.71,22,27.0,20.0,-20.63,22.83,-9.4
TACT,2005-03-03,Y,17.45,12.99,13.18,11.75,-32.66,12.18,-30.2,15,13.24,10.55,-39.54,10.73,-38.51
TACT,2005-05-04,Y,8.0,7.24,7.45,6.71,-16.12,6.82,-14.74,16,9.93,6.71,24.12,9.49,18.62
TACT,2005-08-04,Y,10.24,9.55,9.75,9.33,-8.88,9.61,-6.05,15,9.98,8.15,-20.41,8.15,-20.41
TACT,2005-11-08,Y,6.86,6.54,6.54,6.1,-11.07,6.11,-10.93,10,7.0,6.09,-11.22,6.88,0.29
TACT,2006-03-07,Y,9.63,9.36,9.65,9.1,-5.5,9.57,-0.62,10,9.66,8.91,-7.47,9.35,-2.9
TACT,2006-05-01,Y,11.86,12.63,13.69,12.05,15.43,13.62,14.83,18,14.87,12.05,25.37,13.69,15.43
TACT,2006-08-02,Y,10.21,10.0,10.67,9.8,4.5,10.57,3.52,16,11.0,8.83,-13.51,9.26,-9.3
TACT,2006-11-09,Y,7.7,7.82,8.15,7.76,5.84,8.15,5.84,8,8.8,7.76,14.28,8.64,12.2
TACT,2007-03-12,Y,9.39,8.44,8.44,7.08,-24.6,7.25,-22.79,4,8.44,7.0,-25.45,7.37,-21.51
TACT,2007-05-03,Y,6.86,6.7,6.84,6.23,-9.18,6.84,-0.29,15,6.89,6.16,-10.2,6.68,-2.62
TACT,2007-08-06,Y,6.0,6.35,6.7,6.21,11.66,6.6,9.99,11,6.7,5.71,11.66,6.15,2.5
TACT,2007-11-07,Y,5.8,5.67,5.67,4.96,-14.48,5.09,-12.06,9,5.67,4.7,-18.96,5.14,-11.37
TACT,2008-03-06,Y,4.63,4.37,4.62,4.37,-5.61,4.59,-0.86,15,5.28,4.37,14.03,4.98,7.55
TACT,2008-04-29,Y,7.05,7.05,7.45,7.05,5.67,7.39,4.82,17,9.5,7.05,34.75,8.96,27.09
TACT,2008-08-05,Y,9.05,9.21,10.89,9.19,20.33,10.85,19.88,10,13.75,9.19,51.93,13.1,44.75
TACT,2008-11-03,Y,7.34,7.27,7.63,7.0,-4.63,7.37,0.4,18,7.63,3.25,-55.72,3.57,-51.36
TACT,2009-03-10,Y,2.35,2.33,2.33,1.6,-31.91,1.95,-17.02,10,2.45,1.6,-31.91,2.4,2.12
TACT,2009-05-07,Y,4.46,3.57,4.57,3.36,-24.66,4.15,-6.95,8,4.57,3.36,-24.66,4.0,-10.31
TACT,2009-08-05,Y,5.01,5.03,5.25,5.03,4.58,5.05,0.79,16,5.35,4.5,-10.35,5.23,4.18
TACT,2009-11-02,Y,5.93,6.4,6.45,6.05,8.76,6.35,7.08,18,6.91,6.05,16.52,6.43,8.43
TACT,2010-03-09,Y,7.8,7.01,7.19,6.25,-19.87,7.19,-7.82,10,7.7,6.25,-19.87,7.7,-1.28
TACT,2010-05-05,Y,7.55,7.57,7.78,7.56,3.04,7.7,1.98,16,7.9,7.05,-6.62,7.42,-1.72
TACT,2010-08-04,Y,7.02,7.17,7.5,7.17,6.83,7.49,6.69,16,8.0,7.17,13.96,7.91,12.67
TACT,2010-11-08,Y,9.39,9.19,9.19,8.65,-7.88,8.98,-4.36,11,9.75,8.52,-9.26,9.19,-2.12
TACT,2011-03-08,Y,9.96,10.15,10.3,10.01,3.41,10.3,3.41,10,10.58,9.85,6.22,10.45,4.91
TACT,2011-05-05,Y,11.37,12.11,13.13,12.01,15.47,13.03,14.59,15,13.13,11.37,15.47,11.82,3.95
TACT,2011-08-09,Y,9.63,9.3,9.36,8.61,-10.59,8.93,-7.26,10,9.46,8.55,-11.21,8.85,-8.09
TACT,2011-11-09,Y,7.24,7.05,7.11,6.52,-9.94,6.7,-7.45,9,7.11,6.12,-15.46,6.12,-15.46
TACT,2012-03-08,Y,6.83,6.85,6.85,6.67,-2.34,6.78,-0.73,8,7.45,6.67,9.07,6.84,0.14
TACT,2012-05-09,Y,8.36,9.0,9.0,8.46,7.65,8.65,3.46,9,9.09,7.95,8.73,7.99,-4.42
TACT,2012-08-08,Y,7.07,7.05,7.22,6.85,-3.11,7.08,0.14,9,7.81,6.85,10.46,7.62,7.77
TACT,2012-11-05,Y,7.6,7.6,7.6,7.49,-1.44,7.6,,11,7.9,7.31,3.94,7.79,2.5
TACT,2013-03-06,Y,7.96,8.18,8.18,7.5,-5.77,7.74,-2.76,9,8.18,7.41,-6.9,7.89,-0.87
TACT,2013-05-09,Y,7.6,7.68,7.85,7.66,3.28,7.85,3.28,8,8.25,7.66,8.55,8.02,5.52
TACT,2013-08-06,Y,9.52,9.4,9.4,8.92,-6.3,9.13,-4.09,10,9.4,8.38,-11.97,8.69,-8.71
TACT,2013-11-07,Y,14.78,14.77,14.77,14.43,-2.36,14.49,-1.96,8,14.83,11.88,-19.62,12.96,-12.31
TACT,2014-03-06,Y,11.63,11.15,11.15,9.8,-15.73,9.99,-14.1,15,11.53,9.8,-15.73,11.53,-0.85
TACT,2014-05-08,Y,10.33,9.8,10.21,9.11,-11.81,10.19,-1.35,8,10.24,9.11,-11.81,10.16,-1.64
TACT,2014-08-06,Y,8.96,8.19,8.22,7.13,-20.42,7.14,-20.31,9,8.22,7.0,-21.87,7.34,-18.08
TACT,2014-11-06,Y,5.92,5.71,5.82,5.52,-6.75,5.53,-6.58,16,5.82,5.19,-12.33,5.48,-7.43
TACT,2015-03-05,Y,6.37,6.1,6.7,6.1,5.18,6.24,-2.04,15,6.7,5.82,-8.63,5.96,-6.43
TACT,2015-05-06,Y,5.25,5.99,5.99,5.65,14.09,5.86,11.61,9,6.88,5.65,31.04,6.88,31.04
TACT,2015-08-04,Y,7.2,7.87,8.15,7.44,13.19,8.02,11.38,17,8.15,7.44,13.19,7.55,4.86
TACT,2015-11-05,Y,9.8,9.34,9.34,8.5,-13.26,9.07,-7.44,15,9.4,8.19,-16.42,8.6,-12.24
TACT,2016-03-03,Y,7.7,7.2,8.01,7.03,-8.7,7.52,-2.33,15,8.89,7.03,15.45,8.68,12.72
TACT,2016-05-04,Y,8.73,8.39,8.5,7.56,-13.4,8.02,-8.13,16,8.5,7.23,-17.18,7.26,-16.83
TACT,2016-08-04,Y,7.57,7.38,7.78,7.38,2.77,7.59,0.26,15,7.93,7.38,4.75,7.56,-0.13
TACT,2016-11-02,Y,7.05,7.25,7.35,6.35,-9.92,6.5,-7.8,16,7.35,5.9,-16.31,6.45,-8.51
TACT,2017-03-08,Y,6.9,7.95,7.95,7.33,15.21,7.8,13.04,9,8.69,7.33,25.94,8.3,20.28
TACT,2017-05-03,Y,9.07,9.4,9.4,8.83,3.63,8.85,-2.42,16,9.4,8.24,-9.15,8.35,-7.93
TACT,2017-08-03,Y,8.7,8.69,9.19,8.69,5.63,9.19,5.74,15,10.35,8.7,18.96,9.8,12.64
TACT,2017-11-01,Y,9.8,11.0,12.05,11.0,22.95,11.7,19.38,16,14.45,11.0,47.44,14.4,46.93
TACT,2018-03-05,Y,13.7,11.95,12.3,11.3,-17.51,11.8,-13.86,11,13.4,11.3,-17.51,13.25,-3.28
TACT,2018-08-02,Y,11.9,13.1,15.35,12.85,28.99,14.0,17.64,15,15.35,12.85,28.99,15.15,27.31
TACT,2018-11-06,Y,15.25,15.24,15.24,12.7,-16.72,13.14,-13.83,10,15.24,11.1,-27.21,11.33,-25.7
TACT,2019-03-06,Y,10.07,9.09,9.61,8.59,-14.69,9.15,-9.13,9,9.61,8.4,-16.58,8.76,-13.0
TACT,2019-05-07,Y,9.16,10.0,10.0,9.5,9.17,9.5,3.71,10,10.0,8.8,9.17,8.88,-3.05
TACT,2019-08-07,Y,12.0,11.48,12.25,10.65,-11.24,12.0,0.0,9,12.25,10.65,-11.24,12.0,0.0
TACT,2020-03-11,N,8.65,7.81,8.64,7.81,-9.71,8.46,-2.19,10,8.64,3.04,-64.85,3.14,-63.69
TACT,2020-05-19,N,3.56,3.57,3.72,3.54,4.49,3.65,2.52,32,6.27,3.51,76.12,4.99,40.16
TACT,2020-08-05,Y,3.95,4.11,4.83,4.06,22.27,4.55,15.18,16,5.75,4.06,45.56,4.89,23.79
TACT,2020-11-05,Y,7.75,7.75,7.76,7.28,-6.06,7.39,-4.64,15,9.95,7.28,28.38,9.0,16.12
TACT,2021-03-09,Y,11.34,11.1,12.47,11.03,9.96,12.43,9.61,10,12.47,11.02,9.96,11.9,4.93
TACT,2021-05-06,Y,12.61,12.53,12.89,12.5,2.22,12.69,0.63,15,14.0,12.26,11.02,14.0,11.02
