Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
TCON,2015-05-13,Y,11.22,11.5,11.51,10.0,-10.87,10.86,-3.2,2,12.94,10.0,15.32,12.27,9.35
TCON,2015-08-05,Y,12.91,13.17,13.34,11.71,-9.29,11.79,-8.67,16,13.34,10.24,-20.68,10.81,-16.26
TCON,2015-11-03,Y,10.87,8.75,10.46,8.75,-19.5,10.28,-5.42,17,10.46,8.58,-21.06,9.35,-13.98
TCON,2016-02-18,Y,7.17,6.45,7.23,6.14,-14.36,6.35,-11.43,1,7.23,6.14,-14.36,6.35,-11.43
TCON,2016-05-11,Y,6.21,6.18,6.49,6.13,4.5,6.29,1.28,9,6.95,6.13,11.91,6.5,4.66
TCON,2016-08-10,Y,5.56,5.3,6.05,5.3,8.81,5.76,3.59,9,6.76,5.3,21.58,6.4,15.1
TCON,2016-11-08,Y,5.6,5.85,6.0,5.45,7.14,5.7,1.78,10,7.3,4.84,30.35,6.95,24.1
TCON,2017-02-28,Y,3.9,3.9,4.05,3.9,3.84,4.0,2.56,17,4.7,3.8,20.51,4.5,15.38
TCON,2017-05-10,Y,3.25,3.1,3.3,3.0,-7.69,3.2,-1.53,9,3.45,3.0,-7.69,3.2,-1.53
TCON,2017-11-07,Y,2.97,3.05,3.1,2.8,-5.72,2.95,-0.67,10,3.3,2.64,11.11,2.75,-7.4
TCON,2021-02-25,Y,9.0,9.2,9.75,7.96,-11.55,9.35,3.88,22,9.75,6.81,-24.33,9.65,7.22
TCON,2021-05-05,Y,6.7,6.62,6.7,5.84,-12.83,6.21,-7.31,16,6.7,5.44,-18.8,5.84,-12.83
TCON,2021-08-11,Y,3.66,3.7,3.81,3.51,4.09,3.61,-1.36,9,3.81,3.21,-12.29,3.66,0.0
TCON,2021-11-03,Y,3.66,3.65,3.66,3.4,-7.1,3.61,-1.36,16,3.66,2.56,-30.05,2.59,-29.23
TCON,2022-03-15,Y,2.7,2.38,2.68,2.25,-16.66,2.42,-10.37,3,2.68,2.25,-16.66,2.58,-4.44
TCON,2022-05-11,Y,1.78,1.75,1.75,1.63,-8.42,1.64,-7.86,9,2.04,1.61,14.6,1.77,-0.56
TCON,2022-08-10,Y,2.07,2.16,2.22,2.02,7.24,2.09,0.96,9,2.32,2.0,12.07,2.09,0.96
TCON,2022-11-14,Y,1.69,1.64,1.64,1.46,-13.6,1.53,-9.46,4,1.64,1.36,-19.52,1.4,-17.15
