Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
TECK,2017-02-15,N,25.09,24.56,24.56,22.43,-10.6,22.44,-10.56,2,24.56,20.67,-17.61,21.34,-14.94
TECK,2017-04-25,N,21.96,21.06,21.3,20.38,-7.19,21.26,-3.18,25,21.98,17.43,-20.62,18.69,-14.89
TECK,2017-07-27,N,21.09,21.42,21.82,20.62,3.46,21.25,0.75,23,23.57,20.62,11.75,23.3,10.47
TECK,2017-10-26,N,22.91,22.25,22.28,20.66,-9.7,20.84,-8.91,23,22.28,20.06,-12.43,21.93,-4.27
TECK,2018-02-14,N,29.63,28.04,30.66,28.02,-5.27,30.33,2.53,3,30.8,28.07,-5.26,29.75,0.4
TECK,2018-04-24,N,25.73,26.52,27.06,24.89,5.16,25.57,-0.62,25,28.97,24.33,12.59,28.23,9.71
TECK,2018-07-26,N,25.01,25.1,26.32,24.75,5.23,26.15,4.55,23,26.4,21.63,-13.51,22.78,-8.91
TECK,2018-10-25,N,20.55,20.38,20.38,18.86,-8.22,19.02,-7.44,23,22.38,18.17,-11.58,21.93,6.71
TECK,2019-02-13,N,22.79,22.52,22.75,21.4,-6.09,21.53,-5.52,3,22.75,21.3,-6.53,21.65,-5.0
TECK,2019-04-23,N,24.6,24.91,25.45,24.55,3.45,24.55,-0.2,25,25.45,20.32,-17.39,20.42,-16.99
TECK,2019-07-25,N,22.82,22.61,23.13,21.27,-6.79,21.61,-5.3,23,23.13,16.43,-28.0,16.55,-27.47
TECK,2019-10-24,N,16.89,17.32,17.6,15.82,-6.33,16.04,-5.03,23,17.6,15.64,-7.4,16.39,-2.96
TECK,2020-02-21,N,12.89,12.5,12.5,10.85,-15.82,10.92,-15.28,1,12.5,10.85,-15.82,10.92,-15.28
TECK,2020-04-21,N,7.49,7.09,7.44,6.79,-9.34,7.05,-5.87,25,9.34,6.79,24.69,8.8,17.48
TECK,2020-07-23,N,10.84,10.99,11.8,10.94,8.85,11.56,6.64,30,12.88,10.03,18.81,11.35,4.7
TECK,2020-10-27,N,13.35,12.81,13.2,12.4,-7.11,12.56,-5.91,25,15.92,11.91,19.25,15.06,12.8
TECK,2021-02-18,N,20.72,20.94,21.47,20.31,3.61,21.42,3.37,2,23.15,20.31,11.72,23.0,11.0
TECK,2021-04-28,N,22.42,22.21,22.47,21.68,-3.3,22.37,-0.22,24,26.72,21.0,19.17,23.09,2.98
TECK,2021-07-27,N,21.83,21.25,21.79,20.73,-5.03,21.67,-0.73,25,23.57,19.32,-11.49,19.69,-9.8
TECK,2021-10-27,N,28.2,28.23,28.48,27.21,-3.51,27.93,-0.95,24,29.19,25.77,-8.61,26.1,-7.44
TECK,2022-02-24,N,35.45,34.08,35.62,33.55,-5.35,34.84,-1.72,23,42.38,33.55,19.54,38.99,9.98
TECK,2022-04-27,N,35.16,36.96,40.02,36.86,13.82,39.29,11.74,24,42.79,34.89,21.7,40.29,14.59
TECK,2022-07-27,N,26.48,26.9,27.23,25.97,2.83,27.21,2.75,24,35.07,25.97,32.43,34.02,28.47
TECK,2022-10-27,N,35.75,34.4,35.49,32.93,-7.88,33.9,-5.17,23,36.79,29.75,-16.78,32.84,-8.13
TECK,2023-02-21,N,44.12,46.48,46.9,42.75,6.3,43.28,-1.9,28,46.9,32.48,-26.38,34.2,-22.48
