Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
TEL,2007-08-08,N,34.85,32.09,35.47,32.09,-7.91,34.74,-0.31,9,35.47,32.0,-8.17,35.1,0.71
TEL,2007-11-15,Y,33.1,34.86,35.86,34.11,8.33,35.02,5.8,1,35.86,34.11,8.33,35.02,5.8
TEL,2008-02-06,N,32.61,33.2,36.29,33.2,11.28,34.75,6.56,9,36.35,33.2,11.46,35.08,7.57
TEL,2008-05-01,N,37.4,38.27,40.0,38.25,6.92,39.95,6.78,15,40.0,37.02,6.92,39.17,4.7
TEL,2008-07-30,N,35.57,34.85,35.6,31.1,-12.56,33.74,-5.14,16,35.6,31.1,-12.56,34.38,-3.34
TEL,2008-11-06,N,19.01,18.55,18.55,15.77,-17.04,16.78,-11.73,15,18.55,12.85,-32.4,14.6,-23.19
TEL,2009-01-28,N,15.74,14.26,15.19,13.8,-12.32,15.05,-4.38,23,15.19,10.77,-31.57,11.01,-30.05
TEL,2009-04-16,Y,14.27,15.58,17.5,15.58,22.63,16.23,13.73,1,17.5,15.58,22.63,16.23,13.73
TEL,2009-07-29,N,20.66,21.46,21.53,20.78,4.21,21.18,2.51,23,23.74,20.78,14.9,23.55,13.98
TEL,2009-11-04,N,21.71,23.8,23.95,22.44,10.31,22.51,3.68,16,24.96,22.44,14.97,23.84,9.81
TEL,2010-01-27,N,25.37,26.1,26.35,24.89,3.86,25.75,1.49,23,26.73,24.13,5.36,26.4,4.05
TEL,2010-04-28,N,29.2,29.98,31.88,29.73,9.17,30.76,5.34,23,32.97,26.7,12.91,27.93,-4.34
TEL,2010-07-22,N,25.46,25.62,26.19,25.26,2.86,25.76,1.17,29,28.58,25.26,12.25,26.23,3.02
TEL,2010-10-28,N,30.99,31.41,31.82,30.98,2.67,31.4,1.32,22,33.95,30.69,9.55,31.97,3.16
TEL,2011-01-20,N,36.03,35.72,36.65,34.03,-5.55,36.02,-0.02,1,36.72,34.03,-5.55,36.45,1.16
TEL,2011-04-21,N,35.72,34.74,35.1,34.5,-3.41,35.0,-2.01,29,38.06,34.5,6.55,37.09,3.83
TEL,2011-07-20,N,35.35,37.49,38.4,35.76,8.62,36.13,2.2,31,38.4,27.43,-22.4,28.01,-20.76
TEL,2011-11-03,N,35.51,35.49,35.88,34.54,-2.73,35.74,0.64,16,35.88,31.79,-10.47,32.07,-9.68
TEL,2012-01-25,N,35.71,32.28,34.85,29.39,-17.69,34.68,-2.88,24,36.11,29.39,-17.69,36.01,0.84
TEL,2012-04-25,N,34.5,33.92,36.04,33.89,4.46,35.99,4.31,24,37.0,30.61,-11.27,31.59,-8.43
TEL,2012-07-25,N,31.35,31.15,31.59,30.83,-1.65,31.38,0.09,24,35.77,30.83,14.09,35.75,14.03
TEL,2012-11-05,N,32.36,31.99,33.54,31.74,3.61,33.4,3.18,12,34.9,31.74,7.81,34.72,7.25
TEL,2013-01-23,N,39.06,38.49,39.86,38.18,-2.25,39.39,0.84,24,41.29,38.18,5.7,41.03,5.04
TEL,2013-04-24,N,40.5,40.75,42.26,40.75,4.34,42.16,4.09,24,46.44,40.75,14.66,46.09,13.8
TEL,2013-07-24,N,47.95,48.29,50.9,48.29,6.15,50.76,5.86,24,51.64,48.29,7.69,49.18,2.56
TEL,2013-10-30,N,52.99,53.15,53.37,50.97,-3.81,51.04,-3.67,17,53.37,50.76,-4.2,52.5,-0.92
TEL,2014-01-22,N,56.3,58.05,61.14,58.0,8.59,60.0,6.57,31,61.14,54.17,8.59,57.97,2.96
TEL,2014-04-23,N,61.34,61.01,61.78,60.24,-1.79,60.36,-1.59,24,61.78,56.28,-8.24,57.59,-6.11
TEL,2014-07-23,N,64.97,63.0,64.7,60.7,-6.57,62.32,-4.07,24,64.7,60.63,-6.68,62.88,-3.21
TEL,2014-10-29,N,58.0,57.6,58.76,57.49,1.31,58.06,0.1,24,63.7,57.49,9.82,63.68,9.79
TEL,2015-01-28,N,64.63,66.38,69.95,66.06,8.23,67.45,4.36,23,71.53,64.77,10.67,71.43,10.52
TEL,2015-04-22,N,70.01,66.89,70.28,66.64,-4.81,70.14,0.18,23,70.29,66.19,-5.45,70.2,0.28
TEL,2015-07-22,N,62.37,62.09,62.68,61.45,-1.47,61.7,-1.07,30,64.06,58.73,-5.83,58.77,-5.77
TEL,2015-10-28,N,62.44,62.8,63.3,61.83,1.37,63.23,1.26,23,67.8,61.83,8.58,67.61,8.27
TEL,2016-01-20,N,55.38,59.01,59.01,55.6,6.55,56.3,1.66,30,60.06,51.7,8.45,57.61,4.02
TEL,2016-04-20,N,63.69,62.21,62.65,60.37,-5.21,61.44,-3.53,30,62.65,57.44,-9.81,57.83,-9.2
TEL,2016-07-20,N,59.59,59.03,62.14,59.03,4.27,61.87,3.82,30,62.91,57.85,5.57,62.86,5.48
TEL,2016-11-02,N,63.29,64.23,65.48,62.87,3.46,62.92,-0.58,16,67.5,62.22,6.65,66.67,5.34
TEL,2017-01-25,N,71.68,74.18,76.45,74.18,6.65,75.17,4.86,23,76.48,72.72,6.69,75.2,4.92
TEL,2017-04-26,N,75.6,79.2,79.69,76.17,5.41,76.65,1.38,24,79.69,73.01,5.41,74.67,-1.23
TEL,2017-07-26,N,83.22,84.65,85.2,79.25,-4.77,80.65,-3.08,24,85.2,77.15,-7.29,77.71,-6.62
TEL,2017-11-01,N,90.97,92.86,93.11,90.23,2.35,91.87,0.98,17,95.37,90.23,4.83,95.04,4.47
