Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
TEO,2013-07-30,N,16.04,16.05,16.1,15.71,-2.05,16.07,0.18,17,20.41,15.71,27.24,20.0,24.68
TEO,2013-10-31,N,18.75,18.63,19.77,18.42,5.43,19.57,4.37,15,21.56,18.42,14.98,20.04,6.87
TEO,2014-02-28,N,16.96,16.87,17.18,16.36,-3.53,16.93,-0.17,21,17.64,15.65,-7.72,17.43,2.77
TEO,2014-05-09,N,20.6,20.72,21.11,20.48,2.47,20.65,0.24,7,21.11,18.85,-8.49,19.32,-6.21
TEO,2014-07-31,N,23.87,22.77,22.85,21.55,-9.71,21.89,-8.29,15,22.85,18.8,-21.24,19.57,-18.01
TEO,2014-11-04,N,23.18,23.18,23.55,21.82,-5.86,21.97,-5.22,18,23.55,20.32,-12.33,21.79,-5.99
TEO,2015-03-20,N,25.57,25.6,25.8,25.31,-1.01,25.35,-0.86,0,25.8,25.31,-1.01,25.35,-0.86
TEO,2015-05-05,N,20.99,20.94,21.09,20.58,-1.95,20.86,-0.61,10,21.1,20.19,-3.81,20.86,-0.61
TEO,2015-08-04,Y,16.29,16.47,16.91,15.82,3.8,16.69,2.45,17,18.17,15.06,11.54,15.81,-2.94
TEO,2015-11-03,N,19.89,19.8,20.09,18.62,-6.38,19.98,0.5,17,20.09,17.64,-11.31,18.93,-4.82
TEO,2016-05-10,N,18.26,18.23,18.64,18.21,2.08,18.42,0.87,10,19.7,17.5,7.88,17.8,-2.46
TEO,2016-11-09,N,18.54,17.75,18.62,17.75,-4.26,18.38,-0.86,9,18.62,17.3,-6.68,17.96,-3.12
TEO,2017-03-09,N,21.7,21.75,22.1,21.51,1.84,21.9,0.92,8,23.5,21.51,8.29,22.93,5.66
TEO,2017-05-11,N,23.75,23.62,24.44,23.62,2.9,24.36,2.56,9,25.97,23.3,9.34,24.34,2.48
TEO,2018-03-07,Y,33.33,33.09,33.6,33.09,3.22,33.46,2.79,9,35.48,33.15,6.45,33.83,1.5
TEO,2018-05-11,Y,22.2,22.44,22.5,21.62,-2.61,22.05,-0.67,7,23.67,21.13,6.62,23.07,3.91
TEO,2018-11-07,Y,18.81,18.65,19.21,18.4,-2.17,18.49,-1.7,9,19.21,16.55,-12.01,17.23,-8.39
TEO,2019-03-07,Y,14.78,14.82,15.23,14.6,3.04,14.81,0.2,8,15.81,14.6,6.96,15.17,2.63
TEO,2020-03-09,Y,10.93,11.1,12.23,11.05,11.89,12.17,11.34,11,12.35,7.42,-32.11,7.97,-27.08
TEO,2020-05-14,Y,7.42,7.55,8.2,7.4,10.51,7.55,1.75,1,8.2,7.4,10.51,7.55,1.75
TEO,2020-08-13,Y,7.95,7.94,8.12,7.81,2.13,8.01,0.75,8,8.16,7.38,-7.16,7.45,-6.28
TEO,2020-11-09,Y,7.22,7.28,7.59,7.21,5.12,7.43,2.9,11,7.59,6.74,-6.64,7.1,-1.66
TEO,2021-03-09,Y,5.39,5.49,5.68,5.34,5.38,5.67,5.19,10,6.14,5.34,13.91,5.9,9.46
TEO,2021-08-06,Y,5.31,5.38,5.39,5.04,-5.08,5.13,-3.38,14,5.4,4.99,-6.02,5.25,-1.12
TEO,2021-11-09,Y,5.35,5.34,5.53,5.31,3.36,5.51,2.99,10,5.64,5.07,5.42,5.07,-5.23
TEO,2022-05-10,Y,4.77,4.77,5.19,4.76,8.8,5.1,6.91,10,5.51,4.76,15.51,5.08,6.49
