Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
THRX,2005-02-16,Y,18.32,18.25,18.35,18.25,-0.43,18.25,-0.43,2,18.54,18.25,1.14,18.41,0.43
THRX,2005-05-04,Y,17.38,17.59,17.6,17.19,1.26,17.2,-1.03,16,18.34,17.0,5.52,18.07,4.02
THRX,2005-07-27,Y,19.82,19.96,20.36,19.75,2.67,20.3,2.37,23,21.31,19.5,7.46,20.55,3.63
THRX,2005-10-27,Y,23.35,20.75,23.69,19.75,-15.41,20.86,-10.66,22,23.69,19.75,-15.41,21.25,-8.99
THRX,2006-02-09,Y,29.88,28.65,29.37,25.99,-13.01,28.86,-3.41,8,30.53,25.99,-13.01,29.63,-0.83
THRX,2006-04-27,Y,28.29,28.07,28.28,27.9,-1.37,28.06,-0.81,22,29.42,24.85,-12.15,25.2,-10.92
THRX,2006-07-27,Y,23.48,23.48,23.8,22.75,-3.1,23.5,0.08,22,26.24,22.75,11.75,25.54,8.77
THRX,2006-10-26,Y,30.82,30.83,32.83,30.66,6.52,32.65,5.97,22,32.83,29.63,6.52,29.89,-3.01
THRX,2007-02-08,Y,36.74,35.52,36.69,35.25,-4.05,35.54,-3.23,8,36.69,33.1,-9.9,33.28,-9.41
THRX,2007-04-26,Y,33.07,33.22,34.21,33.18,3.44,33.68,1.84,22,34.39,32.0,3.99,34.24,3.53
THRX,2007-07-26,Y,29.35,29.0,29.13,25.66,-12.57,27.7,-5.62,22,30.89,25.5,-13.11,29.57,0.74
THRX,2007-10-25,Y,23.06,25.39,25.39,23.4,10.1,23.97,3.94,22,25.65,23.4,11.23,24.49,6.2
THRX,2008-02-14,Y,17.48,17.14,17.55,15.14,-13.43,16.98,-2.85,1,17.55,15.14,-13.43,16.98,-2.85
THRX,2008-04-21,Y,13.74,14.21,14.21,12.34,-10.18,13.0,-5.38,25,14.21,11.82,-13.97,13.43,-2.25
THRX,2008-07-24,Y,15.97,16.1,16.3,15.51,-2.88,15.75,-1.37,22,17.0,14.97,6.44,15.7,-1.69
THRX,2008-10-23,Y,10.21,9.15,9.49,8.13,-20.37,8.22,-19.49,29,12.0,4.32,-57.68,5.77,-43.48
THRX,2009-02-12,Y,16.0,16.09,17.19,16.04,7.43,16.64,4.06,8,17.48,14.42,-9.87,14.87,-7.06
THRX,2009-04-22,Y,14.58,14.64,14.93,13.24,-9.19,14.49,-0.61,23,15.23,12.68,-13.03,13.42,-7.95
THRX,2009-07-23,Y,14.11,14.1,16.59,13.6,17.57,16.48,16.86,29,16.59,13.6,17.57,15.63,10.77
THRX,2009-10-27,Y,14.75,14.5,14.79,14.11,-4.33,14.17,-3.93,24,15.61,13.52,-8.33,14.04,-4.81
THRX,2010-02-11,Y,10.05,9.61,10.06,9.61,-4.37,9.69,-3.48,8,10.58,9.61,5.27,10.22,1.69
THRX,2010-04-21,Y,16.17,16.11,16.18,15.58,-3.64,15.82,-2.16,30,17.23,12.6,-22.07,13.14,-18.73
THRX,2010-07-22,Y,13.52,13.42,14.93,13.33,10.42,14.88,10.05,29,17.39,13.33,28.62,14.0,3.55
THRX,2010-10-21,Y,21.99,22.19,22.2,20.28,-7.77,20.54,-6.59,29,22.78,19.51,-11.27,22.52,2.41
THRX,2011-02-15,Y,24.18,24.4,24.4,23.05,-4.67,23.44,-3.06,3,24.4,22.01,-8.97,22.5,-6.94
THRX,2011-04-28,Y,28.7,28.42,28.95,27.66,-3.62,27.75,-3.31,22,28.95,24.23,-15.57,25.48,-11.21
THRX,2011-07-28,Y,22.11,21.75,22.26,20.8,-5.92,21.38,-3.3,22,22.26,16.59,-24.96,17.5,-20.85
THRX,2011-10-27,Y,23.5,23.29,24.0,22.64,-3.65,22.81,-2.93,22,24.0,20.9,-11.06,22.34,-4.93
THRX,2012-02-09,Y,17.35,16.61,16.85,15.69,-9.56,16.53,-4.72,8,19.84,15.69,14.35,18.54,6.85
THRX,2012-04-26,Y,21.14,21.34,22.01,20.57,4.11,21.73,2.79,22,22.89,19.82,8.27,20.32,-3.83
THRX,2012-07-31,Y,29.13,29.65,29.65,27.58,-5.32,27.59,-5.28,17,29.65,25.04,-14.04,26.24,-9.92
THRX,2012-10-30,Y,24.85,22.6,24.91,21.81,-12.23,22.35,-10.06,17,24.91,19.61,-21.08,20.21,-18.67
THRX,2013-02-12,Y,21.6,21.87,22.27,21.52,3.1,22.13,2.45,3,22.27,21.52,3.1,22.13,2.45
THRX,2013-04-25,Y,30.92,32.75,34.97,32.15,13.09,34.0,9.96,22,42.41,31.06,37.16,39.58,28.0
THRX,2013-07-25,Y,37.29,37.0,37.49,36.13,-3.11,36.6,-1.85,22,39.72,34.76,-6.78,35.97,-3.51
THRX,2013-10-24,Y,36.15,37.02,39.14,36.04,8.27,39.07,8.07,22,39.25,33.68,8.57,36.02,-0.35
THRX,2014-02-06,Y,36.13,34.5,37.14,34.5,-4.51,36.58,1.24,15,40.82,34.5,12.98,39.29,8.74
THRX,2014-05-06,Y,27.19,26.74,27.15,25.11,-7.64,27.13,-0.22,10,29.37,25.11,8.01,27.37,0.66
THRX,2014-08-06,Y,21.68,21.02,22.4,21.01,3.32,22.0,1.47,9,23.25,21.01,7.24,22.7,4.7
THRX,2014-10-30,Y,16.21,16.46,16.61,15.58,-3.88,16.02,-1.17,23,16.61,12.78,-21.15,15.2,-6.23
THRX,2015-03-10,Y,19.75,19.75,20.45,19.2,3.54,19.34,-2.07,10,20.45,16.11,-18.43,17.03,-13.77
THRX,2015-05-06,Y,15.56,15.5,15.78,14.88,-4.37,15.56,,9,16.43,14.88,5.59,16.25,4.43
THRX,2015-07-29,Y,15.62,15.32,15.38,13.86,-11.26,14.26,-8.7,23,15.74,12.77,-18.24,13.59,-12.99
THRX,2015-10-28,Y,8.15,8.5,9.19,8.15,12.76,8.81,8.09,23,9.36,8.15,14.84,8.92,9.44
THRX,2016-02-17,Y,12.85,12.84,12.99,11.89,-7.47,11.97,-6.84,2,12.99,11.69,-9.02,12.28,-4.43
