Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
TIGO,2019-10-23,Y,49.6,46.5,46.5,44.51,-10.26,44.6,-10.08,23,47.49,40.83,-17.68,41.07,-17.19
TIGO,2020-02-25,N,44.26,44.79,45.14,44.29,1.98,44.78,1.17,25,47.8,22.05,-50.18,22.86,-48.35
TIGO,2020-04-30,Y,26.51,26.2,26.65,25.04,-5.54,25.14,-5.16,15,26.65,20.15,-23.99,20.86,-21.31
TIGO,2020-07-30,N,28.51,29.51,29.85,28.81,4.7,29.82,4.59,23,31.11,27.15,9.11,27.26,-4.38
TIGO,2020-10-30,N,28.31,29.39,30.22,28.89,6.74,29.84,5.4,22,37.31,28.64,31.79,36.53,29.03
TIGO,2021-02-11,N,37.68,36.65,36.8,36.11,-4.16,36.35,-3.52,9,38.86,36.11,-4.16,37.08,-1.59
TIGO,2021-04-29,N,38.15,40.57,40.87,39.33,7.12,39.69,4.03,23,45.8,39.09,20.05,44.81,17.45
TIGO,2021-07-29,N,42.35,40.15,40.47,39.97,-5.61,40.0,-5.54,23,40.73,36.62,-13.53,37.0,-12.63
TIGO,2021-10-28,N,36.24,36.38,36.54,36.17,0.82,36.33,0.24,23,37.0,33.8,-6.73,34.05,-6.04
TIGO,2022-02-11,N,27.38,28.21,28.56,27.34,4.3,27.54,0.58,8,28.56,25.49,-6.9,25.69,-6.17
TIGO,2022-04-28,N,23.59,22.38,22.61,21.4,-9.28,22.06,-6.48,23,24.11,16.64,-29.46,17.02,-27.85
TIGO,2022-07-28,N,13.86,14.9,15.28,14.81,10.24,15.24,9.95,23,16.1,14.67,16.16,15.57,12.33
TIGO,2023-02-10,N,18.61,18.99,19.05,18.5,2.36,18.64,0.16,8,21.15,18.5,13.64,19.64,5.53
