Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
TINY,2007-03-16,Y,11.97,11.85,12.06,11.74,-1.92,11.81,-1.33,35,14.32,11.74,19.63,14.1,17.79
TINY,2007-05-10,Y,13.41,13.34,13.73,13.25,2.38,13.66,1.86,8,13.74,11.35,-15.36,11.86,-11.55
TINY,2007-08-09,Y,11.4,11.24,11.45,10.77,-5.52,11.35,-0.43,8,11.45,10.05,-11.84,10.99,-3.59
TINY,2007-11-08,Y,10.06,10.0,10.3,9.9,2.38,10.16,0.99,8,10.39,9.69,-3.67,9.9,-1.59
TINY,2008-03-13,Y,6.13,6.25,6.25,6.0,-2.12,6.05,-1.3,8,6.34,5.8,-5.38,6.25,1.95
TINY,2008-05-08,Y,7.92,7.82,8.01,7.82,-1.26,7.96,0.5,8,8.73,7.82,10.22,8.03,1.51
TINY,2008-08-07,Y,6.22,6.25,6.65,6.17,6.91,6.55,5.3,8,7.51,6.17,20.73,6.99,12.37
TINY,2008-11-07,Y,5.05,5.07,5.12,4.41,-12.67,4.55,-9.9,14,5.12,3.1,-38.61,3.8,-24.75
TINY,2009-03-16,Y,3.47,3.4,3.56,3.4,2.59,3.55,2.3,4,3.85,3.4,10.95,3.69,6.34
TINY,2009-05-08,Y,4.58,4.65,4.67,4.3,-6.11,4.55,-0.65,7,4.82,3.93,-14.19,4.22,-7.86
TINY,2009-08-06,Y,6.59,6.75,6.93,6.5,5.15,6.7,1.66,15,6.93,5.85,-11.22,6.19,-6.06
TINY,2009-11-06,Y,4.68,4.72,4.74,4.5,-3.84,4.61,-1.49,14,4.8,4.34,-7.26,4.44,-5.12
TINY,2010-03-19,N,4.75,4.75,4.84,4.65,-2.1,4.76,0.42,0,4.84,4.65,-2.1,4.76,0.42
TINY,2010-05-10,Y,4.66,4.68,4.79,4.53,2.78,4.62,-0.85,11,5.0,4.32,7.29,4.38,-6.0
TINY,2010-08-12,Y,4.0,3.97,4.05,3.87,-3.24,3.88,-3.0,8,4.05,3.82,-4.5,3.87,-3.24
TINY,2011-03-18,Y,4.97,5.11,5.15,5.0,3.62,5.15,3.62,28,5.58,4.9,12.27,5.18,4.22
TINY,2011-05-10,Y,5.33,5.21,5.27,5.07,-4.87,5.07,-4.87,10,5.72,4.91,-7.87,5.4,1.31
TINY,2011-08-12,Y,4.13,4.16,4.26,4.09,3.14,4.25,2.9,7,4.38,4.0,6.05,4.0,-3.14
TINY,2011-11-11,Y,3.8,3.73,3.85,3.69,-2.89,3.73,-1.84,7,3.89,3.61,-4.99,3.7,-2.63
TINY,2012-03-16,Y,4.16,4.19,4.26,4.16,2.4,4.22,1.44,35,4.57,3.91,9.85,3.95,-5.04
TINY,2012-05-10,Y,3.76,3.7,3.81,3.7,-1.59,3.71,-1.32,8,3.81,3.25,-13.56,3.25,-13.56
TINY,2012-08-14,Y,3.65,3.63,3.79,3.63,3.83,3.67,0.54,3,3.85,3.63,5.47,3.85,5.47
TINY,2012-11-08,Y,3.16,3.14,3.36,3.12,6.32,3.25,2.84,8,3.39,3.05,7.27,3.08,-2.53
TINY,2013-03-15,Y,3.74,3.64,3.75,3.64,-2.67,3.66,-2.13,35,3.75,3.06,-18.18,3.13,-16.31
TINY,2013-05-10,Y,3.18,3.19,3.25,3.17,2.2,3.17,-0.31,7,3.31,3.17,4.08,3.26,2.51
TINY,2013-08-09,Y,3.17,3.16,3.2,3.15,0.94,3.15,-0.63,7,3.2,3.06,-3.47,3.08,-2.83
TINY,2013-11-12,Y,3.04,3.07,3.1,3.04,1.97,3.09,1.64,3,3.1,3.03,1.97,3.07,0.98
TINY,2014-03-19,Y,3.5,3.5,3.57,3.34,-4.57,3.39,-3.14,2,3.57,3.34,-4.57,3.41,-2.57
TINY,2014-05-08,Y,3.51,3.54,3.58,3.45,1.99,3.5,-0.28,8,3.58,3.35,-4.55,3.38,-3.7
TINY,2014-11-10,Y,2.79,2.79,2.84,2.79,1.79,2.82,1.07,12,2.94,2.75,5.37,2.9,3.94
TINY,2015-03-16,Y,3.13,3.07,3.13,2.86,-8.62,2.95,-5.75,4,3.13,2.86,-8.62,3.02,-3.51
TINY,2015-08-13,Y,2.59,2.54,2.63,2.54,-1.93,2.6,0.38,8,2.63,2.41,-6.94,2.45,-5.4
TINY,2015-11-12,Y,2.11,2.12,2.12,2.06,-2.36,2.1,-0.47,8,2.21,2.06,4.73,2.16,2.36
TINY,2016-03-16,Y,1.9,1.9,1.93,1.9,1.57,1.91,0.52,2,1.93,1.89,1.57,1.91,0.52
TINY,2016-05-10,Y,1.69,1.68,1.72,1.65,-2.36,1.7,0.59,10,1.72,1.64,-2.95,1.67,-1.18
TINY,2016-08-23,Y,1.6,1.6,1.61,1.6,0.62,1.6,,24,1.64,1.42,-11.25,1.45,-9.37
TINY,2016-11-15,Y,1.24,1.24,1.25,1.22,-1.61,1.22,-1.61,3,1.27,1.21,2.41,1.23,-0.8
TINY,2017-03-16,Y,1.36,1.34,1.36,1.33,-2.2,1.33,-2.2,1,1.36,1.33,-2.2,1.33,-2.2
TINY,2017-05-08,Y,1.63,1.64,1.68,1.61,3.06,1.68,3.06,11,1.72,1.56,5.52,1.61,-1.22
