Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
TPR,2002-01-23,N,5.28,5.37,5.38,5.18,1.89,5.38,1.89,23,5.94,5.18,12.5,5.51,4.35
TPR,2002-04-23,N,6.73,7.06,7.11,6.91,5.64,7.08,5.2,24,7.53,6.71,11.88,7.48,11.14
TPR,2002-07-30,N,6.18,6.22,6.38,5.75,-6.95,5.88,-4.85,17,6.88,5.39,-12.78,6.82,10.35
TPR,2002-10-22,N,7.36,7.37,7.67,7.3,4.21,7.35,-0.13,24,8.27,7.0,12.36,7.88,7.06
TPR,2003-01-22,N,7.29,7.52,8.25,7.56,13.16,8.11,11.38,30,8.35,7.45,14.54,8.31,13.99
TPR,2003-04-22,N,9.61,9.81,10.69,9.82,11.12,10.64,10.6,24,11.82,9.82,22.86,11.31,17.56
TPR,2003-07-29,N,13.84,13.86,14.25,13.22,-4.47,13.55,-2.09,17,14.25,12.31,-11.05,13.73,-0.79
TPR,2003-10-21,N,15.72,16.3,17.1,16.05,8.77,16.94,7.76,31,19.36,15.75,23.15,18.12,15.26
TPR,2004-01-21,N,17.98,18.46,18.12,17.53,-2.5,17.85,-0.72,30,20.02,16.89,11.34,19.68,9.45
TPR,2004-04-20,N,19.75,20.52,21.23,20.29,7.49,20.69,4.75,31,22.72,19.66,15.03,20.05,1.51
TPR,2004-08-03,N,21.52,21.26,21.8,20.02,-6.97,20.05,-6.78,17,21.8,17.98,-16.44,20.52,-4.64
TPR,2004-10-26,N,20.86,21.85,22.6,21.37,8.34,22.28,6.8,24,25.24,21.37,20.99,24.32,16.58
TPR,2005-01-25,N,26.41,27.22,27.78,26.72,5.18,27.32,3.44,24,28.42,26.62,7.61,27.75,5.07
TPR,2005-04-26,N,26.32,27.95,28.1,26.77,6.76,27.76,5.47,24,29.81,26.25,13.25,29.35,11.51
TPR,2005-08-02,N,35.54,35.47,35.47,33.0,-7.17,34.75,-2.25,17,35.47,32.47,-8.66,32.99,-7.2
TPR,2005-10-25,N,31.25,32.5,33.09,31.79,5.88,32.22,3.1,24,35.0,31.13,12.0,34.43,10.17
TPR,2006-01-24,N,32.07,33.92,35.29,33.63,10.04,34.89,8.79,24,37.18,33.63,15.93,36.2,12.87
TPR,2006-04-25,N,35.2,34.5,34.51,32.2,-8.52,32.86,-6.64,24,34.51,29.2,-17.04,30.03,-14.68
TPR,2006-08-01,N,28.71,28.72,29.5,27.4,-4.56,29.5,2.75,17,31.49,27.4,9.68,31.3,9.02
TPR,2006-10-24,Y,39.21,39.25,40.15,39.21,2.39,39.95,1.88,24,42.67,38.34,8.82,42.04,7.21
TPR,2007-01-23,Y,43.91,43.52,44.81,43.48,2.04,44.8,2.02,24,50.0,43.48,13.86,49.98,13.82
TPR,2007-04-24,N,53.35,52.5,53.0,49.6,-7.02,50.26,-5.79,24,53.0,46.06,-13.66,47.96,-10.1
TPR,2007-07-31,N,47.87,47.87,48.5,44.58,-6.87,45.46,-5.03,17,48.91,40.77,-14.83,44.32,-7.41
TPR,2007-10-23,Y,36.6,36.93,37.17,36.19,1.55,36.4,-0.54,24,37.74,30.52,-16.61,34.32,-6.22
TPR,2008-01-23,N,27.49,27.37,30.0,25.75,9.13,29.19,6.18,23,32.99,25.75,20.0,31.06,12.98
TPR,2008-04-22,N,32.5,31.55,31.78,29.95,-7.84,31.7,-2.46,24,37.64,29.95,15.81,36.65,12.76
TPR,2008-07-29,Y,26.0,26.01,26.88,25.3,3.38,25.76,-0.92,17,32.96,24.56,26.76,31.19,19.96
TPR,2008-10-21,N,18.63,20.0,21.47,19.66,15.24,20.37,9.33,31,21.48,13.19,-29.2,14.74,-20.88
TPR,2009-01-21,N,15.87,16.23,16.48,13.37,-15.75,14.72,-7.24,30,16.48,13.33,-16.0,13.74,-13.42
TPR,2009-04-21,N,18.23,20.18,21.62,19.97,18.59,20.92,14.75,24,26.48,19.76,45.25,23.14,26.93
TPR,2009-07-28,N,28.43,26.85,28.14,26.37,-7.24,28.05,-1.33,24,30.61,26.37,7.66,28.75,1.12
TPR,2009-10-20,N,34.51,33.79,34.5,33.27,-3.59,33.4,-3.18,31,37.1,31.69,-8.17,33.79,-2.08
TPR,2010-01-20,N,37.45,35.2,35.9,34.99,-6.56,35.35,-5.6,30,36.51,32.96,-11.98,36.38,-2.85
TPR,2010-04-20,N,41.88,42.92,43.01,41.72,2.69,42.03,0.35,31,43.84,35.7,-14.75,38.43,-8.23
TPR,2010-08-03,N,38.43,36.61,37.65,36.02,-6.27,37.1,-3.46,17,39.36,36.02,-6.27,37.31,-2.91
