Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
TRUE,2014-08-07,Y,14.66,13.96,14.27,13.3,-9.27,13.52,-7.77,8,16.98,13.3,15.82,15.76,7.5
TRUE,2014-11-06,Y,16.34,16.85,16.85,15.81,-3.24,16.42,0.48,16,19.04,15.81,16.52,19.0,16.27
TRUE,2015-02-19,Y,20.77,19.98,20.23,17.69,-14.82,17.95,-13.57,1,20.23,17.69,-14.82,17.95,-13.57
TRUE,2015-05-07,Y,15.03,14.78,15.25,13.74,-8.58,14.11,-6.12,8,15.25,13.3,-11.51,14.25,-5.18
TRUE,2015-08-06,Y,5.54,5.48,5.79,5.07,-8.48,5.76,3.97,15,6.06,4.74,-14.44,4.79,-13.53
TRUE,2015-11-05,Y,6.13,7.25,8.55,7.15,39.47,8.43,37.52,15,8.55,6.5,39.47,7.41,20.88
TRUE,2016-02-18,Y,5.77,4.5,5.07,4.47,-22.53,5.04,-12.65,1,5.07,4.47,-22.53,5.04,-12.65
TRUE,2016-05-05,Y,6.26,6.28,6.55,5.77,-7.82,5.99,-4.31,15,7.22,5.71,15.33,7.21,15.17
TRUE,2016-08-04,Y,9.93,10.0,10.42,9.94,4.93,10.23,3.02,15,11.13,9.94,12.08,10.77,8.45
TRUE,2016-11-03,Y,9.26,10.9,11.12,10.37,20.08,10.55,13.93,15,13.07,10.37,41.14,12.68,36.93
TRUE,2017-02-16,Y,13.25,15.22,15.26,14.11,15.16,14.38,8.52,1,15.26,14.11,15.16,14.38,8.52
TRUE,2017-05-09,Y,17.31,18.0,18.76,17.69,8.37,17.8,2.83,10,18.76,16.79,8.37,17.51,1.15
TRUE,2017-08-08,Y,19.51,17.26,17.5,16.35,-16.19,16.73,-14.24,10,17.5,15.64,-19.83,16.67,-14.55
TRUE,2017-11-06,Y,16.34,11.4,11.89,10.45,-36.04,10.58,-35.25,11,11.89,10.16,-37.82,11.15,-31.76
TRUE,2018-02-15,Y,11.91,11.36,11.39,10.85,-8.9,11.18,-6.12,1,11.39,10.85,-8.9,11.18,-6.12
TRUE,2018-05-08,Y,10.4,9.21,9.6,9.0,-13.46,9.42,-9.42,10,10.0,8.75,-15.86,9.45,-9.13
TRUE,2018-08-09,Y,11.38,11.78,13.64,11.55,19.85,12.79,12.39,8,13.64,11.55,19.85,12.65,11.15
TRUE,2018-11-06,Y,11.48,10.0,10.12,9.27,-19.25,9.46,-17.59,10,10.72,9.27,-19.25,10.7,-6.79
TRUE,2019-02-14,Y,10.24,8.35,8.46,7.69,-24.9,7.7,-24.8,1,8.46,7.69,-24.9,7.7,-24.8
TRUE,2019-05-09,Y,7.21,5.61,6.4,5.61,-22.19,6.16,-14.56,8,6.72,5.61,-22.19,6.6,-8.46
TRUE,2019-08-08,Y,4.82,3.29,3.66,3.01,-37.55,3.52,-26.97,8,4.08,3.01,-37.55,3.81,-20.95
TRUE,2020-02-20,Y,3.91,2.6,3.75,2.6,-33.5,3.48,-10.99,1,3.75,2.6,-33.5,3.48,-10.99
TRUE,2020-05-07,Y,3.31,3.0,3.2,2.75,-16.91,2.76,-16.61,8,3.2,2.22,-32.93,2.37,-28.39
TRUE,2020-08-06,Y,4.29,5.7,6.35,5.22,48.01,5.48,27.73,15,6.47,4.72,50.81,4.98,16.08
TRUE,2020-11-05,Y,5.04,4.44,4.58,3.66,-27.38,3.71,-26.38,15,4.58,3.66,-27.38,3.98,-21.03
TRUE,2021-02-24,Y,5.06,5.98,6.25,5.29,23.51,5.33,5.33,23,6.25,4.55,23.51,5.05,-0.19
TRUE,2021-05-06,Y,4.78,4.47,4.64,4.11,-14.01,4.62,-3.34,15,4.87,4.11,-14.01,4.75,-0.62
TRUE,2021-08-05,Y,5.21,4.53,4.74,4.09,-21.49,4.16,-20.15,15,4.74,3.74,-28.21,3.88,-25.52
TRUE,2021-11-03,Y,3.97,3.85,4.12,3.85,3.77,4.1,3.27,16,4.17,3.53,-11.08,3.54,-10.83
TRUE,2022-02-22,Y,3.5,3.13,3.3,3.06,-12.57,3.27,-6.57,24,3.82,3.0,-14.28,3.79,8.28
TRUE,2022-05-09,Y,3.54,3.53,3.53,2.75,-22.31,2.85,-19.49,11,3.53,2.75,-22.31,3.12,-11.86
TRUE,2022-08-02,Y,2.53,2.76,2.78,2.53,9.88,2.55,0.79,17,2.78,2.3,9.88,2.31,-8.69
TRUE,2023-02-22,Y,2.81,2.65,2.78,2.53,-9.96,2.69,-4.27,23,2.78,1.84,-34.51,2.14,-23.84
