Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
TSM,2013-01-17,N,17.32,17.6,17.84,17.48,3.0,17.76,2.54,1,17.84,17.48,3.0,17.64,1.9
TSM,2013-04-18,N,16.62,17.64,17.82,17.39,7.22,17.45,4.99,1,18.46,17.39,11.07,18.29,10.04
TSM,2013-07-18,N,18.45,17.53,17.55,16.73,-9.32,16.8,-8.88,1,17.55,15.89,-13.87,16.48,-10.62
TSM,2013-10-17,N,18.28,18.25,18.71,18.18,2.35,18.64,2.02,1,19.16,18.18,4.81,19.07,4.37
TSM,2014-01-16,N,17.55,17.91,18.18,17.89,3.53,18.14,3.35,1,18.18,17.7,3.53,17.77,1.19
TSM,2014-04-17,N,20.14,20.59,20.92,20.57,3.82,20.72,2.82,4,20.92,20.26,3.82,20.56,2.03
TSM,2014-07-17,N,20.93,20.83,20.83,20.12,-3.87,20.2,-3.48,1,20.83,20.12,-3.87,20.48,-2.15
TSM,2014-10-16,N,20.07,20.23,21.09,20.19,5.08,20.72,3.23,2,21.09,20.19,5.08,20.87,3.98
TSM,2015-01-15,N,21.06,22.59,23.13,21.91,9.82,22.89,8.68,2,23.19,21.91,10.11,23.09,9.63
TSM,2015-04-16,N,23.51,22.83,23.55,22.65,-3.65,23.24,-1.14,1,23.55,22.65,-3.65,23.22,-1.23
TSM,2015-07-16,N,22.56,22.05,22.83,21.7,-3.81,22.73,0.75,1,23.08,21.7,-3.81,23.03,2.08
TSM,2015-10-15,N,22.34,22.55,22.78,21.79,-2.46,21.95,-1.74,1,22.78,21.79,-2.46,22.16,-0.8
TSM,2016-01-14,N,20.48,20.73,21.86,20.7,6.73,21.82,6.54,1,21.86,20.56,6.73,21.1,3.02
TSM,2016-04-14,N,26.17,25.3,25.53,25.08,-4.16,25.3,-3.32,1,25.58,25.08,-4.16,25.46,-2.71
TSM,2016-07-14,N,26.89,27.0,27.23,26.64,1.26,27.11,0.81,1,27.26,26.64,1.37,27.01,0.44
TSM,2016-10-13,N,31.35,30.93,30.93,29.52,-5.83,30.53,-2.61,8,31.27,29.52,-5.83,31.08,-0.86
TSM,2017-01-12,N,30.17,29.32,29.86,28.98,-3.94,29.29,-2.91,8,30.26,28.98,-3.94,30.07,-0.33
TSM,2017-04-13,N,32.28,32.1,32.45,31.82,-1.42,31.83,-1.39,8,32.45,31.49,-2.44,32.08,-0.61
TSM,2017-07-13,N,35.69,35.46,36.15,35.46,1.28,36.15,1.28,9,36.42,35.46,2.04,35.85,0.44
TSM,2017-10-19,N,41.5,41.02,41.29,40.5,-2.4,41.07,-1.03,2,41.29,40.5,-2.4,41.12,-0.91
