Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
TU,2013-08-08,N,29.89,29.9,30.03,29.58,-1.03,29.66,-0.76,8,31.98,29.37,6.99,30.93,3.47
TU,2013-11-08,N,34.64,34.74,35.59,34.68,2.74,35.25,1.76,7,35.85,34.68,3.49,35.85,3.49
TU,2014-02-13,N,33.85,33.86,34.25,33.86,1.18,34.0,0.44,8,34.89,33.86,3.07,34.86,3.01
TU,2014-05-08,N,36.34,36.58,36.84,36.1,1.37,36.72,1.07,8,37.67,36.1,3.65,37.36,2.8
TU,2014-08-07,N,34.71,35.22,35.34,34.63,1.81,34.99,0.8,8,35.54,34.56,2.39,35.32,1.75
TU,2014-11-06,N,36.45,36.42,36.5,35.51,-2.57,35.74,-1.94,16,38.94,35.51,6.83,37.69,3.4
TU,2015-02-12,N,34.43,35.07,35.11,34.25,1.97,34.82,1.13,8,35.52,34.25,3.16,35.39,2.78
TU,2015-05-07,N,34.92,35.14,35.36,34.72,1.26,35.24,0.91,8,35.36,34.0,-2.63,34.56,-1.03
TU,2015-08-07,N,34.18,33.94,34.4,33.81,-1.08,33.94,-0.7,14,34.4,32.94,-3.62,33.4,-2.28
TU,2015-11-05,N,33.26,32.64,32.77,31.75,-4.53,31.83,-4.29,15,32.77,30.05,-9.65,31.31,-5.86
TU,2016-02-11,N,28.63,27.8,28.54,27.46,-4.08,28.51,-0.41,8,28.86,27.46,-4.08,28.61,-0.06
TU,2016-11-04,N,31.69,31.73,31.77,31.37,-1.0,31.63,-0.18,14,32.42,30.31,-4.35,30.96,-2.3
TU,2017-02-09,N,33.5,33.31,33.39,32.79,-2.11,32.79,-2.08,8,33.57,32.72,-2.32,33.54,0.14
TU,2017-05-11,N,33.46,33.31,33.69,33.18,-0.83,33.42,-0.11,9,33.92,33.0,1.37,33.77,0.92
TU,2017-08-11,N,35.68,35.22,35.49,34.86,-2.29,35.38,-0.84,8,35.77,34.87,-2.27,35.38,-0.84
TU,2017-11-09,N,37.09,36.68,37.63,36.4,-1.86,37.47,1.05,9,38.47,36.4,3.72,37.97,2.37
TU,2018-05-10,N,35.76,35.8,36.02,35.28,-1.34,35.8,0.11,9,36.02,35.05,-1.98,35.49,-0.75
TU,2018-11-08,N,34.31,34.89,35.05,34.45,2.15,34.87,1.63,9,35.57,34.45,3.67,35.48,3.41
TU,2019-02-14,N,35.39,35.3,35.58,35.13,-0.73,35.27,-0.33,2,35.67,35.13,0.79,35.6,0.59
TU,2019-05-09,N,36.6,36.63,36.63,35.81,-2.15,36.33,-0.73,9,36.99,35.81,-2.15,36.66,0.16
TU,2019-08-02,N,36.18,36.18,36.41,35.96,0.63,36.16,-0.05,15,36.41,35.24,-2.59,36.19,0.02
TU,2020-02-13,N,41.77,41.28,41.43,40.36,-3.37,41.12,-1.55,9,41.43,38.82,-7.06,39.24,-6.05
TU,2020-05-07,N,16.12,16.35,16.35,16.04,1.42,16.23,0.68,9,16.69,15.6,3.53,15.96,-0.99
TU,2020-07-31,N,17.34,17.49,17.58,17.0,-1.96,17.36,0.11,22,18.64,17.0,7.49,18.34,5.76
TU,2021-02-11,N,21.31,21.3,21.46,21.1,-0.98,21.15,-0.75,9,21.46,20.51,-3.75,20.64,-3.14
TU,2021-05-07,N,21.47,21.48,21.73,21.36,1.21,21.66,0.88,15,22.36,21.36,4.14,22.13,3.07
TU,2021-07-30,N,22.08,22.08,22.41,22.08,1.49,22.2,0.54,22,22.92,22.02,3.8,22.62,2.44
TU,2021-11-05,N,22.72,22.69,23.34,22.69,2.72,23.25,2.33,15,23.66,22.69,4.13,23.01,1.27
TU,2022-02-10,N,24.51,24.34,25.06,24.34,2.24,24.69,0.73,9,25.34,24.34,3.38,25.17,2.69
TU,2022-05-06,N,24.64,24.66,25.17,24.47,2.15,25.07,1.74,15,25.17,23.52,-4.54,24.24,-1.62
TU,2022-08-05,N,22.5,22.46,22.5,22.08,-1.86,22.36,-0.62,15,23.68,22.08,5.24,23.66,5.15
TU,2022-11-04,N,20.39,21.0,21.38,20.89,4.85,21.3,4.46,15,22.08,20.89,8.28,21.81,6.96
TU,2023-02-09,N,20.88,20.62,20.8,20.02,-4.11,20.1,-3.73,9,20.8,19.96,-4.4,20.6,-1.34
