Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
UAA,2017-01-31,N,28.94,21.0,22.16,20.8,-28.12,21.49,-25.74,17,22.2,20.44,-29.37,21.88,-24.39
UAA,2017-04-27,N,19.71,20.72,22.12,20.63,12.22,21.67,9.94,23,22.12,18.35,12.22,19.1,-3.09
UAA,2017-08-01,N,20.02,18.17,19.27,17.92,-7.81,18.55,-4.52,18,19.45,16.94,-15.38,17.12,-14.48
UAA,2017-10-31,N,16.41,14.2,14.44,12.48,-23.94,12.52,-23.7,18,14.44,11.4,-30.53,13.08,-20.29
UAA,2018-02-13,N,14.23,16.15,17.1,16.0,20.16,16.7,17.35,4,18.75,15.83,31.76,17.36,21.99
UAA,2018-05-01,N,17.76,16.85,18.13,16.41,-7.6,18.03,1.52,18,20.61,16.41,16.04,20.12,13.28
UAA,2018-07-26,N,21.08,21.28,22.7,20.49,7.68,22.04,4.55,23,22.7,18.9,-10.34,20.49,-2.79
UAA,2018-10-30,N,18.19,21.71,23.37,21.58,28.47,23.23,27.7,18,24.58,21.33,35.12,21.75,19.57
UAA,2019-02-12,N,20.78,20.18,22.55,19.75,8.51,22.21,6.88,4,22.88,19.75,10.1,21.16,1.82
UAA,2019-05-02,N,22.04,23.96,24.1,22.56,9.34,22.82,3.53,16,24.1,20.84,9.34,23.58,6.98
UAA,2019-07-30,N,27.44,22.84,24.35,22.05,-19.64,24.08,-12.24,18,24.35,18.29,-33.34,18.65,-32.03
UAA,2020-02-11,N,20.45,17.08,17.47,16.5,-19.31,16.59,-18.87,11,17.49,16.0,-21.76,16.04,-21.56
UAA,2020-05-11,N,9.98,9.04,9.38,8.62,-13.62,9.01,-9.71,7,9.38,7.15,-28.35,7.71,-22.74
UAA,2020-07-31,N,11.45,11.29,11.9,10.3,-10.04,10.52,-8.12,22,11.9,9.63,-15.89,9.73,-15.02
UAA,2020-10-30,N,13.79,15.21,15.39,13.52,11.6,13.84,0.36,22,16.89,13.52,22.48,16.73,21.31
UAA,2021-02-10,N,20.72,22.88,23.23,21.82,12.11,22.45,8.34,10,23.5,21.82,13.41,22.81,10.08
UAA,2021-05-04,N,24.17,23.47,24.36,23.13,-4.3,23.88,-1.19,18,26.45,21.1,-12.7,21.45,-11.25
UAA,2021-08-03,N,21.11,22.03,22.81,21.15,8.05,22.7,7.53,18,26.02,21.15,23.25,23.45,11.08
UAA,2021-11-02,N,21.98,25.19,26.28,24.92,19.56,25.6,16.46,18,27.28,24.38,24.11,26.96,22.65
UAA,2022-02-11,N,20.01,19.07,19.1,17.25,-13.79,17.51,-12.49,8,19.1,16.38,-18.14,16.54,-17.34
UAA,2022-05-06,N,14.29,11.23,11.5,10.39,-27.29,10.89,-23.79,15,11.5,9.16,-35.89,9.64,-32.54
UAA,2022-08-03,N,9.2,9.35,9.79,9.19,6.41,9.33,1.41,17,10.47,9.0,13.8,9.25,0.54
UAA,2022-11-03,N,7.1,7.51,8.31,7.46,17.04,7.95,11.97,16,9.76,7.46,37.46,9.53,34.22
UAA,2023-02-08,N,12.22,12.34,12.34,10.85,-11.21,11.22,-8.18,10,12.34,10.19,-16.61,10.51,-13.99
