Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
UBA,2012-03-07,Y,16.57,16.8,16.88,16.42,1.87,16.87,1.81,9,17.45,16.42,5.31,17.1,3.19
UBA,2012-09-06,Y,17.73,17.86,17.94,17.71,1.12,17.78,0.22,15,18.8,17.57,5.97,18.51,4.34
UBA,2012-12-13,Y,17.11,17.12,17.17,16.89,-1.28,17.07,-0.17,8,17.64,16.89,3.09,17.61,2.92
UBA,2013-03-06,Y,20.16,20.12,20.12,19.6,-2.77,19.73,-2.13,9,20.12,19.59,-2.82,20.07,-0.39
UBA,2013-06-07,Y,19.82,19.92,20.16,19.8,1.66,20.09,1.31,14,20.16,18.41,-7.16,18.72,-5.59
UBA,2013-09-06,Y,18.36,18.34,18.75,18.22,2.12,18.71,1.9,14,19.37,18.22,5.5,18.79,2.34
UBA,2013-12-13,Y,18.14,18.17,18.67,18.17,2.86,18.38,1.26,7,19.0,18.17,4.68,18.8,3.58
UBA,2014-03-11,Y,20.19,20.1,20.42,20.1,1.13,20.35,0.79,10,20.66,20.05,2.32,20.5,1.53
UBA,2014-06-09,Y,21.33,21.17,21.33,20.91,-1.96,20.91,-1.96,11,21.33,20.14,-5.57,20.91,-1.96
UBA,2014-12-12,Y,22.08,22.27,22.33,21.97,1.13,21.97,-0.49,8,22.62,21.74,2.44,22.51,1.94
UBA,2015-03-11,Y,22.06,22.14,22.65,22.14,2.67,22.61,2.49,9,23.51,22.14,6.57,23.47,6.39
UBA,2015-06-08,Y,19.46,19.37,19.54,19.05,-2.1,19.2,-1.33,11,19.72,19.05,-2.1,19.61,0.77
UBA,2015-09-08,Y,17.93,18.07,18.07,17.75,-1.0,17.8,-0.72,10,19.14,17.6,6.74,19.11,6.58
UBA,2016-03-10,Y,20.3,20.36,20.45,20.25,0.73,20.41,0.54,8,21.09,19.72,3.89,20.45,0.73
UBA,2016-06-07,Y,21.73,21.9,22.99,21.9,5.79,22.98,5.75,10,23.34,21.9,7.4,23.25,6.99
UBA,2016-09-08,Y,23.43,23.08,23.21,21.77,-7.08,21.98,-6.18,8,23.21,21.43,-8.53,21.75,-7.17
UBA,2017-03-10,Y,20.49,20.47,20.56,19.67,-4.0,20.14,-1.65,7,20.89,19.67,-4.0,20.78,1.41
UBA,2017-06-08,Y,19.06,19.2,19.48,19.02,2.2,19.29,1.2,8,20.42,19.02,7.13,20.02,5.03
UBA,2017-09-08,Y,20.92,21.04,21.92,20.83,4.78,21.76,4.01,7,21.99,20.83,5.11,21.99,5.11
UBA,2017-12-15,Y,22.95,22.57,23.15,22.0,-4.13,22.08,-3.79,35,23.15,19.44,-15.29,19.76,-13.89
UBA,2018-03-09,Y,18.2,18.05,18.69,17.96,4.12,18.64,3.84,7,19.56,18.21,7.47,19.4,6.59
UBA,2018-06-08,Y,21.85,21.87,22.49,21.87,2.92,22.26,1.87,7,22.49,21.61,2.92,21.85,0.0
UBA,2018-09-07,Y,22.53,22.66,22.66,21.48,-4.66,21.59,-4.17,14,22.66,20.23,-10.2,20.93,-7.1
UBA,2018-12-14,Y,21.11,20.99,21.14,19.77,-6.34,19.88,-5.82,7,21.14,19.46,-7.81,19.62,-7.05
UBA,2019-03-08,Y,20.59,20.5,20.78,19.75,-4.07,20.55,-0.19,7,21.28,19.76,-4.03,20.75,0.77
UBA,2019-06-07,Y,21.76,21.67,21.89,20.73,-4.73,21.24,-2.38,14,22.12,20.73,-4.73,21.46,-1.37
UBA,2019-09-06,Y,22.41,22.43,22.77,22.13,1.6,22.73,1.42,14,24.48,22.13,9.23,23.64,5.48
UBA,2019-12-18,Y,23.8,23.7,24.0,23.65,0.84,23.91,0.46,2,24.36,23.65,2.35,23.85,0.21
UBA,2020-03-09,Y,18.52,20.0,21.21,17.87,14.52,19.27,4.04,11,21.21,10.1,-45.46,10.79,-41.73
UBA,2020-06-08,Y,17.06,16.0,16.15,14.03,-17.76,14.58,-14.53,11,16.15,11.78,-30.94,11.99,-29.71
UBA,2020-09-08,Y,10.05,10.13,10.63,9.94,5.77,9.96,-0.89,10,10.63,9.11,-9.35,9.13,-9.15
UBA,2020-12-16,Y,14.63,15.0,15.18,14.25,3.75,14.55,-0.54,2,15.18,13.95,-4.64,14.14,-3.34
UBA,2021-03-11,Y,17.5,17.52,18.23,17.44,4.17,18.17,3.82,8,18.62,17.25,6.4,17.26,-1.37
UBA,2021-06-07,Y,18.79,18.75,19.63,18.75,4.47,19.49,3.72,11,19.82,18.75,5.48,19.03,1.27
UBA,2021-09-08,Y,18.81,18.86,19.01,18.59,-1.16,18.76,-0.26,9,19.59,18.59,4.14,19.24,2.28
UBA,2021-12-16,Y,19.72,19.72,20.1,19.39,1.92,20.01,1.47,1,20.1,19.39,1.92,20.01,1.47
UBA,2022-03-11,Y,20.23,20.31,20.73,19.8,2.47,19.92,-1.53,7,20.73,18.95,-6.32,19.57,-3.26
UBA,2022-06-08,Y,16.82,16.88,17.19,16.65,2.19,16.68,-0.83,9,17.19,15.43,-8.26,15.83,-5.88
UBA,2022-12-15,Y,18.51,18.18,19.17,18.18,3.56,18.43,-0.43,1,19.17,18.18,3.56,18.43,-0.43
UBA,2023-03-10,Y,16.44,16.15,17.84,16.15,8.51,17.36,5.59,7,17.98,16.15,9.36,17.12,4.13
