Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
UE,2015-05-06,Y,21.89,21.77,22.48,21.77,2.69,21.97,0.36,9,22.51,21.49,2.83,22.15,1.18
UE,2015-08-05,Y,21.63,21.62,21.95,21.22,-1.89,21.94,1.43,16,23.14,21.22,6.98,21.99,1.66
UE,2015-11-04,Y,24.04,24.09,24.3,23.71,-1.37,24.3,1.08,16,24.31,22.76,-5.32,23.76,-1.16
UE,2016-02-17,Y,23.79,23.59,23.85,23.24,-2.31,23.59,-0.84,2,23.97,23.24,-2.31,23.93,0.58
UE,2016-05-04,Y,26.76,26.29,27.64,26.29,3.28,27.15,1.45,16,27.94,25.68,4.4,26.05,-2.65
UE,2016-08-03,Y,29.32,27.61,29.5,27.61,-5.83,29.4,0.27,16,29.99,27.61,-5.83,28.76,-1.9
UE,2016-11-02,Y,24.74,24.37,25.19,24.1,-2.58,24.99,1.01,16,26.96,24.1,8.97,26.12,5.57
UE,2017-02-16,Y,27.36,28.04,28.46,27.55,4.02,28.08,2.63,1,28.46,27.55,4.02,28.08,2.63
UE,2017-05-03,Y,26.18,26.33,27.32,25.49,4.35,25.83,-1.33,16,27.32,23.55,-10.04,24.25,-7.37
UE,2017-08-02,Y,25.09,24.59,24.99,24.37,-2.86,24.67,-1.67,16,25.69,24.17,-3.66,24.22,-3.46
UE,2017-11-01,Y,23.75,23.93,24.96,23.93,5.09,24.92,4.92,16,25.04,23.75,5.43,24.84,4.58
UE,2018-02-14,Y,21.19,20.95,21.62,20.8,3.09,21.38,1.95,2,22.1,21.02,4.29,22.05,4.05
UE,2018-05-02,Y,20.47,20.28,20.49,20.16,-1.51,20.44,-0.14,16,21.31,20.13,4.1,20.2,-1.31
UE,2018-08-01,Y,22.87,22.49,22.84,22.49,-1.66,22.6,-1.18,16,23.03,21.71,-5.07,23.01,0.61
UE,2018-10-31,Y,20.49,20.85,21.11,20.47,3.02,20.8,1.51,16,21.15,20.04,3.22,20.3,-0.92
UE,2019-02-13,Y,20.54,20.48,20.54,19.84,-3.4,20.07,-2.28,2,20.54,19.84,-3.4,20.16,-1.85
UE,2019-05-01,Y,18.62,18.7,18.8,17.91,-3.81,18.1,-2.79,16,18.8,17.57,-5.63,18.07,-2.95
UE,2019-07-31,Y,16.73,16.8,17.36,16.6,3.76,16.8,0.41,16,17.36,15.96,-4.6,17.16,2.57
UE,2019-10-30,Y,21.3,21.34,21.74,20.77,-2.48,21.11,-0.89,16,21.74,20.42,-4.13,20.77,-2.48
UE,2020-02-12,Y,18.71,18.98,19.0,18.3,-2.19,18.39,-1.71,9,19.0,18.25,-2.45,18.53,-0.96
UE,2020-04-29,Y,11.79,11.72,12.1,10.87,-7.8,11.5,-2.45,16,12.1,7.45,-36.81,8.36,-29.09
UE,2020-08-06,Y,10.34,10.21,10.74,9.88,-4.44,10.73,3.77,15,11.78,9.88,13.92,10.51,1.64
UE,2020-11-05,Y,9.67,9.74,9.82,9.19,-4.96,9.22,-4.65,15,13.73,9.19,41.98,13.25,37.02
UE,2021-02-17,Y,16.42,16.92,17.01,16.18,3.59,16.27,-0.91,2,17.01,16.18,3.59,16.35,-0.42
UE,2021-05-03,Y,18.76,18.97,19.38,18.75,3.3,18.95,1.01,18,19.5,18.08,3.94,18.97,1.11
UE,2021-08-04,N,18.79,14.0,19.16,14.0,-25.49,18.63,-0.85,17,19.58,14.0,-25.49,18.45,-1.8
UE,2021-11-03,Y,18.95,18.96,19.56,18.52,3.21,18.65,-1.58,16,19.58,17.99,-5.06,18.4,-2.9
UE,2022-02-16,N,17.49,18.71,18.89,18.31,8.0,18.67,6.74,3,18.89,18.05,8.0,18.14,3.71
UE,2022-05-05,N,19.31,19.01,19.38,18.78,-2.74,19.02,-1.5,16,19.71,17.09,-11.49,17.49,-9.42
UE,2022-08-03,N,15.75,15.82,16.23,15.69,3.04,15.73,-0.12,17,17.54,15.63,11.36,16.88,7.17
UE,2022-11-03,N,13.81,13.11,13.95,12.98,-6.01,13.8,-0.07,16,15.38,12.98,11.36,15.12,9.48
UE,2023-02-14,N,15.88,15.66,16.14,15.54,-2.14,15.94,0.37,4,16.14,15.54,-2.14,15.82,-0.37
