Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ULTA,2007-12-11,N,27.5,26.5,26.79,19.35,-29.63,20.91,-23.96,10,26.79,15.6,-43.27,16.57,-39.7
ULTA,2008-03-19,Y,11.5,10.71,13.35,10.35,16.08,12.78,11.13,2,13.35,10.35,16.08,12.78,11.13
ULTA,2008-06-04,Y,13.33,14.83,14.97,13.8,12.3,14.31,7.35,16,14.97,12.17,12.3,12.66,-5.02
ULTA,2008-09-04,Y,11.06,11.6,12.77,10.68,15.46,12.63,14.19,15,14.95,10.68,35.17,14.7,32.91
ULTA,2008-12-04,Y,7.6,6.77,8.47,6.7,-11.84,8.47,11.44,15,11.08,6.7,45.78,10.3,35.52
ULTA,2009-03-19,Y,6.28,6.38,6.61,6.24,5.25,6.27,-0.15,1,6.61,6.24,5.25,6.27,-0.15
ULTA,2009-06-04,Y,9.6,10.5,11.97,9.94,24.68,11.52,20.0,15,12.0,8.9,25.0,9.36,-2.39
ULTA,2009-09-03,Y,12.49,13.25,15.2,13.05,21.69,15.0,20.09,15,16.0,13.05,28.1,15.95,27.7
ULTA,2009-12-03,Y,17.91,17.32,18.64,17.26,4.07,17.89,-0.05,15,19.25,17.25,7.48,17.86,-0.27
ULTA,2010-03-11,Y,21.54,21.94,23.35,21.58,8.4,23.33,8.31,8,23.35,21.17,8.4,21.7,0.74
ULTA,2010-06-03,Y,23.9,23.7,23.9,22.73,-4.89,23.16,-3.09,15,26.5,21.24,-11.12,26.18,9.53
ULTA,2010-09-02,Y,22.23,25.23,26.47,24.3,19.07,26.3,18.3,15,29.25,24.3,31.57,28.15,26.63
ULTA,2010-12-02,Y,35.72,34.36,35.58,33.76,-5.48,35.22,-1.39,15,36.04,32.01,-10.38,33.15,-7.19
ULTA,2011-03-10,Y,42.11,43.02,47.55,43.02,12.91,45.77,8.69,8,47.93,43.02,13.82,46.77,11.06
ULTA,2011-06-07,Y,49.61,56.33,56.83,53.1,14.55,55.9,12.67,10,59.4,53.1,19.73,57.42,15.74
ULTA,2011-09-08,Y,59.76,62.13,68.7,62.03,14.95,68.45,14.54,8,71.41,62.03,19.49,70.45,17.9
ULTA,2011-12-01,Y,68.48,70.48,74.79,70.09,9.19,74.19,8.32,15,75.7,66.11,10.52,67.01,-2.16
ULTA,2012-03-08,Y,89.27,90.44,92.0,87.62,3.05,89.28,0.01,8,92.0,87.62,3.05,88.58,-0.77
ULTA,2012-06-05,Y,87.38,91.6,97.89,90.84,12.02,94.74,8.42,10,97.89,90.84,12.02,95.84,9.68
ULTA,2012-09-06,Y,95.26,102.75,103.52,99.26,8.67,101.54,6.59,15,103.52,96.32,8.67,97.92,2.79
ULTA,2012-11-29,Y,93.15,98.0,100.4,97.52,7.78,100.28,7.65,22,101.61,94.1,9.08,97.23,4.38
ULTA,2013-03-14,Y,88.37,75.95,76.93,72.51,-17.94,74.14,-16.1,1,76.93,72.51,-17.94,74.14,-16.1
ULTA,2013-06-11,Y,84.13,95.36,98.88,95.1,17.53,96.64,14.86,10,98.88,91.94,17.53,94.15,11.91
ULTA,2013-09-12,Y,100.16,114.1,118.27,112.47,18.08,117.53,17.34,8,121.5,112.47,21.3,118.75,18.56
ULTA,2013-12-05,Y,118.0,92.27,97.75,91.7,-22.28,93.76,-20.54,15,97.75,88.61,-24.9,95.19,-19.33
ULTA,2014-03-13,Y,89.51,95.89,97.86,95.0,9.32,95.26,6.42,9,106.83,94.42,19.34,100.84,12.65
ULTA,2014-06-10,Y,85.31,96.17,98.61,95.5,15.59,97.11,13.83,11,98.61,93.75,15.59,95.0,11.35
ULTA,2014-09-11,Y,97.48,114.5,118.2,114.12,21.25,114.89,17.86,9,120.82,113.14,23.94,120.38,23.49
ULTA,2014-12-04,Y,125.74,132.8,134.5,127.83,6.96,129.75,3.18,16,134.5,123.81,6.96,129.22,2.76
ULTA,2015-03-12,Y,144.82,155.09,156.0,148.11,7.71,150.1,3.64,8,156.0,148.11,7.71,152.02,4.97
ULTA,2015-05-28,Y,156.27,159.27,159.85,152.25,-2.57,152.62,-2.33,22,159.85,151.0,-3.37,154.73,-0.98
ULTA,2015-08-27,Y,160.24,164.78,169.29,158.13,5.64,159.0,-0.77,22,170.0,153.02,6.09,167.23,4.36
ULTA,2015-12-03,Y,163.19,174.5,185.73,173.87,13.81,184.08,12.8,15,188.48,173.87,15.49,184.94,13.32
ULTA,2016-03-10,Y,163.39,186.6,192.06,184.1,17.54,191.62,17.27,8,192.38,184.1,17.74,191.39,17.13
ULTA,2016-05-26,Y,213.69,230.75,237.53,228.53,11.15,233.15,9.1,22,240.83,228.53,12.7,238.04,11.39
ULTA,2016-08-25,Y,271.45,270.11,270.5,250.24,-7.81,254.85,-6.11,22,270.5,230.1,-15.23,233.79,-13.87
ULTA,2016-12-01,Y,257.41,271.7,273.99,244.75,6.44,253.39,-1.56,15,273.99,244.75,6.44,262.13,1.83
ULTA,2017-03-09,Y,273.77,271.0,287.19,270.5,4.9,286.42,4.62,8,289.27,270.5,5.66,288.81,5.49
