Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
URG,2007-11-12,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
URG,2008-02-04,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
URG,2008-04-10,Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
URG,2008-08-19,Y,1.47,1.45,1.51,1.43,2.72,1.43,-2.72,31,1.63,0.68,-53.74,0.84,-42.85
URG,2008-11-13,Y,0.51,0.54,0.54,0.48,5.88,0.49,-3.92,8,0.54,0.35,-31.37,0.39,-23.52
URG,2009-02-18,Y,0.49,0.5,0.53,0.5,8.16,0.52,6.12,2,0.55,0.5,12.24,0.51,4.08
URG,2010-03-15,Y,0.79,0.81,0.81,0.78,2.53,0.79,,4,0.82,0.78,3.79,0.81,2.53
URG,2010-04-30,Y,0.92,0.91,0.94,0.91,2.17,0.94,2.17,21,1.06,0.86,15.21,0.89,-3.26
URG,2010-07-30,Y,0.87,0.87,0.88,0.85,-2.29,0.86,-1.14,21,0.88,0.8,-8.04,0.83,-4.59
URG,2010-11-02,Y,1.6,1.63,1.68,1.51,-5.62,1.68,5.0,17,1.87,1.38,16.87,1.73,8.12
URG,2011-03-22,Y,1.94,1.99,1.99,1.89,2.57,1.91,-1.54,24,1.99,1.55,-20.1,1.65,-14.94
URG,2011-04-29,Y,1.59,1.6,1.64,1.6,3.14,1.64,3.14,21,1.68,1.46,-8.17,1.49,-6.28
URG,2011-07-29,Y,1.64,1.64,1.68,1.59,-3.04,1.63,-0.6,21,1.68,1.1,-32.92,1.2,-26.82
URG,2011-10-26,Y,1.28,1.33,1.37,1.29,7.03,1.34,4.68,23,1.38,1.0,-21.87,1.04,-18.75
URG,2012-03-05,Y,1.14,1.12,1.12,1.1,-3.5,1.11,-2.63,11,1.31,1.1,14.91,1.2,5.26
URG,2012-04-27,Y,1.08,1.05,1.09,1.05,-2.77,1.09,0.92,21,1.17,0.87,-19.44,0.89,-17.59
URG,2012-07-27,Y,0.79,0.79,0.85,0.79,7.59,0.85,7.59,21,1.22,0.79,54.43,1.14,45.56
URG,2012-10-31,Y,0.91,0.91,0.91,0.88,-3.29,0.9,-1.09,16,0.91,0.71,-21.97,0.76,-16.48
URG,2013-03-01,Y,0.76,0.77,0.79,0.76,3.94,0.78,2.63,14,0.92,0.73,21.05,0.9,18.42
URG,2013-08-02,Y,1.2,1.22,1.26,1.13,5.0,1.17,-2.5,14,1.26,0.92,-23.33,1.08,-9.99
URG,2013-10-30,Y,1.05,1.06,1.09,1.04,3.8,1.05,,16,1.27,1.03,20.95,1.12,6.66
URG,2014-07-16,Y,1.17,1.18,1.19,1.13,-2.56,1.14,-1.7,2,1.19,1.13,-2.56,1.15,-0.85
URG,2014-11-04,Y,0.81,0.83,0.83,0.78,-3.7,0.79,-2.46,18,1.07,0.75,32.09,0.89,9.87
URG,2015-03-02,Y,0.88,0.88,0.93,0.88,5.68,0.92,4.54,18,1.08,0.88,22.72,0.95,7.95
URG,2015-05-04,Y,1.0,1.0,1.0,0.93,-6.99,0.93,-6.99,11,1.07,0.9,-9.99,0.97,-3.0
URG,2015-08-04,Y,0.67,0.68,0.75,0.66,11.94,0.68,1.49,17,0.77,0.59,14.92,0.61,-8.95
URG,2015-11-03,N,0.56,0.56,0.56,0.55,-1.78,0.56,,17,0.56,0.45,-19.64,0.48,-14.28
URG,2017-03-03,Y,0.72,0.7,0.72,0.63,-12.49,0.66,-8.33,14,0.8,0.63,-12.49,0.78,8.33
URG,2017-05-05,Y,0.5,0.5,0.54,0.5,8.0,0.52,4.0,14,0.62,0.5,24.0,0.56,13.99
URG,2017-07-28,Y,0.66,0.66,0.66,0.62,-6.06,0.62,-6.06,21,0.66,0.53,-19.69,0.57,-12.12
URG,2017-10-27,Y,0.53,0.53,0.53,0.51,-3.77,0.53,,21,0.66,0.51,24.52,0.64,20.75
