Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
URGN,2017-11-14,N,41.04,43.5,43.5,41.05,-5.1,42.18,2.49,252,69.57,36.66,69.51,47.35,15.37
URGN,2018-08-14,N,46.3,46.0,47.51,41.01,-11.42,44.56,-3.75,4,47.51,40.58,-12.35,42.99,-7.14
URGN,2018-11-12,N,46.67,46.3,46.3,41.28,-11.54,45.7,-2.07,7,47.99,41.28,-11.54,47.12,0.96
URGN,2019-02-28,N,38.38,38.49,40.41,37.01,5.28,38.48,0.26,16,40.88,34.61,-9.82,38.06,-0.83
URGN,2019-05-09,N,37.98,38.0,39.97,38.0,5.23,38.21,0.6,9,39.97,36.84,5.23,38.28,0.78
URGN,2019-08-09,N,32.63,32.6,33.15,31.47,-3.55,32.08,-1.68,8,34.32,31.09,5.17,32.01,-1.9
URGN,2020-03-02,Y,28.01,28.15,29.57,28.15,5.56,29.11,3.92,18,30.33,13.56,-51.58,13.68,-51.16
URGN,2020-05-07,N,23.67,23.67,24.29,22.77,-3.8,23.61,-0.25,9,26.0,22.77,9.84,24.65,4.14
URGN,2020-08-10,N,23.16,24.5,26.52,23.52,14.5,26.42,14.07,14,26.62,22.28,14.93,23.81,2.8
URGN,2020-11-09,N,23.71,25.94,25.94,23.78,9.4,24.89,4.97,14,25.94,20.15,-15.01,20.58,-13.2
URGN,2021-03-18,N,19.5,20.64,20.85,17.81,-8.66,18.05,-7.43,2,20.85,17.81,-8.66,19.97,2.41
URGN,2021-05-13,N,18.16,18.17,18.17,14.66,-19.27,15.38,-15.3,9,19.0,14.66,-19.27,18.53,2.03
URGN,2021-08-04,N,15.71,15.41,16.86,15.2,7.32,15.3,-2.6,17,16.86,14.19,-9.67,14.31,-8.91
URGN,2021-11-15,N,19.13,18.41,18.93,14.72,-23.05,14.74,-22.94,7,18.93,11.67,-38.99,12.06,-36.95
URGN,2022-03-21,N,9.01,9.5,10.0,8.57,10.98,9.02,0.11,27,10.0,7.28,-19.2,7.83,-13.09
URGN,2022-05-10,N,6.2,6.18,6.85,6.01,10.48,6.57,5.96,11,6.85,5.25,-15.32,5.61,-9.51
URGN,2022-08-11,N,8.91,8.36,8.98,8.14,-8.64,8.33,-6.5,9,8.98,8.07,-9.42,8.23,-7.63
URGN,2023-03-16,N,9.63,9.79,9.8,9.19,-4.56,9.33,-3.11,2,9.8,8.37,-13.08,8.5,-11.73
