Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
USM,2002-01-29,N,40.6,40.35,41.15,39.5,-2.7,39.5,-2.7,17,41.15,34.49,-15.04,37.0,-8.86
USM,2002-04-16,N,39.52,39.6,42.15,39.6,6.65,42.15,6.65,3,42.15,38.45,6.65,38.86,-1.64
USM,2002-07-16,N,25.3,25.25,27.5,25.25,8.69,27.39,8.26,3,28.1,25.25,11.06,27.3,7.9
USM,2002-10-16,Y,28.63,29.13,30.5,29.0,6.53,30.49,6.49,2,30.5,28.98,6.53,28.98,1.22
USM,2003-02-05,N,24.1,24.16,26.3,24.0,9.12,25.95,7.67,16,26.3,24.0,9.12,25.6,6.22
USM,2003-05-05,N,24.44,24.4,24.4,23.33,-4.54,23.95,-2.0,11,24.4,22.37,-8.46,23.7,-3.02
USM,2003-07-23,N,27.49,27.25,27.94,27.25,1.63,27.66,0.61,23,29.0,26.7,5.49,27.6,0.4
USM,2003-10-31,Y,33.86,34.0,34.15,33.76,0.85,33.89,0.08,21,34.42,31.82,-6.02,32.76,-3.24
USM,2004-02-04,N,38.5,38.4,38.4,37.75,-1.94,37.75,-1.94,16,43.49,37.61,12.96,42.0,9.09
USM,2004-04-28,Y,35.45,35.35,35.75,34.49,-2.7,34.57,-2.48,23,35.75,32.29,-8.91,33.54,-5.38
USM,2004-07-21,N,36.82,37.82,42.35,37.6,15.01,41.68,13.19,30,42.35,37.6,15.01,39.95,8.5
USM,2004-10-20,N,43.4,43.35,43.35,41.35,-4.72,42.1,-2.99,30,43.35,41.01,-5.5,41.76,-3.77
USM,2005-02-09,Y,43.5,43.49,43.49,41.2,-5.28,42.8,-1.6,9,48.3,41.2,11.03,47.7,9.65
USM,2005-04-27,Y,45.0,45.25,45.89,44.81,1.97,45.89,1.97,23,48.13,44.45,6.95,47.3,5.11
USM,2006-04-26,Y,60.76,60.85,63.29,60.84,4.16,62.85,3.43,23,64.53,60.84,6.2,62.55,2.94
USM,2006-07-28,Y,60.9,60.8,61.02,59.98,-1.51,60.15,-1.23,21,62.05,58.76,-3.51,60.36,-0.88
USM,2006-08-09,Y,60.2,60.2,60.4,59.88,-0.53,60.4,0.33,9,62.05,59.88,3.07,60.36,0.26
USM,2006-10-10,N,58.35,58.45,58.45,57.6,-1.28,58.1,-0.42,10,60.9,56.0,4.37,60.6,3.85
USM,2006-11-06,Y,66.65,66.4,67.08,65.39,-1.89,66.0,-0.97,11,67.41,65.34,-1.96,67.3,0.97
USM,2007-02-23,Y,71.3,71.75,72.4,71.22,1.54,71.65,0.49,21,72.97,67.7,-5.04,68.5,-3.92
USM,2007-04-23,Y,74.9,73.0,74.0,73.0,-2.53,73.84,-1.41,25,75.43,71.01,-5.19,74.38,-0.69
USM,2007-05-15,N,73.3,73.59,75.0,73.59,2.31,73.95,0.88,3,75.43,71.81,2.9,74.38,1.47
USM,2007-08-07,Y,91.1,91.09,91.75,83.59,-8.24,83.9,-7.9,10,99.12,76.17,-16.38,88.0,-3.4
USM,2007-11-06,Y,89.6,89.23,89.46,86.15,-3.85,87.7,-2.12,10,89.46,80.75,-9.87,83.0,-7.36
USM,2012-11-02,Y,38.28,38.1,38.47,37.77,-1.33,38.36,0.23,14,40.4,33.15,-13.4,34.19,-10.68
USM,2012-11-07,Y,34.18,34.72,35.13,33.76,2.77,33.76,-1.22,9,35.82,33.15,4.79,34.19,0.02
USM,2013-02-26,Y,37.04,36.95,37.32,36.4,-1.72,36.94,-0.26,17,37.5,35.6,-3.88,36.17,-2.34
USM,2013-05-03,N,38.47,38.15,38.85,37.0,-3.82,37.38,-2.83,14,40.39,37.0,4.99,39.7,3.19
USM,2013-08-02,N,40.32,40.38,40.93,39.6,-1.78,39.94,-0.94,14,44.35,39.6,9.99,42.36,5.05
USM,2013-11-01,Y,47.03,47.06,47.27,46.21,-1.74,46.69,-0.72,14,47.71,45.0,-4.31,46.09,-1.99
USM,2014-02-26,N,40.71,40.64,40.64,36.06,-11.42,36.79,-9.62,23,41.3,35.93,-11.74,41.3,1.44
USM,2014-05-02,N,41.98,41.11,43.5,41.11,3.62,41.8,-0.42,14,43.5,40.7,3.62,41.22,-1.81
USM,2014-08-01,N,39.09,38.0,38.13,35.83,-8.33,37.49,-4.09,14,39.72,33.17,-15.14,37.42,-4.27
USM,2014-10-31,N,35.96,36.11,36.97,35.33,2.8,36.42,1.27,22,39.72,35.33,10.45,37.85,5.25
USM,2015-02-25,N,37.09,37.72,40.0,37.58,7.84,39.94,7.68,23,40.0,34.9,7.84,37.75,1.77
USM,2015-05-01,N,36.93,38.53,38.86,37.72,5.22,37.99,2.87,14,39.77,37.72,7.69,39.69,7.47
USM,2015-07-31,N,35.31,38.0,38.5,36.54,9.03,37.22,5.4,21,39.5,36.54,11.86,37.59,6.45
USM,2015-10-30,N,38.04,38.78,40.96,38.78,7.64,40.74,7.06,21,43.49,38.78,14.29,42.17,10.82
USM,2016-02-19,N,37.04,36.93,37.25,32.72,-11.68,35.28,-4.77,0,37.25,32.72,-11.68,35.28,-4.77
USM,2016-05-06,N,42.72,40.33,40.34,35.65,-16.54,37.52,-12.17,14,40.34,35.65,-16.54,36.36,-14.88
USM,2016-08-05,N,39.29,39.65,41.68,39.46,6.08,40.13,2.13,14,41.68,37.39,6.08,37.9,-3.53
USM,2016-11-04,N,34.14,34.33,35.4,33.71,3.69,34.44,0.87,14,35.51,33.29,4.01,35.13,2.89
USM,2017-02-24,N,44.84,43.94,44.59,40.83,-8.94,40.9,-8.78,21,44.59,35.53,-20.76,37.15,-17.14
USM,2017-05-05,N,36.91,37.25,40.34,37.25,9.29,40.0,8.37,15,40.34,37.25,9.29,38.75,4.98
USM,2017-08-04,N,38.67,38.29,39.97,37.11,-4.03,39.78,2.87,15,40.84,37.12,5.61,38.01,-1.7
USM,2017-11-08,N,35.15,34.6,36.51,32.59,-7.28,32.96,-6.23,10,36.51,32.29,-8.13,35.66,1.45
USM,2018-02-23,N,32.76,34.41,36.73,34.27,12.11,36.41,11.14,22,41.19,34.27,25.73,40.64,24.05
USM,2018-05-01,N,39.57,39.86,39.86,33.79,-14.6,34.02,-14.02,18,39.86,33.79,-14.6,36.62,-7.45
USM,2018-08-03,N,35.41,37.84,40.0,36.71,12.96,37.39,5.59,15,44.97,36.71,26.99,44.62,26.0
USM,2018-11-02,N,47.51,49.0,56.89,48.0,19.74,56.0,17.86,15,56.89,48.0,19.74,55.73,17.3
USM,2019-02-22,N,55.91,57.72,57.72,48.81,-12.69,49.1,-12.18,22,57.72,45.11,-19.31,47.18,-15.61
USM,2019-05-02,Y,49.12,47.91,51.21,47.91,4.25,50.45,2.7,15,51.21,44.91,-8.57,46.68,-4.96
USM,2020-02-21,Y,32.29,31.29,32.57,31.04,-3.87,31.61,-2.1,28,34.78,23.91,-25.95,28.21,-12.63
USM,2020-04-30,Y,31.83,34.0,34.0,29.57,-7.1,30.07,-5.52,15,34.0,26.98,-15.23,28.32,-11.02
USM,2020-08-06,Y,29.94,30.99,35.32,30.83,17.96,35.12,17.3,15,37.28,30.83,24.51,35.82,19.63
USM,2020-11-05,Y,30.06,31.6,32.2,28.5,7.11,28.72,-4.45,15,33.12,28.5,10.17,31.05,3.29
USM,2021-02-18,Y,32.78,32.8,33.39,30.65,-6.49,31.68,-3.35,1,33.39,30.65,-6.49,31.68,-3.35
USM,2021-05-06,Y,37.08,37.19,37.2,35.25,-4.93,36.5,-1.56,15,38.93,35.25,4.98,37.32,0.64
USM,2021-08-05,Y,31.63,30.49,31.64,30.07,-4.93,30.97,-2.08,15,32.24,30.07,-4.93,31.51,-0.37
USM,2021-11-04,Y,32.67,32.66,33.67,32.33,3.06,32.41,-0.79,15,33.67,30.25,-7.4,30.53,-6.55
USM,2022-02-17,Y,31.03,30.56,30.8,28.16,-9.24,28.43,-8.37,1,30.8,28.16,-9.24,28.43,-8.37
USM,2022-05-05,Y,30.23,30.76,31.06,29.32,-3.01,29.69,-1.78,15,31.06,28.34,-6.25,29.32,-3.01
USM,2022-08-04,Y,29.06,30.68,31.0,29.28,6.67,30.61,5.33,15,32.41,29.28,11.52,30.03,3.33
USM,2022-11-04,Y,24.09,23.77,24.31,22.83,-5.23,22.84,-5.18,14,24.61,21.41,-11.12,22.19,-7.88
USM,2023-02-16,Y,21.0,22.17,26.22,21.82,24.85,26.15,24.52,1,26.22,21.82,24.85,26.15,24.52
