Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
UUUU,2014-05-13,Y,6.88,6.89,6.89,6.79,-1.3,6.85,-0.43,3,6.98,6.62,-3.77,6.7,-2.61
UUUU,2014-08-13,Y,7.41,7.37,7.45,7.32,-1.21,7.45,0.53,2,7.49,7.32,-1.21,7.38,-0.4
UUUU,2014-11-13,Y,7.35,7.5,7.84,7.43,6.66,7.79,5.98,9,7.97,7.29,8.43,7.29,-0.81
UUUU,2015-03-27,Y,4.62,4.56,4.59,4.44,-3.89,4.49,-2.81,21,4.61,4.0,-13.41,4.32,-6.49
UUUU,2016-02-03,N,2.31,2.35,2.4,2.21,-4.32,2.38,3.03,16,2.59,2.02,-12.55,2.29,-0.43
UUUU,2016-03-15,Y,2.29,2.31,2.36,2.29,2.6,2.34,1.73,3,2.52,2.29,9.56,2.44,6.08
UUUU,2016-08-04,Y,2.18,2.19,2.22,2.18,1.83,2.21,1.37,15,2.58,2.18,18.34,2.54,16.51
UUUU,2016-11-04,Y,1.32,1.32,1.34,1.3,1.51,1.34,1.51,14,1.45,1.3,9.84,1.38,4.54
UUUU,2017-05-04,N,1.67,1.65,1.65,1.53,-8.38,1.54,-7.78,16,1.8,1.53,-8.38,1.68,0.59
UUUU,2017-08-04,Y,1.74,1.75,1.75,1.55,-10.91,1.62,-6.89,14,1.76,1.55,-10.91,1.76,1.14
UUUU,2017-11-02,Y,1.39,1.4,1.4,1.33,-4.31,1.34,-3.59,15,1.81,1.33,30.21,1.81,30.21
UUUU,2018-03-09,Y,1.58,1.6,1.62,1.54,2.53,1.61,1.89,7,1.63,1.51,-4.43,1.55,-1.89
UUUU,2018-05-04,Y,1.93,1.93,1.98,1.83,-5.18,1.84,-4.66,14,2.21,1.82,14.5,2.08,7.77
UUUU,2018-08-02,Y,3.03,3.1,3.52,3.06,16.17,3.51,15.84,15,3.64,3.0,20.13,3.33,9.9
UUUU,2018-11-02,Y,3.47,3.2,4.09,3.2,17.86,4.09,17.86,14,4.09,2.99,17.86,3.23,-6.91
UUUU,2019-05-08,N,2.91,2.82,2.92,2.7,-7.21,2.8,-3.78,10,2.92,2.52,-13.4,2.75,-5.49
UUUU,2020-05-05,Y,1.74,1.77,1.8,1.68,3.44,1.68,-3.44,10,1.8,1.38,-20.68,1.61,-7.47
UUUU,2020-07-30,Y,1.69,1.67,1.77,1.64,4.73,1.71,1.18,22,1.91,1.64,13.01,1.71,1.18
UUUU,2020-11-02,Y,1.45,1.52,1.53,1.46,5.51,1.51,4.13,18,1.89,1.46,30.34,1.83,26.2
UUUU,2021-03-19,Y,6.52,6.64,6.71,6.12,-6.13,6.18,-5.21,28,7.07,5.18,-20.55,5.29,-18.86
UUUU,2021-11-01,Y,8.41,8.5,8.58,8.24,2.02,8.55,1.66,18,11.39,8.24,35.43,9.18,9.15
UUUU,2022-08-03,Y,6.72,6.57,6.82,6.57,-2.23,6.7,-0.29,16,7.38,5.87,-12.64,5.91,-12.05
UUUU,2022-11-04,Y,6.91,6.96,7.26,6.64,5.06,7.2,4.19,14,7.97,6.64,15.34,7.02,1.59
UUUU,2023-02-27,Y,6.77,6.87,6.96,6.64,2.8,6.71,-0.88,18,6.96,4.85,-28.36,5.41,-20.08
