Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
VALU,2007-09-14,Y,47.8,49.12,49.12,46.37,-2.99,47.33,-0.98,7,51.8,46.37,8.36,49.7,3.97
VALU,2007-12-14,Y,42.25,41.75,41.75,39.95,-5.44,39.95,-5.44,7,42.37,39.95,-5.44,41.42,-1.96
VALU,2008-03-14,Y,40.2,39.2,42.89,37.74,6.69,39.04,-2.86,7,44.6,37.74,10.94,43.23,7.53
VALU,2008-07-17,Y,34.84,34.99,35.4,34.25,-1.69,34.5,-0.97,1,35.4,34.25,-1.69,34.5,-0.97
VALU,2008-09-15,Y,37.96,39.56,41.69,37.61,9.82,41.69,9.82,4,42.71,37.61,12.51,42.71,12.51
VALU,2008-12-15,Y,35.6,36.68,38.06,36.68,6.91,38.06,6.91,4,39.28,35.79,10.33,37.92,6.51
VALU,2009-03-13,Y,24.68,26.76,26.87,24.08,8.87,24.26,-1.7,7,28.17,24.08,14.14,27.99,13.41
VALU,2009-07-16,Y,35.0,34.7,34.7,34.0,-2.85,34.0,-2.85,1,34.7,34.0,-2.85,34.0,-2.85
VALU,2009-09-11,Y,30.3,30.12,31.6,30.0,4.29,31.6,4.29,7,31.6,30.0,4.29,31.47,3.86
VALU,2009-12-15,Y,25.5,25.19,25.19,24.36,-4.47,24.41,-4.27,3,25.19,23.18,-9.09,24.59,-3.56
VALU,2010-03-12,Y,24.5,24.5,25.0,24.03,2.04,24.26,-0.97,7,25.33,23.75,3.38,23.99,-2.08
VALU,2010-07-16,Y,15.2,15.01,15.11,14.58,-4.07,14.66,-3.55,35,15.9,13.8,-9.21,14.05,-7.56
VALU,2010-09-14,Y,14.19,14.01,14.56,14.01,2.6,14.56,2.6,3,14.73,14.01,3.8,14.51,2.25
VALU,2010-12-14,Y,14.77,14.62,14.66,14.53,-1.62,14.65,-0.81,3,15.95,14.53,7.98,15.49,4.87
VALU,2011-03-24,Y,14.08,14.03,14.62,13.92,3.83,14.51,3.05,22,14.9,13.92,5.82,14.31,1.63
VALU,2011-07-29,Y,9.36,9.35,9.84,9.35,5.12,9.68,3.41,21,10.21,8.63,9.08,8.82,-5.76
VALU,2011-09-13,Y,10.54,10.29,10.5,10.08,-4.36,10.43,-1.04,3,10.68,10.08,-4.36,10.68,1.32
VALU,2011-12-09,Y,10.23,10.09,10.1,9.28,-9.18,9.36,-8.4,7,10.1,9.03,-11.63,9.19,-10.16
VALU,2012-03-15,Y,10.19,10.1,10.25,10.09,-1.07,10.18,-0.19,1,10.25,10.09,-1.07,10.18,-0.19
VALU,2012-07-27,Y,11.47,10.88,11.17,10.88,-5.14,11.18,-2.52,21,12.51,10.85,9.06,10.95,-4.53
VALU,2012-09-14,Y,8.86,8.87,9.0,8.33,-5.98,8.47,-4.4,7,9.0,7.68,-13.31,8.64,-2.48
VALU,2013-01-02,Y,8.81,8.75,9.17,8.36,-4.99,8.56,-2.83,16,9.27,8.36,5.33,8.94,1.58
VALU,2013-03-13,Y,9.16,9.18,9.19,9.13,0.32,9.18,0.21,2,9.19,8.91,-2.72,9.19,0.43
VALU,2013-09-16,Y,8.86,8.77,8.85,8.77,-1.12,8.81,-0.67,4,9.0,8.77,1.46,8.98,1.24
VALU,2013-12-13,Y,11.3,11.03,11.14,10.81,-4.33,10.97,-2.92,7,11.88,10.08,-10.79,11.88,5.13
VALU,2014-03-13,Y,15.18,15.01,15.05,15.01,-1.11,15.01,-1.11,8,15.18,14.21,-6.38,14.21,-6.38
VALU,2014-07-21,Y,16.96,17.02,17.02,16.67,-1.7,17.0,0.23,25,17.5,15.75,-7.13,16.01,-5.6
VALU,2014-12-12,Y,15.63,15.19,15.99,15.15,-3.07,15.64,0.06,8,16.04,15.1,-3.39,16.0,2.36
VALU,2015-07-24,Y,14.36,14.0,15.3,14.0,6.54,14.2,-1.11,28,15.3,12.15,-15.38,14.22,-0.97
VALU,2015-09-09,Y,13.98,13.4,13.4,13.4,4.14,13.4,-4.14,9,16.48,12.76,17.88,16.35,16.95
VALU,2016-03-10,Y,14.98,15.49,15.49,14.88,3.4,14.88,-0.66,8,16.5,14.61,10.14,14.61,-2.46
VALU,2016-07-20,Y,17.89,17.85,18.96,17.85,5.98,18.91,5.7,30,19.14,16.57,-7.37,18.36,2.62
VALU,2016-09-09,Y,15.51,15.41,16.07,15.41,3.61,16.07,3.61,7,16.07,14.99,3.61,16.02,3.28
VALU,2016-12-09,Y,20.7,21.2,22.4,20.22,8.21,21.34,3.09,7,22.75,20.22,9.9,21.02,1.54
VALU,2017-03-13,Y,17.62,17.59,17.89,17.45,1.53,17.89,1.53,4,17.89,17.45,1.53,17.64,0.11
VALU,2017-07-25,Y,17.55,17.82,17.84,17.62,1.65,17.84,1.65,24,18.48,15.8,-9.97,16.12,-8.14
VALU,2017-09-12,Y,16.7,17.2,17.2,17.2,2.99,17.2,2.99,3,17.2,16.2,2.99,16.2,-2.99
VALU,2017-12-13,Y,19.7,19.57,19.57,19.57,0.65,19.57,-0.6,2,19.57,19.07,-3.19,19.48,-1.06
