Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
VHC,2008-03-31,Y,6.6,6.21,6.25,6.21,-5.9,6.24,-5.45,18,7.06,6.1,-7.57,6.18,-6.36
VHC,2008-05-15,Y,6.01,6.16,6.16,5.75,-4.32,5.75,-4.32,1,6.16,5.75,-4.32,5.75,-4.32
VHC,2008-08-14,Y,1.95,1.9,1.9,1.8,-7.69,1.8,-7.69,1,1.9,1.8,-7.69,1.8,-7.69
VHC,2008-11-04,N,1.69,1.69,1.94,1.69,14.79,1.9,12.42,17,2.98,1.69,76.33,2.44,44.37
VHC,2009-03-31,Y,1.23,1.25,1.26,1.14,-6.5,1.21,-1.62,17,1.26,1.12,-8.94,1.12,-8.13
VHC,2009-05-11,Y,1.56,1.66,1.69,1.45,7.64,1.45,-7.64,4,1.69,1.21,-22.92,1.53,-2.54
VHC,2009-08-10,Y,3.0,3.13,3.55,3.0,18.33,3.47,15.66,11,3.8,2.78,26.66,3.04,1.33
VHC,2009-11-09,Y,2.04,2.15,2.15,2.04,4.87,2.1,2.43,11,3.14,2.04,53.17,3.09,50.73
VHC,2010-03-31,Y,4.8,5.0,5.04,4.8,5.0,4.91,2.29,16,5.55,4.8,15.62,5.47,13.95
VHC,2010-05-07,Y,5.0,5.05,5.2,4.97,4.0,5.17,3.39,14,7.09,4.97,41.8,5.7,14.0
VHC,2010-08-09,Y,6.22,6.13,6.17,6.0,-3.53,6.02,-3.21,11,6.43,5.65,-9.16,6.38,2.57
VHC,2010-11-08,N,18.12,17.86,18.11,17.25,-4.8,17.38,-4.08,11,18.11,11.9,-34.32,12.16,-32.89
VHC,2011-03-16,Y,12.7,12.9,13.08,12.5,2.99,12.51,-1.49,2,13.08,12.47,2.99,12.47,-1.81
VHC,2011-05-10,Y,25.4,24.6,25.07,23.87,-6.02,24.41,-3.89,10,25.22,22.24,-12.44,23.41,-7.83
VHC,2011-08-09,Y,19.79,19.2,19.7,17.53,-11.41,18.17,-8.18,10,23.64,17.17,19.45,18.93,-4.34
VHC,2011-11-09,Y,21.51,22.28,22.3,20.66,-3.95,21.16,-1.62,9,23.88,20.52,11.01,21.05,-2.13
VHC,2012-02-29,Y,21.59,21.77,22.8,20.52,5.6,21.5,-0.41,16,25.1,19.13,16.25,24.15,11.85
VHC,2012-05-10,Y,30.99,29.6,31.64,29.5,-4.8,31.0,0.03,8,32.15,27.92,-9.9,29.05,-6.26
VHC,2012-08-09,Y,26.73,25.85,27.49,25.85,-3.29,27.25,1.94,8,27.96,25.2,-5.72,25.71,-3.81
VHC,2012-11-09,Y,35.43,36.04,36.04,33.4,-5.72,35.35,-0.22,7,36.04,29.26,-17.41,31.05,-12.36
VHC,2013-03-01,Y,35.69,35.58,35.97,35.35,-0.95,35.74,0.14,14,36.84,21.68,-39.25,21.82,-38.86
VHC,2013-08-22,Y,21.12,21.22,21.47,20.92,1.65,21.39,1.27,29,21.5,19.13,-9.42,20.68,-2.08
VHC,2013-11-08,Y,20.72,20.74,21.17,20.29,2.17,21.0,1.35,7,21.47,20.29,3.61,20.98,1.25
VHC,2014-08-08,Y,14.1,14.14,15.25,14.14,8.15,14.73,4.46,7,15.6,14.14,10.63,15.29,8.43
VHC,2014-11-10,Y,5.76,5.7,5.85,5.21,-9.54,5.22,-9.37,12,5.85,4.87,-15.45,5.57,-3.29
VHC,2015-03-02,Y,7.58,7.66,7.8,7.33,-3.29,7.4,-2.37,18,7.8,6.05,-20.18,6.14,-18.99
VHC,2015-05-11,Y,6.08,5.97,6.73,5.92,10.69,6.71,10.36,4,6.95,5.85,14.3,6.07,-0.16
VHC,2015-08-07,Y,4.46,4.46,4.5,4.29,-3.81,4.43,-0.67,14,4.5,2.71,-39.23,3.27,-26.68
VHC,2015-11-09,Y,3.78,3.78,3.86,3.45,-8.73,3.53,-6.61,11,3.86,2.76,-26.98,2.91,-23.01
VHC,2016-03-07,Y,5.27,5.03,5.36,4.82,-8.53,4.86,-7.77,11,5.36,3.89,-26.18,4.47,-15.18
VHC,2016-05-09,Y,4.4,4.48,4.54,4.36,3.18,4.51,2.49,11,4.76,4.21,8.18,4.47,1.59
VHC,2016-08-09,Y,2.64,2.67,2.89,2.57,9.46,2.81,6.43,10,2.93,2.54,10.98,2.62,-0.75
VHC,2016-11-08,Y,3.05,3.0,3.1,2.95,-3.27,3.1,1.63,10,3.5,2.95,14.75,3.35,9.83
VHC,2017-03-15,Y,2.2,2.25,2.25,2.2,2.27,2.25,2.27,2,2.29,2.15,4.09,2.15,-2.27
VHC,2017-05-10,Y,3.2,3.2,3.3,3.1,3.12,3.25,1.56,9,3.65,3.1,14.06,3.4,6.24
VHC,2017-08-09,Y,3.4,3.35,3.55,3.35,4.41,3.4,,9,3.9,3.0,14.7,3.75,10.29
VHC,2017-11-09,Y,4.65,4.65,4.95,4.65,6.45,4.8,3.22,8,5.0,3.95,-15.05,4.05,-12.9
VHC,2018-03-15,N,4.05,4.1,4.1,3.95,-2.46,3.95,-2.46,2,4.1,3.65,-9.87,4.0,-1.23
VHC,2018-05-08,Y,2.7,2.75,2.9,2.75,7.4,2.85,5.55,10,3.6,2.65,33.33,3.15,16.66
VHC,2018-08-09,Y,3.0,2.95,3.1,2.95,3.33,3.0,0.0,8,3.25,2.95,8.33,3.05,1.66
VHC,2018-11-09,Y,3.4,3.27,3.48,3.15,-7.35,3.43,0.88,7,3.58,3.15,-7.35,3.25,-4.41
VHC,2019-05-13,Y,6.29,6.38,6.53,6.18,3.81,6.48,3.02,4,6.85,6.18,8.9,6.41,1.9
VHC,2020-03-16,Y,5.34,5.69,5.93,5.16,11.04,5.8,8.61,4,5.93,5.02,11.04,5.23,-2.05
VHC,2020-05-09,N,6.59,6.79,7.15,6.75,8.49,7.02,6.52,7,7.28,5.76,-12.59,5.83,-11.53
VHC,2020-08-07,Y,5.26,5.23,5.46,4.9,-6.84,4.94,-6.08,14,5.46,4.71,-10.45,4.93,-6.27
VHC,2020-11-09,Y,5.26,5.3,5.46,5.2,3.8,5.35,1.71,11,5.52,5.08,4.94,5.24,-0.38
VHC,2021-03-22,Y,6.13,6.08,6.11,5.79,-5.54,5.83,-4.89,25,6.11,4.77,-22.18,4.95,-19.24
VHC,2021-05-11,Y,4.11,4.16,4.17,4.01,-2.43,4.09,-0.48,10,4.66,3.92,13.38,4.36,6.08
VHC,2021-08-09,Y,3.98,3.96,4.01,3.92,-1.5,3.98,0.0,11,4.1,3.36,-15.57,3.99,0.25
