Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
VIST,2008-10-21,N,9.0,8.8,9.97,8.8,10.77,9.97,10.77,31,12.0,8.52,33.33,9.03,0.44
VIST,2009-01-27,N,7.84,7.73,7.73,7.3,-6.88,7.3,-6.88,24,8.67,7.02,10.58,8.26,5.35
VIST,2009-04-21,N,7.44,7.74,7.9,7.74,6.18,7.74,4.03,24,8.47,7.73,13.84,7.92,6.45
VIST,2009-07-21,Y,7.02,7.01,7.03,6.67,-4.98,6.71,-4.41,31,7.03,5.65,-19.51,6.2,-11.68
VIST,2009-10-21,Y,6.1,6.0,6.0,5.9,-3.27,5.94,-2.62,30,6.0,5.28,-13.44,5.54,-9.18
VIST,2010-02-02,N,6.38,6.76,6.8,6.65,6.58,6.7,5.01,17,9.65,5.92,51.25,9.3,45.76
VIST,2010-04-27,N,9.25,9.34,9.34,8.77,-5.18,9.0,-2.7,24,9.5,8.15,-11.89,8.48,-8.32
VIST,2010-07-27,N,7.3,7.6,7.75,7.5,6.16,7.61,4.24,24,8.0,7.2,9.58,7.71,5.61
VIST,2010-10-26,N,7.15,7.0,7.35,6.98,2.79,7.05,-1.39,24,8.0,6.55,11.88,7.32,2.37
VIST,2011-01-26,N,8.07,8.58,8.59,8.15,6.44,8.27,2.47,23,8.89,8.02,10.16,8.63,6.93
VIST,2011-04-26,Y,7.39,7.4,7.54,7.4,2.02,7.5,1.48,24,7.82,7.26,5.81,7.43,0.54
VIST,2011-07-27,Y,6.32,6.39,6.44,6.11,-3.32,6.29,-0.47,23,6.76,6.04,6.96,6.17,-2.37
VIST,2011-10-26,N,6.25,6.48,7.47,6.32,19.51,7.34,17.43,23,7.47,6.15,19.51,6.7,7.2
VIST,2012-02-09,Y,12.07,12.05,12.15,11.95,-0.99,12.1,0.24,8,12.25,11.95,1.49,12.16,0.74
VIST,2012-05-11,Y,11.37,11.42,11.5,11.33,1.14,11.33,-0.35,7,11.5,11.0,-3.25,11.2,-1.49
VIST,2012-07-25,Y,11.66,11.79,12.09,11.75,3.68,12.09,3.68,23,12.28,11.75,5.31,12.16,4.28
VIST,2022-02-22,Y,6.94,7.1,8.11,6.74,16.85,7.9,13.83,24,9.07,6.74,30.69,7.92,14.12
VIST,2022-04-27,Y,8.53,8.46,8.73,8.03,-5.86,8.55,0.23,23,9.07,7.56,-11.37,8.52,-0.11
VIST,2022-07-26,Y,6.97,7.14,8.25,7.1,18.36,8.22,17.93,24,9.41,7.1,35.0,8.73,25.25
VIST,2022-10-25,Y,12.93,13.39,13.84,13.1,7.03,13.82,6.88,24,14.73,12.5,13.92,13.1,1.31
VIST,2023-02-23,Y,17.94,18.03,18.03,17.16,-4.34,17.39,-3.06,22,19.69,15.9,-11.37,16.28,-9.25
