Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
VIV,2013-07-24,Y,21.82,21.57,21.97,21.57,-1.14,21.9,0.36,23,22.38,20.66,-5.31,20.71,-5.08
VIV,2013-11-08,N,19.66,19.55,19.8,19.3,-1.83,19.8,0.71,7,19.89,19.09,-2.89,19.64,-0.05
VIV,2014-02-26,N,18.16,18.51,18.64,18.45,2.64,18.57,2.25,23,20.26,18.34,11.56,19.84,9.25
VIV,2014-05-09,N,21.08,21.11,21.11,20.45,-2.98,20.6,-2.27,7,21.54,20.45,-2.98,21.23,0.71
VIV,2014-07-31,N,20.49,20.25,20.42,19.94,-2.68,20.14,-1.65,15,20.48,18.19,-11.22,18.67,-8.88
VIV,2014-11-12,N,19.11,19.48,19.84,19.3,3.81,19.39,1.46,10,20.98,18.7,9.78,20.3,6.27
VIV,2015-02-25,N,18.82,19.01,19.11,18.55,1.54,18.61,-1.11,23,19.11,15.24,-19.02,15.35,-18.43
VIV,2015-05-13,N,15.2,15.33,15.36,15.07,1.05,15.25,0.32,2,16.07,15.07,5.72,15.99,5.19
VIV,2015-07-30,N,13.32,13.61,13.64,12.63,-5.18,13.08,-1.8,22,13.64,11.25,-15.54,11.25,-15.54
VIV,2015-11-06,N,10.34,10.28,10.59,10.16,2.41,10.57,2.22,14,10.94,9.72,-5.99,10.71,3.57
VIV,2016-02-26,N,9.22,9.46,9.46,9.15,2.6,9.22,,21,12.34,9.15,33.83,12.24,32.75
VIV,2016-04-29,N,12.1,12.03,12.37,11.99,2.23,12.32,1.81,21,12.54,11.33,-6.36,11.65,-3.71
VIV,2016-07-28,N,14.63,14.7,14.76,14.48,-1.02,14.75,0.82,22,15.27,14.26,4.37,14.98,2.39
VIV,2016-10-27,N,14.0,14.18,14.39,14.08,2.78,14.26,1.85,22,14.65,12.35,-11.78,12.77,-8.78
VIV,2017-02-23,N,15.29,15.49,15.5,15.2,1.37,15.21,-0.52,22,15.5,14.16,-7.39,14.82,-3.07
VIV,2017-05-11,N,15.14,15.13,15.14,14.98,-1.05,15.04,-0.66,9,15.55,13.06,-13.73,14.11,-6.8
VIV,2017-07-27,N,14.6,14.72,14.87,14.65,1.84,14.86,1.78,23,15.45,14.65,5.82,14.92,2.19
VIV,2017-10-26,N,15.6,15.68,15.88,15.66,1.86,15.69,0.64,23,15.9,14.52,-6.92,15.11,-3.14
VIV,2018-02-22,N,15.87,15.98,16.05,15.71,1.13,15.71,-1.0,23,16.45,15.05,-5.16,15.09,-4.91
VIV,2018-04-26,N,14.14,14.06,14.31,14.03,1.2,14.29,1.06,23,14.47,12.19,-13.79,12.23,-13.5
VIV,2018-07-26,N,11.73,11.57,11.57,11.28,-3.83,11.3,-3.66,23,11.59,10.09,-13.98,10.24,-12.7
VIV,2018-10-31,N,11.58,11.75,11.77,11.38,-1.72,11.6,0.17,17,12.26,11.37,5.87,12.17,5.09
VIV,2019-02-21,N,12.73,12.66,12.68,12.49,-1.88,12.65,-0.62,23,12.93,11.7,-8.09,12.44,-2.27
VIV,2019-05-10,N,11.48,11.48,11.54,11.24,-2.09,11.47,-0.08,8,11.54,10.91,-4.96,10.93,-4.79
VIV,2019-07-25,N,14.25,14.01,14.09,13.76,-3.43,13.84,-2.87,23,14.09,12.57,-11.78,13.17,-7.57
VIV,2020-02-20,N,13.38,13.22,13.22,12.92,-3.43,13.01,-2.76,2,13.22,12.81,-4.26,12.88,-3.73
VIV,2020-05-07,N,8.66,8.4,8.5,8.12,-6.23,8.19,-5.42,9,8.51,7.75,-10.5,7.86,-9.23
VIV,2020-07-30,N,9.69,9.7,9.95,9.7,2.68,9.93,2.47,23,10.21,8.55,-11.76,8.76,-9.59
VIV,2020-10-29,N,7.28,7.12,7.34,7.08,-2.74,7.26,-0.27,23,8.88,7.08,21.97,8.41,15.52
VIV,2021-02-25,N,8.2,8.2,8.31,8.05,-1.82,8.1,-1.21,23,8.66,7.46,-9.02,8.54,4.14
VIV,2021-05-13,N,8.1,8.14,8.21,7.99,1.35,8.06,-0.49,9,8.38,7.99,3.45,8.21,1.35
VIV,2021-07-29,N,8.1,8.14,8.15,8.07,0.61,8.14,0.49,23,8.3,7.85,-3.08,8.22,1.48
VIV,2021-11-04,N,8.77,8.67,8.91,8.67,1.59,8.77,0.0,16,9.42,8.67,7.41,9.29,5.92
VIV,2022-02-22,Y,9.69,9.96,10.06,9.85,3.81,9.88,1.96,24,10.54,9.42,8.77,10.51,8.46
VIV,2022-05-12,N,9.51,9.55,9.76,9.54,2.62,9.73,2.31,9,10.34,9.54,8.72,10.32,8.51
VIV,2022-07-28,N,8.58,8.61,8.76,8.57,2.09,8.71,1.51,23,9.26,8.36,7.92,8.63,0.58
VIV,2023-02-23,N,7.67,7.7,7.72,7.61,-0.78,7.65,-0.26,23,7.72,7.26,-5.34,7.38,-3.78
