Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
VKTX,2016-05-12,Y,1.22,1.23,1.25,1.18,-3.27,1.18,-3.27,8,1.37,1.13,12.29,1.28,4.91
VKTX,2016-11-10,Y,1.15,1.15,1.14,1.1,-5.17,1.1,-5.17,8,1.24,1.1,6.89,1.14,-0.86
VKTX,2017-03-21,Y,1.24,1.21,1.27,1.18,-4.83,1.19,-4.03,31,1.49,1.11,20.16,1.39,12.09
VKTX,2017-05-09,Y,1.38,1.38,1.39,1.34,-2.89,1.37,-0.72,10,1.39,1.14,-17.39,1.25,-9.42
VKTX,2017-08-09,Y,0.94,0.91,1.05,0.91,12.9,1.01,8.6,9,1.05,0.91,11.7,1.01,7.44
VKTX,2017-11-08,Y,2.15,2.2,2.25,2.13,4.65,2.19,1.86,9,2.85,2.13,32.55,2.79,29.76
VKTX,2018-08-09,Y,9.89,9.72,10.73,9.7,8.49,10.36,4.75,8,10.9,9.7,10.21,10.45,5.66
VKTX,2018-11-07,Y,14.04,13.75,14.6,12.63,-10.04,13.14,-6.41,9,14.6,10.47,-25.42,11.64,-17.09
VKTX,2019-03-13,Y,8.25,8.06,8.1,7.51,-8.96,7.72,-6.42,2,8.1,7.51,-8.96,7.86,-4.72
VKTX,2019-05-02,Y,8.15,8.05,8.47,8.0,3.92,8.46,3.8,15,8.92,7.85,9.44,8.38,2.82
VKTX,2020-02-26,Y,6.23,6.01,6.44,5.85,-6.09,5.96,-4.33,23,6.45,3.26,-47.67,4.32,-30.65
VKTX,2020-04-30,Y,5.76,5.6,5.78,5.22,-9.37,5.45,-5.38,15,7.58,5.22,31.59,7.1,23.26
VKTX,2020-07-29,Y,6.61,6.7,7.81,6.7,18.15,7.54,14.06,23,8.05,6.7,21.78,7.93,19.96
VKTX,2020-10-28,Y,5.3,5.5,5.83,5.29,10.0,5.58,5.28,23,6.62,5.29,24.9,6.31,19.05
VKTX,2021-02-17,Y,8.27,8.27,8.3,7.53,-8.94,7.53,-8.94,2,8.3,7.53,-8.94,7.67,-7.25
VKTX,2021-04-28,Y,6.36,6.36,6.38,5.97,-6.13,6.26,-1.57,23,6.49,5.6,-11.94,5.99,-5.81
VKTX,2021-07-28,Y,5.86,5.98,6.38,5.86,8.87,6.06,3.41,23,6.38,5.52,8.87,5.8,-1.02
VKTX,2021-11-03,Y,6.58,6.68,7.04,6.41,6.99,6.72,2.12,16,7.04,5.56,-15.5,5.64,-14.28
VKTX,2022-02-09,Y,3.73,3.83,4.24,3.73,13.67,4.05,8.57,9,4.24,3.37,13.67,3.4,-8.84
VKTX,2022-04-27,Y,2.2,2.19,2.42,2.15,9.99,2.42,9.99,23,2.64,2.15,19.99,2.28,3.63
VKTX,2022-07-27,Y,3.18,3.14,3.26,3.0,-5.66,3.19,0.31,23,3.9,2.77,22.64,3.56,11.94
VKTX,2022-10-26,Y,4.15,4.3,4.34,4.03,4.57,4.03,-2.89,23,4.65,3.94,12.04,4.0,-3.61
VKTX,2023-02-08,Y,9.56,9.62,11.08,9.07,15.89,10.68,11.71,9,11.8,9.07,23.43,11.29,18.09
