Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
VOD,2011-11-08,N,28.21,28.64,28.7,28.3,1.73,28.63,1.48,10,29.28,26.89,-4.67,26.96,-4.43
VOD,2012-02-09,N,27.64,27.74,27.83,27.54,0.68,27.77,0.47,8,27.86,27.2,-1.59,27.79,0.54
VOD,2012-05-21,N,26.1,26.15,26.3,26.1,0.76,26.29,0.72,25,27.55,26.06,5.55,27.54,5.51
VOD,2012-07-20,N,28.84,27.94,28.31,27.91,-3.22,28.2,-2.21,0,28.31,27.91,-3.22,28.2,-2.21
VOD,2012-11-13,N,26.39,25.52,25.95,25.43,-3.63,25.69,-2.65,3,25.95,24.95,-5.45,25.27,-4.24
VOD,2013-02-07,N,26.89,27.19,27.23,26.97,1.26,27.1,0.78,8,27.65,25.89,-3.71,25.95,-3.49
VOD,2013-05-21,N,30.1,30.11,30.44,30.09,1.12,30.2,0.33,31,30.44,27.02,-10.23,27.27,-9.4
VOD,2013-07-19,N,29.12,29.41,29.64,29.29,1.78,29.53,1.4,0,29.64,29.29,1.78,29.53,1.4
VOD,2013-11-12,N,36.29,36.46,36.92,36.32,1.73,36.68,1.07,3,37.6,36.32,3.6,37.25,2.64
VOD,2014-02-06,N,35.4,36.24,36.8,36.07,3.95,36.67,3.58,17,39.57,36.07,11.77,39.0,10.16
VOD,2014-05-20,N,36.31,34.79,34.95,34.1,-6.08,34.21,-5.78,33,35.17,32.4,-10.76,32.53,-10.41
VOD,2014-07-25,N,33.51,34.38,34.46,34.08,2.83,34.16,1.93,23,34.69,32.02,-4.44,33.14,-1.1
VOD,2014-11-11,N,33.02,34.91,35.06,34.46,6.17,34.8,5.39,12,35.98,34.46,8.96,35.67,8.02
VOD,2015-02-05,N,35.75,35.33,35.35,35.04,-1.98,35.18,-1.59,16,35.95,34.6,-3.21,35.91,0.44
VOD,2015-05-19,N,36.51,35.03,36.31,34.83,-4.6,36.2,-0.84,32,39.46,34.83,8.07,36.95,1.2
VOD,2015-07-24,N,36.19,37.16,37.35,36.76,3.2,36.91,1.98,29,38.43,34.82,6.18,34.82,-3.78
VOD,2015-11-10,N,32.31,33.79,33.94,33.48,5.04,33.69,4.27,11,34.65,33.23,7.24,33.82,4.67
VOD,2016-02-04,N,31.58,30.78,31.04,30.57,-3.19,30.9,-2.15,16,31.32,28.83,-8.7,30.57,-3.19
VOD,2016-05-17,N,32.74,33.46,33.77,33.23,3.14,33.58,2.56,4,34.46,33.23,5.25,33.67,2.84
VOD,2016-07-22,N,30.11,31.27,31.46,31.23,4.48,31.34,4.08,29,31.69,30.53,5.24,31.31,3.98
VOD,2016-11-10,N,27.38,26.8,26.85,26.31,-3.9,26.48,-3.28,9,26.85,25.37,-7.34,25.69,-6.17
VOD,2017-02-02,N,24.8,24.6,24.76,24.57,-0.92,24.69,-0.44,16,25.36,24.31,2.25,25.11,1.24
VOD,2017-05-16,N,27.58,28.78,28.91,28.56,4.82,28.69,4.02,4,29.21,28.56,5.91,29.18,5.8
VOD,2017-07-21,N,29.56,29.94,29.96,29.64,1.35,29.77,0.71,1,29.96,29.64,1.35,29.77,0.71
VOD,2017-11-14,N,28.85,30.0,30.61,29.97,6.1,30.48,5.64,4,31.03,29.97,7.55,30.96,7.31
VOD,2018-02-01,N,32.22,30.87,30.9,30.47,-5.43,30.81,-4.37,16,31.84,27.87,-13.5,28.98,-10.05
VOD,2018-05-15,N,28.37,27.17,27.21,26.93,-5.07,27.04,-4.68,4,27.21,26.22,-7.57,26.41,-6.9
VOD,2018-07-25,N,23.68,23.41,23.58,23.25,-1.81,23.5,-0.76,24,24.97,22.47,5.44,22.78,-3.8
VOD,2018-11-13,N,18.59,20.1,20.48,19.98,10.16,20.08,8.01,4,20.87,19.52,12.26,19.6,5.43
VOD,2019-05-14,N,16.77,16.53,16.58,16.11,-3.93,16.34,-2.56,4,16.58,15.7,-6.38,15.74,-6.14
VOD,2020-05-12,N,14.02,14.92,15.21,14.75,8.48,14.93,6.49,4,15.38,14.18,9.7,14.73,5.06
VOD,2020-11-16,N,16.12,16.71,17.0,16.67,5.45,16.74,3.84,7,17.0,16.17,5.45,16.47,2.17
VOD,2021-05-18,Y,18.37,18.06,18.36,17.94,-2.34,18.28,-0.48,3,18.44,17.94,-2.34,18.37,0.0
VOD,2021-11-16,Y,16.1,15.62,15.73,15.49,-3.78,15.7,-2.48,3,15.82,15.46,-3.97,15.48,-3.85
VOD,2022-05-17,N,15.02,15.1,15.29,15.05,1.79,15.19,1.13,4,15.39,14.69,2.46,15.33,2.06
