Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
VREX,2017-05-04,Y,33.25,32.96,34.11,32.17,-3.24,33.9,1.95,15,35.17,32.17,5.77,34.22,2.91
VREX,2017-08-03,Y,30.5,29.92,30.33,27.8,-8.85,28.25,-7.37,15,30.89,27.8,-8.85,29.06,-4.72
VREX,2017-11-09,Y,34.2,35.0,36.0,34.33,5.26,34.67,1.37,8,37.15,33.91,8.62,36.72,7.36
VREX,2018-02-01,Y,43.43,37.32,38.29,34.35,-20.9,34.61,-20.3,15,38.29,32.67,-24.77,37.13,-14.5
VREX,2018-08-02,Y,38.49,27.75,29.47,27.31,-29.04,28.36,-26.31,15,29.84,27.31,-29.04,29.73,-22.75
VREX,2018-11-13,Y,26.11,24.99,25.82,23.91,-8.42,24.55,-5.97,3,26.38,23.91,-8.42,26.29,0.68
VREX,2019-02-05,Y,29.02,30.45,32.5,30.45,11.99,32.41,11.68,10,32.5,30.08,11.99,31.42,8.27
VREX,2019-05-07,Y,33.12,32.0,35.0,30.13,-9.02,30.78,-7.06,10,35.0,28.13,-15.06,28.27,-14.64
VREX,2020-02-12,N,27.41,24.0,27.0,23.11,-15.68,25.9,-5.5,10,27.0,23.11,-15.68,25.1,-8.42
VREX,2020-05-13,N,25.32,20.5,21.62,16.92,-33.17,17.06,-32.62,3,21.62,16.86,-33.41,17.52,-30.8
VREX,2020-08-12,Y,16.0,13.1,13.29,11.28,-29.5,12.83,-19.81,9,13.64,11.28,-29.5,11.97,-25.18
VREX,2020-11-17,Y,14.53,15.87,16.29,14.09,12.11,14.15,-2.61,3,16.29,14.02,12.11,14.76,1.58
VREX,2021-02-04,Y,19.89,25.0,25.6,22.25,28.7,23.45,17.89,15,25.6,22.18,28.7,22.91,15.18
VREX,2021-05-04,Y,23.98,24.83,26.14,24.39,9.0,24.66,2.83,17,26.14,22.96,9.0,25.41,5.96
VREX,2021-08-03,Y,27.0,26.91,28.65,26.55,6.11,27.47,1.74,17,29.58,26.51,9.55,27.57,2.11
VREX,2021-11-16,Y,26.84,29.0,30.56,28.73,13.85,30.05,11.95,3,30.56,28.09,13.85,29.52,9.98
VREX,2022-02-08,Y,26.73,22.63,24.96,22.0,-17.69,24.57,-8.08,10,24.96,22.0,-17.69,23.56,-11.85
VREX,2022-05-03,Y,20.17,20.52,21.88,20.13,8.47,21.63,7.23,17,22.44,20.12,11.25,22.01,9.12
VREX,2022-08-02,Y,22.7,22.6,22.6,20.79,-8.41,21.88,-3.61,17,23.78,20.31,-10.52,23.35,2.86
