Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
VST,2017-08-04,N,16.18,16.18,16.69,15.92,3.15,16.66,2.96,15,17.85,15.92,10.32,17.54,8.4
VST,2017-11-03,N,19.12,19.12,19.37,18.96,1.3,19.23,0.57,15,19.48,18.22,-4.7,19.15,0.15
VST,2018-02-26,N,19.02,19.13,19.23,18.44,-3.04,18.98,-0.21,21,20.96,18.44,10.19,20.43,7.41
VST,2018-05-04,N,23.14,24.0,24.39,22.82,5.4,23.01,-0.56,15,24.39,22.6,5.4,23.01,-0.56
VST,2018-08-06,N,22.62,22.65,23.75,22.63,4.99,23.2,2.56,14,23.75,21.85,4.99,22.42,-0.88
VST,2018-11-02,N,23.1,24.0,24.84,23.75,7.53,24.39,5.58,15,25.21,23.02,9.13,23.67,2.46
VST,2019-02-28,N,26.15,25.98,26.5,25.62,-2.02,26.04,-0.42,16,26.75,24.57,-6.04,25.59,-2.14
VST,2019-05-03,N,27.25,27.56,27.86,26.59,-2.42,26.66,-2.16,15,27.86,24.03,-11.81,24.81,-8.95
VST,2019-08-02,N,21.55,21.75,22.36,21.35,3.75,22.04,2.27,15,23.74,21.35,10.16,23.69,9.93
VST,2020-02-28,N,20.59,20.43,20.43,18.75,-8.93,19.23,-6.6,22,21.08,11.3,-45.11,14.08,-31.61
VST,2020-05-05,N,18.97,20.68,20.68,18.68,9.01,18.72,-1.31,11,20.68,17.5,9.01,18.57,-2.1
VST,2020-08-05,N,18.76,19.0,19.39,18.09,-3.57,18.26,-2.66,17,20.4,18.09,8.74,19.1,1.81
VST,2020-11-04,N,18.39,18.6,18.88,18.06,2.66,18.34,-0.27,17,20.32,18.06,10.49,18.2,-1.03
VST,2021-02-26,N,22.76,18.66,19.2,17.11,-24.82,17.25,-24.2,22,19.63,16.2,-28.82,17.3,-23.98
VST,2021-08-05,N,18.91,18.4,18.66,17.85,-5.6,18.27,-3.38,16,18.91,17.7,-6.39,18.13,-4.12
VST,2021-11-05,N,19.21,20.0,20.79,19.95,8.22,20.5,6.71,15,20.79,19.2,8.22,20.05,4.37
VST,2022-02-25,N,21.68,21.68,22.43,21.36,3.45,21.9,1.01,22,23.48,21.36,8.3,22.41,3.36
VST,2022-05-06,N,25.41,26.0,27.1,25.75,6.65,26.62,4.76,15,27.1,22.89,-9.91,25.23,-0.7
VST,2022-08-05,N,25.62,25.53,25.73,24.31,-5.11,24.6,-3.98,15,26.12,24.31,-5.11,25.25,-1.44
VST,2022-11-04,N,23.23,23.16,23.87,22.43,-3.44,22.85,-1.63,15,24.99,22.39,7.57,22.91,-1.37
VST,2023-03-01,N,21.99,22.08,22.54,21.56,2.5,21.71,-1.27,17,27.29,21.18,24.1,24.84,12.96
