Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
VUZI,2015-03-20,Y,5.91,5.92,6.15,5.92,4.06,6.11,3.38,28,6.97,5.0,17.93,6.36,7.61
VUZI,2015-05-12,Y,6.18,6.3,6.3,5.62,-9.06,5.79,-6.31,3,6.3,5.41,-12.45,5.58,-9.7
VUZI,2015-08-13,Y,4.4,4.16,4.33,3.61,-17.95,4.11,-6.59,8,5.0,3.61,-17.95,4.05,-7.72
VUZI,2015-11-13,N,4.93,5.17,5.2,4.84,5.47,4.87,-1.21,7,6.3,4.76,27.78,6.13,24.34
VUZI,2016-02-09,Y,5.14,5.15,5.54,5.15,7.78,5.36,4.28,10,5.76,5.07,12.06,5.66,10.11
VUZI,2016-03-30,Y,5.85,5.24,5.59,5.2,-11.11,5.33,-8.88,16,5.74,5.01,-14.35,5.3,-9.4
VUZI,2016-05-10,Y,4.32,4.32,4.5,4.3,4.16,4.48,3.7,10,5.47,4.3,26.62,5.2,20.37
VUZI,2016-08-15,N,7.87,7.6,7.81,7.05,-10.41,7.51,-4.57,4,7.81,7.05,-10.41,7.29,-7.36
VUZI,2017-03-28,Y,5.85,5.8,5.84,5.75,-1.7,5.8,-0.85,24,6.3,5.5,7.69,5.9,0.85
VUZI,2017-05-10,Y,5.65,6.0,6.0,5.0,-11.5,5.35,-5.3,9,6.0,5.0,-11.5,5.85,3.53
VUZI,2017-08-14,Y,6.0,6.2,6.3,5.95,4.99,6.25,4.16,4,6.5,5.95,8.33,6.25,4.16
VUZI,2017-11-10,N,5.7,5.55,5.7,5.01,-12.1,5.6,-1.75,8,6.75,5.03,18.42,6.5,14.03
VUZI,2018-03-15,Y,7.45,7.35,7.7,7.0,-6.04,7.65,2.68,1,7.7,7.0,-6.04,7.65,2.68
VUZI,2018-05-10,Y,6.35,6.15,6.15,5.85,-7.87,5.9,-7.08,8,6.15,5.3,-16.53,5.55,-12.59
VUZI,2018-08-09,Y,6.8,7.25,7.35,6.5,8.08,6.6,-2.94,8,7.35,5.88,-13.52,6.25,-8.08
VUZI,2018-11-08,Y,6.14,6.16,6.2,5.84,-4.88,6.05,-1.46,8,6.2,5.67,-7.65,6.02,-1.95
VUZI,2019-05-09,Y,2.63,2.48,2.73,2.44,-7.22,2.65,0.76,8,2.89,2.37,9.88,2.57,-2.28
VUZI,2019-08-09,N,1.96,1.9,1.9,1.77,-9.69,1.86,-5.1,8,2.18,1.77,11.22,1.99,1.53
VUZI,2020-03-16,N,1.34,1.01,1.05,0.86,-35.82,0.92,-31.34,7,1.44,0.86,-35.82,1.16,-13.43
VUZI,2020-05-11,N,2.74,2.44,2.74,2.21,-19.34,2.72,-0.72,7,2.82,2.06,-24.81,2.4,-12.4
VUZI,2020-08-10,Y,3.88,4.0,4.0,3.45,-11.08,3.48,-10.3,11,4.34,3.24,-16.49,4.31,11.08
VUZI,2020-11-09,Y,3.79,3.65,3.77,3.4,-10.29,3.43,-9.49,11,4.04,3.4,-10.29,3.88,2.37
VUZI,2021-03-15,Y,22.22,20.85,22.66,18.67,-15.97,18.94,-14.76,4,29.59,17.97,33.16,28.81,29.65
VUZI,2021-05-10,Y,17.29,13.7,17.41,13.7,-20.76,16.92,-2.13,11,17.41,13.7,-20.76,16.0,-7.46
VUZI,2021-08-09,Y,13.72,11.55,13.07,11.2,-18.36,12.73,-7.21,11,13.58,11.2,-18.36,11.72,-14.57
VUZI,2021-11-08,Y,12.0,12.17,14.3,12.17,19.16,13.73,14.41,11,16.2,12.0,34.99,13.04,8.66
VUZI,2022-03-01,Y,5.47,4.89,5.88,4.88,-10.78,5.68,3.83,17,7.02,4.88,28.33,6.97,27.42
VUZI,2022-05-10,Y,4.45,3.99,4.47,3.88,-12.8,4.13,-7.19,10,5.97,3.88,34.15,5.07,13.93
VUZI,2022-08-09,Y,8.19,8.7,10.12,8.66,23.56,9.55,16.6,10,10.49,8.26,28.08,8.3,1.34
VUZI,2022-11-09,Y,4.25,4.66,4.66,4.35,9.64,4.49,5.64,9,5.19,4.35,22.11,4.62,8.7
VUZI,2023-03-01,Y,4.1,3.97,4.03,3.68,-10.24,3.93,-4.14,16,4.29,3.47,-15.36,3.87,-5.6
