Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
VZ,2002-01-31,N,46.08,46.3,46.61,45.7,1.15,46.35,0.58,15,47.2,43.02,-6.64,45.61,-1.01
VZ,2002-02-25,Y,46.69,46.85,47.51,46.58,1.75,47.01,0.68,18,48.7,46.15,4.3,47.7,2.16
VZ,2002-04-23,N,40.0,39.5,41.7,39.5,4.25,40.14,0.35,24,44.14,38.61,10.35,43.14,7.85
VZ,2002-07-31,Y,33.0,32.89,33.19,31.25,-5.3,31.36,-4.96,16,33.19,28.23,-14.45,31.69,-3.96
VZ,2002-10-25,N,36.89,37.0,37.0,35.22,-4.52,36.57,-0.86,21,40.74,35.22,10.43,39.31,6.56
VZ,2003-01-29,N,36.04,36.06,37.79,36.0,4.82,37.65,4.43,23,39.47,34.25,9.48,35.64,-1.13
VZ,2003-02-24,Y,35.45,35.02,35.76,34.45,-2.82,35.59,0.39,25,37.76,32.06,-9.56,37.53,5.86
VZ,2003-04-22,N,33.17,33.0,34.0,33.0,2.5,33.99,2.47,24,38.5,33.0,16.06,36.15,8.98
VZ,2003-07-29,N,35.97,36.6,36.25,35.1,-2.44,35.4,-1.61,17,36.44,34.2,-4.94,35.82,-0.44
VZ,2003-10-28,N,33.22,33.6,33.36,32.95,-0.84,33.08,-0.45,24,33.84,31.8,-4.3,32.2,-3.09
VZ,2004-01-29,N,36.76,37.09,37.09,37.09,0.89,37.09,0.89,22,39.2,36.25,6.63,37.18,1.14
VZ,2004-02-24,Y,38.09,38.11,38.33,37.88,0.63,38.02,-0.18,24,39.54,36.17,-5.04,37.47,-1.62
VZ,2004-04-27,N,37.74,38.0,38.07,36.86,-2.33,37.5,-0.63,24,38.2,35.6,-5.67,35.77,-5.21
VZ,2004-07-27,N,36.5,37.5,39.03,37.36,6.93,37.86,3.72,24,39.79,37.36,9.01,39.6,8.49
VZ,2004-10-28,Y,39.38,39.5,39.6,39.1,-0.71,39.1,-0.71,22,42.27,39.1,7.33,41.1,4.36
VZ,2005-01-27,N,36.52,36.25,36.29,35.72,-2.19,35.86,-1.77,22,37.11,35.08,-3.94,35.31,-3.31
VZ,2005-02-22,Y,35.38,35.4,35.61,35.13,-0.7,35.54,0.48,24,36.85,34.86,4.15,35.15,-0.65
VZ,2005-04-27,N,34.0,34.45,35.29,34.22,3.79,35.22,3.58,23,36.25,34.03,6.61,35.2,3.52
VZ,2005-07-26,N,34.02,34.38,34.4,34.1,1.11,34.13,0.32,24,34.71,32.77,-3.67,33.07,-2.79
VZ,2005-10-27,Y,30.76,31.25,31.82,30.75,3.44,31.7,3.05,22,32.2,30.1,4.68,31.7,3.05
VZ,2005-11-07,Y,30.55,30.55,30.83,30.44,0.91,30.66,0.36,11,32.2,30.4,5.4,31.7,3.76
VZ,2006-01-26,N,31.38,31.76,31.88,31.24,1.59,31.68,0.95,22,34.79,31.24,10.86,34.78,10.83
VZ,2006-02-21,Y,34.35,34.52,34.99,33.96,1.86,33.99,-1.04,24,34.99,33.17,-3.43,34.4,0.17
VZ,2006-05-02,Y,32.64,32.65,32.84,32.43,-0.64,32.64,,17,33.25,30.1,-7.78,30.9,-5.33
VZ,2006-08-01,N,33.82,33.79,33.84,32.6,-3.6,33.27,-1.62,17,34.51,32.6,-3.6,34.42,1.77
VZ,2006-08-10,Y,33.94,33.94,34.07,33.75,-0.55,34.07,0.38,8,34.51,33.75,1.67,34.42,1.41
VZ,2006-10-30,N,38.84,38.78,38.95,37.07,-4.55,37.65,-3.06,18,38.95,35.27,-9.19,36.04,-7.2
VZ,2007-01-29,N,37.83,37.42,38.2,37.27,-1.48,38.03,0.52,18,38.77,37.27,2.48,38.5,1.77
VZ,2007-03-05,Y,36.49,36.13,36.7,36.19,-0.82,36.47,-0.02,11,36.84,35.6,-2.43,36.32,-0.46
VZ,2007-04-30,N,37.89,38.25,38.49,37.69,1.58,38.18,0.76,18,42.87,37.69,13.14,42.59,12.4
VZ,2007-07-30,Y,41.51,41.51,43.29,41.75,4.28,42.62,2.67,18,43.78,39.27,5.46,40.79,-1.71
VZ,2007-08-09,Y,41.92,41.6,42.0,40.77,-2.74,41.33,-1.4,8,42.0,39.27,-6.32,40.79,-2.67
VZ,2007-10-29,N,45.6,45.8,46.1,45.64,1.09,45.99,0.85,18,46.13,42.08,-7.71,43.69,-4.18
VZ,2007-11-09,Y,42.77,42.8,43.2,42.4,1.0,42.8,0.07,7,44.13,42.4,3.17,43.69,2.15
VZ,2008-01-28,Y,38.11,38.47,39.22,37.79,2.91,38.71,1.57,18,39.49,35.82,-6.0,37.83,-0.73
VZ,2008-03-14,Y,33.82,33.34,34.95,33.15,3.34,34.61,2.33,7,36.29,33.15,7.3,36.11,6.8
VZ,2008-04-28,N,37.04,37.86,38.38,37.29,3.61,37.95,2.45,18,39.94,37.29,7.82,38.77,4.67
VZ,2008-05-12,Y,38.06,38.08,38.54,37.94,1.26,38.11,0.13,4,39.4,37.94,3.52,38.77,1.86
VZ,2008-07-28,N,34.45,34.07,34.33,33.35,-3.19,33.6,-2.46,18,35.64,33.35,3.45,34.96,1.48
VZ,2008-10-27,N,25.08,26.1,28.37,25.86,13.11,27.61,10.08,25,33.06,25.86,31.81,28.47,13.51
VZ,2009-01-27,N,30.99,29.7,30.22,28.96,-6.55,29.96,-3.32,24,32.2,27.62,-10.87,28.81,-7.03
VZ,2009-04-27,N,31.0,30.85,31.04,30.11,-2.87,30.54,-1.48,18,31.34,29.36,-5.29,29.61,-4.48
VZ,2009-07-27,N,31.5,31.3,31.57,30.52,-3.11,31.0,-1.58,25,32.69,30.0,-4.76,31.37,-0.41
VZ,2009-10-26,N,28.85,28.99,29.08,28.57,-0.97,28.64,-0.72,25,30.69,28.57,6.37,30.43,5.47
VZ,2010-01-26,N,30.68,30.4,30.53,29.75,-3.03,30.17,-1.66,24,30.53,28.31,-7.72,29.02,-5.41
VZ,2010-04-22,N,29.56,29.12,29.35,28.91,-2.19,29.28,-0.94,29,29.44,26.49,-10.38,27.96,-5.41
VZ,2010-07-23,N,27.0,27.82,28.18,27.49,4.37,28.02,3.77,28,30.38,27.49,12.51,29.37,8.77
VZ,2010-10-22,N,32.52,32.45,32.5,31.76,-2.33,32.09,-1.32,28,33.61,31.76,3.35,32.59,0.21
VZ,2011-01-25,N,35.24,35.13,36.59,34.88,3.83,35.79,1.56,24,36.81,34.88,4.45,36.61,3.91
VZ,2011-04-21,N,37.79,37.07,37.15,36.5,-3.41,36.9,-2.32,29,38.42,36.5,-3.41,37.15,-1.69
VZ,2011-07-22,N,37.57,37.01,37.17,36.43,-3.03,36.74,-2.2,28,37.17,32.28,-14.08,34.71,-7.61
VZ,2011-10-21,N,37.1,37.15,37.46,36.68,-1.13,37.42,0.86,0,37.46,36.68,-1.13,37.42,0.86
VZ,2012-01-24,N,38.4,38.0,38.14,37.29,-2.89,37.79,-1.58,24,38.54,37.07,-3.46,38.46,0.15
VZ,2012-04-19,N,37.65,38.11,38.6,37.95,2.49,38.15,1.3,1,38.9,37.95,3.29,38.72,2.84
VZ,2012-07-19,N,45.89,45.05,45.39,44.44,-3.15,44.54,-2.94,1,45.39,43.85,-4.44,44.49,-3.05
VZ,2012-10-18,N,44.72,44.94,46.42,44.75,3.8,45.78,2.37,1,46.42,44.75,3.8,45.16,0.98
VZ,2013-01-22,N,42.54,43.04,43.42,42.49,2.06,42.79,0.58,24,44.88,42.34,5.5,44.4,4.37
VZ,2013-04-18,N,49.54,51.05,51.67,50.77,4.29,50.91,2.76,1,52.35,50.77,5.67,52.25,5.47
VZ,2013-07-18,N,50.74,50.0,50.33,49.19,-3.05,49.97,-1.51,1,50.33,49.19,-3.05,49.95,-1.55
VZ,2013-10-17,N,47.25,48.57,49.24,48.12,4.21,48.9,3.49,1,50.06,48.12,5.94,50.01,5.84
VZ,2014-01-21,N,48.35,47.44,48.9,46.76,-3.28,47.33,-2.1,31,48.9,45.45,-5.99,47.27,-2.23
VZ,2014-04-24,N,47.43,47.4,47.49,46.07,-2.86,46.28,-2.42,22,49.3,45.85,3.94,49.07,3.45
VZ,2014-07-22,N,50.7,50.98,51.14,50.41,0.86,50.98,0.55,24,53.66,48.2,5.83,48.8,-3.74
VZ,2014-10-21,N,48.48,48.09,48.85,47.95,-1.09,48.69,0.43,32,51.73,47.85,6.7,49.5,2.1
VZ,2015-01-22,N,48.25,48.12,48.48,46.91,-2.77,47.8,-0.93,29,49.99,45.37,-5.96,48.97,1.49
VZ,2015-04-21,N,49.38,48.97,49.4,48.46,-1.86,49.17,-0.42,24,50.86,48.46,2.99,49.79,0.83
VZ,2015-07-21,N,48.1,46.98,47.35,46.57,-3.18,46.97,-2.34,31,48.21,45.66,-5.07,46.1,-4.15
VZ,2015-10-20,N,44.7,44.92,45.8,44.79,2.46,45.24,1.2,31,47.08,44.18,5.32,45.39,1.54
VZ,2016-01-21,N,44.42,45.0,46.33,44.43,4.29,45.87,3.26,29,51.2,44.43,15.26,50.86,14.49
VZ,2016-04-21,N,51.75,50.56,50.68,49.47,-4.4,50.03,-3.32,29,51.81,49.12,-5.08,49.66,-4.03
VZ,2016-07-26,N,55.87,55.85,56.25,54.69,-2.11,54.81,-1.89,24,56.25,52.16,-6.64,52.45,-6.12
VZ,2016-10-20,N,50.38,49.54,49.57,48.9,-2.93,49.14,-2.46,1,49.57,47.95,-4.82,48.2,-4.32
