Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
WMT,2002-02-19,N,60.03,59.37,60.2,58.8,-2.04,60.02,-0.01,24,63.75,58.6,6.19,63.75,6.19
WMT,2002-05-14,N,55.04,57.5,58.25,57.05,5.83,57.39,4.26,3,59.3,56.64,7.73,58.33,5.97
WMT,2002-08-13,N,48.41,48.41,50.65,47.45,4.62,48.71,0.61,3,54.79,47.45,13.17,53.79,11.11
WMT,2002-11-13,N,53.85,53.0,54.98,53.0,2.09,54.98,2.09,2,56.2,53.0,4.36,55.49,3.04
WMT,2003-02-18,N,49.15,49.07,49.79,48.31,-1.7,48.77,-0.77,3,49.79,47.9,-2.54,48.9,-0.5
WMT,2003-05-13,N,56.7,56.37,56.32,55.48,-2.15,55.49,-2.13,3,56.32,52.92,-6.66,52.92,-6.66
WMT,2003-08-13,N,58.8,58.73,58.65,57.85,-1.61,58.07,-1.24,2,58.65,57.75,-1.78,58.1,-1.19
WMT,2003-11-13,N,57.96,55.52,55.52,55.52,4.2,55.52,-4.2,8,55.95,54.36,-6.21,54.81,-5.43
WMT,2004-02-19,N,57.2,58.38,58.38,58.38,2.06,58.38,2.06,1,59.55,58.38,4.1,59.43,3.89
WMT,2004-05-13,N,55.06,55.25,55.25,55.25,0.34,55.25,0.34,8,56.08,54.14,1.85,55.09,0.05
WMT,2004-08-12,N,51.63,52.58,53.39,52.08,3.4,52.65,1.97,8,54.97,52.08,6.46,54.65,5.84
WMT,2004-11-16,N,57.7,57.0,57.15,56.66,-1.8,56.89,-1.4,3,57.35,55.16,-4.4,55.25,-4.24
WMT,2005-02-17,N,52.6,52.95,53.04,52.33,0.83,52.7,0.19,1,53.04,52.33,0.83,52.72,0.22
WMT,2005-05-12,N,48.6,46.8,47.87,46.6,-4.11,47.65,-1.95,8,47.97,46.6,-4.11,47.18,-2.92
WMT,2005-08-16,N,49.1,48.06,48.2,47.15,-3.97,47.57,-3.11,3,48.2,46.5,-5.29,46.58,-5.13
WMT,2005-11-14,Y,49.3,48.8,49.12,48.31,-2.0,48.78,-1.05,4,49.8,48.31,-2.0,49.5,0.4
WMT,2006-02-21,N,46.1,45.93,46.46,45.44,-1.43,45.48,-1.34,24,46.79,44.86,-2.68,46.69,1.27
WMT,2006-05-16,N,47.43,47.87,48.31,47.69,1.85,48.07,1.34,3,48.31,46.65,1.85,47.32,-0.23
WMT,2006-08-15,N,45.1,44.78,44.89,44.05,-2.32,44.55,-1.21,3,45.0,44.05,-2.32,44.49,-1.35
WMT,2006-11-14,N,46.32,47.83,48.2,47.19,4.05,47.66,2.89,3,48.2,47.19,4.05,47.5,2.54
WMT,2007-02-20,N,48.48,50.26,50.42,49.41,4.0,49.97,3.07,24,50.42,45.06,-7.05,46.21,-4.68
WMT,2007-05-15,N,47.84,47.84,48.1,47.41,-0.89,47.84,,3,48.1,46.98,-1.79,47.27,-1.19
WMT,2007-08-14,N,46.17,43.8,44.19,43.52,-5.73,43.82,-5.08,3,44.7,42.92,-7.03,43.49,-5.8
WMT,2007-11-13,N,43.32,45.0,46.35,45.0,6.99,45.97,6.11,3,47.08,45.0,8.67,46.34,6.97
WMT,2008-02-19,Y,49.66,49.3,49.97,49.01,-1.3,49.7,0.08,31,53.49,48.64,7.71,53.23,7.18
WMT,2008-05-13,Y,56.65,56.88,57.6,56.65,1.67,57.45,1.41,3,57.6,56.59,1.67,57.04,0.68
WMT,2008-08-14,Y,58.1,58.13,59.93,58.13,3.14,59.37,2.18,1,59.93,58.13,3.14,59.37,2.18
WMT,2008-11-13,Y,54.93,54.4,55.12,52.5,-4.42,52.71,-4.04,8,55.12,50.2,-8.61,52.92,-3.65
WMT,2009-02-17,N,46.53,48.94,50.0,47.3,7.45,50.0,7.45,3,50.67,47.3,8.89,50.02,7.5
WMT,2009-05-14,N,50.03,50.1,50.37,48.75,-2.55,49.1,-1.85,1,50.37,48.12,-3.81,48.15,-3.75
WMT,2009-08-13,N,50.51,51.83,52.0,50.55,2.94,51.88,2.71,8,52.25,50.55,3.44,51.36,1.68
WMT,2009-11-12,N,52.97,53.36,53.74,53.11,1.45,53.24,0.5,8,54.87,52.81,3.58,54.28,2.47
WMT,2010-02-18,N,54.06,53.2,53.5,52.91,-2.12,53.47,-1.09,1,53.58,52.91,-2.12,53.49,-1.05
WMT,2010-05-18,N,52.73,53.32,54.45,53.2,3.26,53.7,1.83,3,54.45,50.51,-4.21,51.37,-2.57
WMT,2010-08-17,N,50.41,50.79,51.62,50.66,2.4,51.02,1.21,3,51.62,50.0,2.4,50.22,-0.37
WMT,2010-11-16,N,53.95,54.57,55.35,54.24,2.59,54.26,0.57,3,55.35,53.56,2.59,54.39,0.81
WMT,2011-02-22,N,55.38,53.46,54.01,52.9,-4.47,53.03,-4.24,24,54.01,50.97,-7.96,51.52,-6.97
WMT,2011-05-17,N,56.06,55.56,56.29,55.24,-1.46,55.54,-0.92,3,56.29,54.95,-1.98,55.29,-1.37
WMT,2011-08-16,N,49.98,51.44,52.48,51.12,5.0,51.92,3.88,3,52.74,50.31,5.52,52.3,4.64
WMT,2011-11-15,N,58.89,57.97,58.05,57.23,-2.81,57.46,-2.42,3,58.05,56.26,-4.46,57.23,-2.81
WMT,2012-02-21,N,62.48,59.58,60.5,58.37,-6.57,58.6,-6.2,24,61.47,58.21,-6.83,60.84,-2.62
WMT,2012-05-17,N,59.19,61.34,62.5,61.25,5.59,61.68,4.2,1,62.63,61.25,5.81,62.43,5.47
WMT,2012-08-16,N,74.45,72.58,72.75,71.78,-3.58,72.15,-3.08,1,72.75,71.78,-3.58,71.98,-3.3
WMT,2012-11-15,N,71.31,69.66,69.69,67.84,-4.86,68.72,-3.63,1,69.69,67.84,-4.86,68.03,-4.59
WMT,2013-02-21,N,69.2,70.0,71.47,69.72,3.26,70.26,1.51,22,74.2,69.72,7.2,72.5,4.75
