Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
WYY,2007-05-10,Y,1.34,1.34,1.34,1.12,-16.41,1.14,-14.92,8,1.34,0.86,-35.82,1.03,-23.13
WYY,2007-08-09,Y,0.91,0.9,0.95,0.9,4.39,0.93,2.19,8,0.96,0.9,5.49,0.92,1.09
WYY,2007-11-12,Y,0.99,1.02,1.1,1.02,11.11,1.08,9.09,4,1.1,1.02,11.11,1.03,4.04
WYY,2008-04-07,Y,1.32,1.35,1.39,1.3,5.3,1.34,1.51,11,1.39,1.13,-13.63,1.29,-2.27
WYY,2008-05-20,Y,1.18,1.12,1.3,1.12,10.16,1.23,4.23,31,1.35,1.03,14.4,1.1,-6.77
WYY,2008-08-14,Y,0.85,0.8,0.83,0.79,-7.05,0.81,-4.7,1,0.83,0.79,-7.05,0.81,-4.7
WYY,2008-11-14,Y,0.28,0.28,0.3,0.23,-17.85,0.28,3.57,7,0.3,0.23,-17.85,0.24,-14.28
WYY,2009-03-31,Y,0.38,0.39,0.41,0.37,7.89,0.41,7.89,17,0.49,0.37,28.94,0.44,15.78
WYY,2009-05-18,N,0.48,0.63,0.65,0.52,35.41,0.57,20.83,32,0.67,0.45,39.58,0.57,20.83
WYY,2009-08-17,N,0.66,0.63,0.64,0.56,-15.15,0.61,-7.57,4,0.68,0.55,-16.66,0.62,-6.06
WYY,2009-11-16,Y,0.85,0.83,0.87,0.79,-7.05,0.85,,4,0.87,0.69,-18.82,0.81,-4.7
WYY,2010-03-31,Y,0.75,0.76,0.85,0.75,13.33,0.8,6.66,16,1.06,0.75,41.33,1.05,40.0
WYY,2010-05-17,Y,0.91,0.91,0.91,0.87,-4.39,0.9,-1.09,4,0.91,0.71,-21.97,0.77,-15.38
WYY,2010-08-16,Y,0.77,0.79,0.86,0.79,11.68,0.85,10.38,4,0.86,0.74,11.68,0.76,-1.29
WYY,2010-11-10,Y,1.4,1.45,1.48,1.37,5.71,1.41,0.71,9,1.48,1.14,-17.85,1.23,-12.14
WYY,2011-03-28,Y,1.25,1.33,1.34,1.18,7.2,1.22,-2.4,18,1.34,1.09,-12.79,1.14,-8.0
WYY,2011-05-16,Y,0.93,0.9,0.93,0.85,-8.6,0.88,-5.37,4,0.95,0.81,-12.9,0.88,-5.37
WYY,2011-08-15,Y,0.68,0.7,0.76,0.69,11.76,0.72,5.88,4,0.92,0.69,35.29,0.81,19.11
WYY,2011-11-14,Y,0.86,0.83,0.86,0.83,-3.48,0.85,-1.16,4,0.86,0.78,-9.3,0.78,-9.3
WYY,2012-03-29,Y,0.93,0.92,0.94,0.91,-2.15,0.93,,22,0.95,0.8,-13.97,0.87,-6.45
WYY,2012-05-15,Y,0.81,0.81,0.81,0.69,-14.81,0.69,-14.81,3,0.81,0.68,-16.04,0.7,-13.58
WYY,2012-08-14,Y,0.5,0.45,0.47,0.44,-12.0,0.44,-12.0,3,0.5,0.43,-14.0,0.49,-2.0
WYY,2012-11-14,Y,0.4,0.42,0.42,0.4,4.99,0.4,,2,0.42,0.4,4.99,0.41,2.49
WYY,2013-04-01,Y,0.65,0.72,0.74,0.63,13.84,0.65,,18,0.74,0.52,-20.0,0.56,-13.84
WYY,2013-05-15,Y,0.64,0.6,0.61,0.56,-12.49,0.6,-6.25,2,0.61,0.56,-12.49,0.56,-10.93
WYY,2013-08-14,Y,0.69,0.76,0.77,0.7,11.59,0.72,4.34,2,0.78,0.7,13.04,0.77,11.59
WYY,2013-11-14,Y,0.78,0.85,0.9,0.83,15.38,0.89,14.1,1,0.9,0.83,15.38,0.89,14.1
