Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
XENE,2015-03-12,Y,18.16,18.85,18.87,17.92,3.9,18.35,1.04,8,19.01,17.01,-6.33,18.57,2.31
XENE,2015-05-12,Y,14.66,14.03,14.86,13.25,-9.61,13.69,-6.61,3,14.86,12.96,-11.59,13.11,-10.57
XENE,2015-08-10,Y,9.61,9.18,9.98,9.16,-4.78,9.16,-4.78,11,11.0,8.92,14.34,10.16,5.61
XENE,2015-11-10,Y,8.15,8.88,8.88,7.86,8.95,7.88,-3.31,10,9.15,7.86,12.26,9.1,11.65
XENE,2016-03-08,Y,7.33,7.6,7.6,7.25,3.68,7.36,0.4,10,7.7,6.68,-8.86,7.15,-2.45
XENE,2016-05-10,Y,6.67,6.7,6.83,6.68,2.39,6.74,1.04,10,7.1,6.5,6.44,6.64,-0.44
XENE,2016-08-03,Y,7.36,7.49,7.49,7.41,1.76,7.41,0.67,16,8.5,7.07,15.48,8.03,9.23
XENE,2016-11-03,Y,7.7,7.7,8.05,7.55,4.54,7.65,-0.64,15,8.5,7.35,10.38,8.25,7.14
XENE,2017-03-08,Y,8.35,8.1,8.44,7.87,-5.74,8.4,0.59,9,8.65,7.87,-5.74,8.1,-2.99
XENE,2017-05-09,Y,4.15,4.2,4.25,4.09,2.4,4.15,,10,4.25,3.95,-4.81,4.0,-3.61
XENE,2017-08-03,Y,3.2,3.0,3.1,3.0,-6.25,3.0,-6.25,15,3.2,2.25,-29.68,2.95,-7.81
XENE,2017-11-07,Y,3.15,3.15,3.17,2.6,-17.46,2.6,-17.46,10,3.17,2.1,-33.33,2.4,-23.8
XENE,2018-08-07,Y,9.95,10.4,11.3,9.95,13.56,11.0,10.55,10,12.2,9.95,22.61,11.45,15.07
XENE,2018-11-06,Y,9.97,10.0,10.45,9.53,4.81,9.85,-1.2,10,10.45,7.77,-22.06,8.47,-15.04
XENE,2019-03-06,Y,8.78,8.79,9.65,8.6,9.9,9.3,5.92,9,10.0,8.6,13.89,9.49,8.08
XENE,2019-05-07,Y,9.5,9.08,9.59,9.05,-4.73,9.29,-2.21,10,10.0,8.75,-7.89,9.54,0.42
XENE,2020-03-10,N,12.12,12.36,13.83,12.36,14.1,12.86,6.1,11,13.83,7.0,-42.24,10.06,-16.99
XENE,2020-05-22,N,13.87,14.69,17.0,14.15,22.56,14.9,7.42,29,17.0,11.39,22.56,12.94,-6.7
XENE,2020-08-06,Y,11.3,11.2,11.68,10.82,-4.24,11.2,-0.88,15,12.06,10.11,-10.53,12.04,6.54
XENE,2020-11-05,Y,11.85,11.85,11.85,10.85,-8.43,10.97,-7.42,15,11.85,9.99,-15.69,11.04,-6.83
XENE,2021-03-01,Y,17.92,18.98,21.87,18.18,22.04,20.22,12.83,18,21.94,18.01,22.43,18.91,5.52
XENE,2021-05-11,Y,17.93,17.76,18.17,17.12,-4.51,17.43,-2.78,10,20.14,16.3,12.32,19.17,6.91
XENE,2021-08-11,Y,18.68,18.77,18.91,17.25,-7.65,17.86,-4.38,9,18.91,16.15,-13.54,16.44,-11.99
XENE,2021-11-10,Y,33.79,33.5,35.21,31.23,-7.57,31.69,-6.21,9,35.21,28.51,-15.62,28.99,-14.2
XENE,2022-03-01,Y,31.76,28.75,33.42,27.13,-14.57,32.74,3.08,17,33.42,26.87,-15.39,32.65,2.8
XENE,2022-05-10,Y,28.57,27.05,29.71,25.9,-9.34,26.94,-5.7,10,31.65,25.9,10.78,29.14,1.99
XENE,2022-08-09,Y,39.35,40.02,40.92,38.31,3.98,39.68,0.83,10,41.39,35.61,-9.5,37.0,-5.97
XENE,2022-11-08,Y,35.4,34.5,35.42,31.79,-10.19,33.06,-6.61,10,36.09,31.79,-10.19,34.32,-3.05
