Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
XOM,2002-01-23,N,38.02,38.5,39.17,38.5,3.02,38.9,2.31,23,39.96,37.6,5.1,38.9,2.31
XOM,2002-04-23,Y,41.35,41.05,41.17,40.2,-2.78,40.29,-2.53,24,41.17,38.68,-6.45,40.2,-2.78
XOM,2002-08-01,Y,33.65,33.85,34.25,32.79,-2.55,33.61,-0.11,15,37.36,32.28,11.02,36.85,9.5
XOM,2002-10-31,N,34.08,34.45,35.24,33.11,3.4,33.65,-1.23,15,35.85,33.0,5.19,34.85,2.25
XOM,2003-01-30,Y,33.22,33.4,34.36,32.99,3.4,34.15,2.76,22,35.1,32.32,5.62,34.18,2.85
XOM,2003-05-01,Y,35.47,35.75,36.09,35.47,1.71,36.04,1.57,15,36.21,35.06,2.05,35.45,-0.08
XOM,2003-07-31,Y,35.58,35.79,35.58,35.21,-1.03,35.33,-0.7,15,36.95,35.11,3.85,36.83,3.51
XOM,2003-10-30,N,37.81,36.29,36.29,36.29,4.02,36.29,-3.99,22,36.99,35.04,-7.32,35.34,-6.53
XOM,2004-01-29,N,40.81,41.47,41.47,41.47,1.61,41.47,1.61,22,42.45,40.04,4.01,42.03,2.98
XOM,2004-04-29,N,43.12,42.54,42.54,42.54,1.34,42.54,-1.34,22,44.0,41.59,-3.54,42.6,-1.2
XOM,2004-07-29,N,45.81,46.06,46.21,45.76,0.87,46.03,0.48,22,46.94,44.2,-3.51,45.25,-1.22
XOM,2004-10-28,Y,48.61,48.67,49.25,48.32,1.31,49.22,1.25,22,50.5,48.25,3.88,50.38,3.64
XOM,2005-01-31,Y,51.6,51.98,53.28,51.93,3.25,53.27,3.23,18,59.85,51.93,15.98,59.41,15.13
XOM,2005-04-28,Y,56.0,56.5,57.24,56.1,2.21,57.03,1.83,22,58.65,52.78,-5.74,54.01,-3.55
XOM,2005-07-28,Y,60.0,60.04,60.17,58.75,-2.08,58.75,-2.08,22,61.34,57.76,-3.73,58.82,-1.96
XOM,2005-10-27,Y,55.6,56.05,56.61,54.79,1.81,56.31,1.27,22,58.82,54.79,5.79,58.25,4.76
XOM,2006-01-30,Y,63.11,62.75,63.45,62.3,-1.28,62.75,-0.57,18,63.45,58.6,-7.14,60.55,-4.05
XOM,2006-04-27,Y,62.42,62.57,63.5,62.52,1.73,63.08,1.05,22,64.77,59.5,-4.67,60.45,-3.15
XOM,2006-07-27,Y,66.47,66.25,67.3,66.23,1.24,67.0,0.79,22,70.42,66.23,5.94,69.09,3.95
XOM,2006-10-26,Y,71.62,71.45,72.13,71.28,0.71,71.45,-0.22,22,74.97,70.01,4.67,73.08,2.03
XOM,2007-02-01,Y,75.08,75.0,75.79,74.45,0.94,75.54,0.61,15,76.0,74.23,1.22,75.29,0.27
XOM,2007-04-26,Y,80.55,80.23,80.75,79.88,-0.83,80.36,-0.23,22,83.33,79.05,3.45,83.26,3.36
XOM,2007-07-26,Y,88.23,87.91,88.5,85.49,-3.1,85.59,-2.99,22,88.5,78.76,-10.73,84.14,-4.63
XOM,2007-11-01,N,91.99,89.83,90.95,88.0,-4.33,88.5,-3.79,15,90.95,83.37,-9.37,85.1,-7.48
XOM,2008-02-01,N,86.4,87.7,87.86,84.85,-1.79,85.95,-0.52,14,87.86,80.36,-6.99,85.37,-1.19
XOM,2008-05-01,N,93.07,90.1,90.43,88.3,-5.12,89.7,-3.62,15,92.95,87.6,-5.87,92.67,-0.42
XOM,2008-07-31,N,84.38,81.81,82.55,80.19,-4.96,80.43,-4.68,15,82.55,76.14,-9.76,77.06,-8.66
XOM,2008-10-30,Y,75.05,74.37,77.36,73.25,3.07,74.12,-1.23,22,77.95,67.54,-10.0,75.81,1.01
XOM,2009-01-30,Y,76.48,76.06,77.12,75.66,-1.07,76.69,0.27,21,80.5,70.2,-8.21,71.23,-6.86
XOM,2009-04-30,N,68.44,68.64,68.73,66.22,-3.24,66.67,-2.58,15,71.23,65.59,-4.16,69.11,0.97
XOM,2009-07-30,N,71.43,70.3,71.52,69.91,-2.12,70.72,-0.99,22,71.52,66.09,-7.47,69.92,-2.11
XOM,2009-10-29,N,73.84,72.56,74.0,72.09,-2.36,73.95,0.16,22,75.4,71.04,-3.79,74.38,0.73
XOM,2010-02-01,Y,66.18,66.73,67.12,66.47,1.42,66.95,1.17,18,67.23,63.56,-3.95,65.87,-0.46
XOM,2010-04-29,N,69.19,68.45,69.66,68.23,-1.38,68.66,-0.76,22,69.66,58.46,-15.5,60.88,-12.01
XOM,2010-07-29,Y,60.34,60.15,60.51,59.6,-1.22,59.68,-1.09,22,62.99,58.55,4.39,58.89,-2.4
XOM,2010-10-28,Y,66.22,66.09,66.56,65.98,0.51,66.48,0.4,22,71.9,65.98,8.57,70.54,6.52
XOM,2011-01-31,Y,80.68,81.14,83.96,81.04,4.06,83.91,4.0,18,85.11,81.04,5.49,84.5,4.73
XOM,2011-04-28,Y,87.34,87.43,88.0,87.03,0.75,87.98,0.73,22,88.13,79.42,-9.06,81.56,-6.6
XOM,2011-07-28,N,83.31,81.73,82.45,81.14,-2.6,81.45,-2.22,22,82.45,63.47,-23.81,69.8,-16.21
XOM,2011-10-27,N,81.06,81.91,82.2,80.69,1.39,81.88,0.99,22,82.2,75.45,-6.93,77.9,-3.91
XOM,2012-01-31,N,85.49,84.92,85.34,83.46,-2.37,83.74,-2.04,17,86.44,83.19,-2.69,85.62,0.15
XOM,2012-04-26,N,86.85,85.28,86.2,85.15,-1.95,86.07,-0.89,22,87.52,81.03,-6.7,81.47,-6.19
XOM,2012-07-26,N,85.24,85.56,86.7,85.26,1.71,86.52,1.5,22,88.91,85.26,4.3,88.4,3.7
XOM,2012-11-01,N,91.17,90.25,91.67,90.2,-1.06,91.6,0.47,15,92.05,85.06,-6.7,86.45,-5.17
XOM,2013-02-01,N,89.97,90.44,90.5,89.36,-0.67,90.04,0.07,14,90.5,86.59,-3.75,88.36,-1.78
XOM,2013-04-25,N,89.43,88.89,88.9,87.65,-1.99,88.07,-1.52,22,91.88,87.48,2.73,91.76,2.6
XOM,2013-08-01,N,93.75,92.69,93.1,91.25,-2.66,92.73,-1.08,15,93.1,87.65,-6.5,87.91,-6.22
XOM,2013-10-31,N,88.81,89.45,90.96,89.2,2.42,89.62,0.91,15,95.29,88.27,7.29,95.27,7.27
XOM,2014-01-30,N,95.11,94.0,94.95,93.06,-2.15,93.99,-1.17,22,95.77,89.25,-6.16,95.03,-0.08
XOM,2014-05-01,N,102.41,101.96,102.39,101.2,-1.18,101.41,-0.97,15,103.45,100.32,-2.04,100.74,-1.63
XOM,2014-07-31,Y,98.94,98.62,99.55,98.18,-0.76,98.8,-0.14,15,100.43,97.63,1.5,99.03,0.09
XOM,2014-10-31,N,94.45,94.99,96.89,94.31,2.58,96.71,2.39,22,97.2,93.83,2.91,95.72,1.34
XOM,2015-02-02,N,87.42,87.85,89.59,87.5,2.48,89.58,2.47,18,93.45,87.5,6.89,89.92,2.85
XOM,2015-04-30,N,87.87,88.67,88.67,87.22,0.91,87.37,-0.56,15,90.09,86.4,2.52,87.35,-0.59
XOM,2015-07-31,N,83.01,81.67,81.67,78.93,-4.91,79.2,-4.57,21,81.67,72.06,-13.19,72.13,-13.1
XOM,2015-10-30,N,82.23,82.47,83.88,81.26,2.0,82.74,0.62,21,87.44,77.91,6.33,79.79,-2.96
XOM,2016-02-02,N,76.29,74.19,75.62,73.55,-3.59,74.59,-2.22,17,83.06,73.55,8.87,82.5,8.13
XOM,2016-04-29,N,88.03,88.68,89.78,87.74,1.98,88.4,0.42,21,90.4,87.23,2.69,89.74,1.94
XOM,2016-07-29,N,90.2,87.61,89.01,86.12,-4.52,88.95,-1.38,21,89.01,85.58,-5.12,87.8,-2.66
XOM,2016-10-28,N,86.92,85.28,86.36,84.14,-3.19,84.78,-2.46,21,87.99,82.76,-4.78,85.28,-1.88
XOM,2017-01-31,N,84.86,85.04,85.07,83.13,-2.03,83.89,-1.14,17,85.07,81.17,-4.34,81.76,-3.65
XOM,2017-04-28,N,81.26,82.46,82.49,81.56,1.51,81.65,0.47,22,83.23,81.4,2.42,81.93,0.82
XOM,2017-07-28,N,80.83,79.65,79.92,78.27,-3.16,79.59,-1.52,22,80.82,76.05,-5.91,76.64,-5.18
XOM,2017-10-27,N,83.47,83.0,84.24,82.01,-1.74,83.71,0.28,22,84.24,80.14,-3.98,80.24,-3.86
XOM,2018-02-02,N,89.07,84.27,85.14,82.16,-6.81,83.68,-5.09,15,86.01,73.9,-17.03,76.54,-14.06
XOM,2018-04-27,N,80.86,76.95,78.65,76.48,-5.41,77.79,-3.79,22,82.32,75.4,-6.75,81.3,0.54
XOM,2018-07-27,N,84.24,80.97,82.38,80.81,-4.07,81.92,-2.75,22,82.38,76.51,-9.17,78.26,-7.09
XOM,2018-11-02,N,80.67,81.76,82.45,80.23,2.2,81.95,1.58,15,83.75,75.91,-5.9,78.96,-2.11
XOM,2019-02-01,N,73.28,74.92,76.49,74.32,4.38,75.92,3.6,15,77.76,72.73,6.11,77.71,6.04
XOM,2019-04-26,N,82.22,80.27,80.63,79.56,-3.23,80.49,-2.1,22,80.63,75.17,-8.57,75.91,-7.67
XOM,2019-08-02,N,72.46,72.61,73.26,71.18,-1.76,71.75,-0.97,15,73.26,66.53,-8.18,68.3,-5.74
XOM,2019-11-01,N,67.57,68.39,69.61,68.31,3.01,69.6,3.0,15,73.12,68.18,8.21,69.19,2.39
XOM,2020-01-31,N,64.79,63.2,63.2,61.86,-4.52,62.12,-4.12,22,63.2,58.79,-9.26,59.13,-8.73
XOM,2020-05-01,N,46.47,45.63,46.39,43.0,-7.46,43.14,-7.16,15,47.15,40.2,-13.49,42.0,-9.61
XOM,2020-07-31,N,41.87,41.16,42.17,40.91,-2.29,42.08,0.5,22,46.42,40.71,10.86,41.01,-2.05
XOM,2020-10-30,N,32.97,32.41,33.14,32.01,-2.91,32.62,-1.06,22,39.12,32.01,18.65,36.94,12.04
XOM,2021-02-02,N,44.92,45.81,46.99,45.28,4.6,45.63,1.58,18,53.27,45.28,18.58,52.37,16.58
XOM,2021-04-30,N,58.94,58.33,58.89,57.16,-3.02,57.24,-2.88,22,64.02,57.16,8.61,58.92,-0.03
XOM,2021-07-30,N,58.93,58.88,58.88,57.32,-2.73,57.57,-2.3,22,59.06,52.1,-11.59,52.74,-10.5
XOM,2021-10-29,N,64.31,65.05,65.36,64.33,1.63,64.47,0.24,22,66.38,60.41,-6.06,60.67,-5.66
XOM,2022-02-01,N,75.96,76.45,81.51,76.27,7.3,80.83,6.41,18,83.08,76.27,9.37,77.36,1.84
XOM,2022-04-29,N,87.2,88.14,88.14,84.7,-2.86,85.25,-2.23,22,93.59,83.4,7.32,91.86,5.34
XOM,2022-07-29,N,92.64,94.45,97.52,94.1,5.26,96.93,4.63,22,97.52,86.28,-6.86,94.08,1.55
XOM,2022-10-28,N,107.55,109.46,111.21,108.12,3.4,110.7,2.92,22,114.66,107.57,6.61,112.08,4.21
XOM,2023-01-31,N,113.56,112.1,116.4,110.43,-2.75,116.01,2.15,18,119.63,109.83,5.34,111.28,-2.0
