Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
XOMA,2002-03-06,Y,127.8,132.6,134.1,127.5,4.92,130.8,2.34,9,136.35,127.5,6.69,128.25,0.35
XOMA,2002-05-08,Y,48.3,49.35,60.0,47.56,24.22,55.65,15.21,9,60.0,47.56,24.22,57.45,18.94
XOMA,2002-08-15,Y,72.75,72.15,90.15,72.0,23.91,84.9,16.7,1,90.15,72.0,23.91,84.9,16.7
XOMA,2003-03-11,Y,51.0,50.85,53.55,49.65,4.99,53.1,4.11,10,65.25,49.65,27.94,57.3,12.35
XOMA,2003-05-15,N,78.75,77.84,82.5,75.0,4.76,82.12,4.27,1,88.35,75.0,12.19,86.1,9.33
XOMA,2003-08-13,Y,124.05,122.4,124.95,120.9,-2.53,122.4,-1.33,2,126.6,120.9,-2.53,124.8,0.6
XOMA,2003-11-12,Y,108.75,108.45,109.2,106.5,-2.06,107.7,-0.96,9,109.2,92.25,-15.17,94.8,-12.82
XOMA,2004-03-15,Y,84.6,84.75,86.85,79.05,-6.56,81.0,-4.25,4,86.85,73.2,-13.47,77.25,-8.68
XOMA,2004-05-10,Y,58.35,57.3,70.05,57.3,20.05,58.05,-0.51,11,70.05,56.25,20.05,60.3,3.34
XOMA,2004-08-09,Y,39.6,38.54,45.15,38.25,14.01,44.85,13.25,11,53.85,29.1,35.98,30.15,-23.86
XOMA,2004-11-09,Y,29.4,29.25,35.85,27.9,21.93,33.15,12.75,10,35.85,27.9,21.93,31.05,5.61
XOMA,2005-03-14,Y,18.0,18.3,18.75,17.25,4.16,18.0,,4,18.75,16.05,-10.83,16.64,-7.5
XOMA,2005-05-09,Y,19.64,21.6,22.8,20.7,16.03,22.5,14.5,11,22.8,19.35,16.03,21.6,9.92
XOMA,2005-08-08,Y,24.0,24.75,25.65,24.45,6.87,25.65,6.87,11,26.1,20.7,-13.75,21.75,-9.37
XOMA,2005-11-02,Y,25.8,25.8,25.95,25.05,-2.9,25.05,-2.9,16,25.95,21.75,-15.69,22.2,-13.95
XOMA,2006-03-08,Y,26.55,28.35,29.4,27.3,10.73,28.35,6.77,9,29.7,27.0,11.86,27.75,4.51
