Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
XONE,2013-05-14,Y,48.6,42.41,45.8,40.15,-17.38,41.15,-15.32,3,45.8,37.7,-22.42,40.6,-16.46
XONE,2013-08-13,Y,75.67,65.68,70.84,63.52,-16.05,67.23,-11.14,3,70.84,63.0,-16.74,66.23,-12.46
XONE,2013-11-13,Y,59.0,61.0,64.7,59.5,9.66,60.59,2.69,2,64.7,59.01,9.66,59.75,1.27
XONE,2014-03-19,Y,43.75,38.79,40.93,38.5,-12.0,39.4,-9.94,2,40.93,35.14,-19.67,36.22,-17.21
XONE,2014-05-14,Y,30.83,27.27,28.4,25.45,-17.45,25.5,-17.28,2,28.4,25.45,-17.45,26.52,-13.97
XONE,2014-08-13,Y,29.55,27.19,30.25,26.43,-10.55,28.66,-3.01,2,30.25,26.43,-10.55,27.61,-6.56
XONE,2014-11-12,Y,20.04,19.0,21.5,18.88,7.28,19.8,-1.19,10,23.0,18.88,14.77,22.7,13.27
XONE,2015-03-16,Y,15.15,14.05,14.8,13.75,-9.24,14.05,-7.26,4,14.95,13.34,-11.94,13.72,-9.43
XONE,2015-06-11,Y,13.1,12.3,12.67,11.9,-9.16,12.28,-6.25,8,12.67,11.88,-9.31,12.31,-6.03
XONE,2015-08-10,Y,9.0,8.16,8.89,7.73,-14.11,7.81,-13.22,11,8.89,5.81,-35.44,6.53,-27.44
XONE,2015-11-09,Y,10.43,7.99,9.27,7.79,-25.31,7.84,-24.83,11,9.27,6.5,-37.67,7.37,-29.33
XONE,2016-03-22,Y,12.93,13.89,13.9,12.0,7.5,12.12,-6.26,24,14.75,11.14,14.07,13.33,3.09
XONE,2016-05-10,Y,10.48,10.11,10.62,9.41,-10.2,9.49,-9.44,10,10.62,9.02,-13.93,9.41,-10.2
XONE,2016-08-09,Y,11.57,11.9,13.43,11.89,16.07,12.7,9.76,10,14.0,11.89,21.0,13.82,19.44
XONE,2016-11-09,Y,11.72,10.95,12.04,10.81,-7.76,10.86,-7.33,9,12.04,10.42,-11.09,10.67,-8.95
XONE,2017-03-16,Y,10.18,9.25,10.45,9.25,-9.13,10.45,2.65,1,10.45,9.25,-9.13,10.45,2.65
XONE,2017-05-10,Y,11.31,12.55,13.49,11.7,19.27,13.04,15.29,9,14.43,11.7,27.58,13.72,21.3
XONE,2017-08-09,Y,9.88,9.55,9.69,8.35,-15.48,8.48,-14.17,9,9.7,6.72,-31.98,6.9,-30.16
XONE,2017-11-09,Y,10.0,9.73,10.48,9.73,4.8,10.32,3.2,8,11.85,9.73,18.49,11.5,15.0
XONE,2018-03-15,Y,9.11,8.65,8.69,8.1,-11.08,8.36,-8.23,1,8.69,8.1,-11.08,8.36,-8.23
XONE,2018-05-10,Y,7.02,6.7,6.86,6.26,-10.82,6.48,-7.69,8,6.88,6.26,-10.82,6.45,-8.11
XONE,2018-08-09,Y,8.01,6.7,7.16,6.53,-18.47,6.72,-16.1,8,7.63,6.34,-20.84,7.47,-6.74
XONE,2018-11-08,N,7.46,8.0,9.71,7.95,30.16,9.09,21.84,9,10.13,7.95,35.79,9.88,32.43
XONE,2019-03-14,N,9.42,9.82,10.68,9.71,13.37,10.57,12.2,2,10.68,9.71,13.37,10.13,7.53
XONE,2019-05-09,N,7.94,8.17,8.7,7.77,9.57,8.51,7.17,9,8.7,7.66,9.57,8.26,4.03
XONE,2019-08-07,Y,7.36,7.5,7.7,6.9,-6.24,6.9,-6.24,9,7.7,6.75,-8.28,7.42,0.81
XONE,2020-05-07,Y,7.93,8.0,8.4,7.17,-9.58,7.26,-8.44,8,8.4,7.13,-10.08,7.53,-5.04
XONE,2020-08-06,Y,9.85,10.0,10.44,9.62,5.98,10.11,2.63,15,10.73,9.46,8.93,9.98,1.31
XONE,2020-11-05,Y,10.43,11.39,11.5,9.8,10.25,10.07,-3.45,15,11.5,9.8,10.25,10.84,3.93
XONE,2021-03-11,Y,35.69,33.83,36.58,30.95,-13.28,36.39,1.96,8,38.79,29.1,-18.46,33.68,-5.63
XONE,2021-05-17,Y,19.36,17.54,20.2,17.14,-11.46,18.86,-2.58,4,20.76,17.14,-11.46,20.5,5.88
XONE,2021-08-11,Y,17.28,24.4,25.36,23.75,46.75,25.08,45.13,9,25.36,22.51,46.75,22.81,32.0
