Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
YELP,2012-05-02,Y,23.16,23.24,23.69,20.3,-12.34,20.64,-10.88,16,23.69,17.7,-23.57,18.64,-19.51
YELP,2012-08-01,Y,18.82,21.0,23.47,20.69,24.7,22.0,16.89,16,28.93,20.69,53.71,21.5,14.24
YELP,2012-10-24,N,24.0,25.58,27.65,25.55,15.2,25.77,7.37,23,27.65,16.32,-32.0,17.32,-27.83
YELP,2012-11-01,Y,24.03,24.16,24.16,20.32,-15.43,20.51,-14.64,15,24.16,16.32,-32.08,17.32,-27.92
YELP,2013-02-06,N,21.18,21.44,22.63,20.8,6.84,22.38,5.66,9,22.96,20.14,8.4,21.96,3.68
YELP,2013-05-01,Y,25.3,29.5,32.39,28.78,28.02,32.22,27.35,16,32.79,28.78,29.6,30.79,21.69
YELP,2013-07-31,Y,41.8,49.6,52.77,49.22,26.24,51.5,23.2,16,59.35,46.96,41.98,50.13,19.92
YELP,2013-10-29,Y,68.83,62.98,67.5,62.68,-8.93,67.05,-2.58,17,71.87,60.42,-12.21,70.77,2.81
YELP,2014-02-05,Y,75.23,82.64,91.49,82.38,21.61,89.46,18.91,16,96.96,82.38,28.88,91.82,22.05
YELP,2014-04-30,Y,58.32,63.25,66.69,61.7,14.35,64.02,9.77,16,66.69,49.11,-15.79,54.72,-6.17
YELP,2014-07-30,Y,75.59,71.56,71.66,66.36,-12.22,67.16,-11.16,16,77.52,64.7,-14.41,76.53,1.23
YELP,2014-10-22,Y,70.23,61.49,62.26,56.42,-19.66,57.17,-18.59,31,63.76,54.64,-22.19,58.84,-16.21
YELP,2015-02-05,Y,57.47,47.7,48.17,44.86,-21.94,45.11,-21.5,15,49.05,42.1,-26.74,47.79,-16.84
YELP,2015-04-29,Y,51.28,41.25,42.29,38.75,-24.43,39.39,-23.18,16,50.99,37.9,-26.09,46.89,-8.56
YELP,2015-07-28,Y,33.51,24.94,25.5,23.66,-29.39,25.06,-25.21,24,27.7,22.67,-32.34,23.09,-31.09
YELP,2015-10-28,Y,22.07,23.26,24.2,22.41,9.65,22.95,3.98,23,31.25,22.0,41.59,31.21,41.41
YELP,2016-02-08,Y,16.05,15.68,16.73,15.13,-5.79,15.69,-2.3,11,18.71,14.53,16.5,18.34,14.19
YELP,2016-05-05,Y,21.42,24.01,26.75,23.66,24.88,26.5,23.71,15,27.44,23.66,28.1,25.2,17.64
YELP,2016-08-09,Y,32.64,36.17,37.57,35.72,15.1,36.83,12.83,10,38.75,35.72,18.71,38.56,18.13
YELP,2016-11-02,N,32.47,36.11,38.24,35.01,17.73,35.71,9.94,16,38.82,34.53,19.51,38.29,17.88
YELP,2017-02-09,Y,41.49,37.53,38.42,35.7,-13.95,35.83,-13.64,8,38.42,34.15,-17.69,34.67,-16.43
YELP,2017-05-09,Y,34.7,27.91,29.24,26.93,-22.39,28.33,-18.35,10,29.69,26.93,-22.39,27.84,-19.76
YELP,2017-08-03,Y,31.37,38.07,40.46,37.85,28.97,40.04,27.66,15,42.97,37.85,36.97,41.81,33.28
YELP,2017-11-01,Y,46.03,46.9,47.78,45.02,3.8,45.98,-0.1,16,47.78,44.27,-3.82,46.82,1.71
