Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ZM,2019-06-06,Y,79.43,93.66,98.89,92.5,24.49,94.05,18.4,15,107.34,91.57,35.13,100.47,26.48
ZM,2019-12-05,Y,69.67,64.26,65.08,62.11,-10.85,62.74,-9.94,15,68.48,62.02,-10.98,66.93,-3.93
ZM,2020-03-04,Y,116.8,110.25,129.83,110.0,11.15,125.0,7.02,16,135.98,100.88,16.42,130.55,11.77
ZM,2020-06-02,Y,208.08,211.7,224.46,202.32,7.87,223.87,7.58,17,243.88,196.1,17.2,243.48,17.01
ZM,2020-08-31,Y,325.1,439.51,478.0,410.68,47.03,457.69,40.78,18,478.0,345.68,47.03,438.73,34.95
ZM,2020-11-30,Y,478.36,434.72,434.99,401.72,-16.02,406.31,-15.06,18,434.99,376.68,-21.25,406.01,-15.12
ZM,2021-03-01,Y,409.66,439.6,440.0,371.82,-9.23,372.79,-9.0,18,440.0,309.0,-24.57,326.26,-20.35
ZM,2021-06-01,Y,327.72,331.88,333.79,322.21,1.85,327.11,-0.18,17,379.89,318.25,15.91,374.24,14.19
ZM,2021-08-30,Y,347.5,294.0,295.87,288.3,-17.03,289.5,-16.69,18,306.26,273.5,-21.29,287.68,-17.21
ZM,2021-11-22,Y,242.28,218.05,218.61,195.8,-19.18,206.64,-14.71,25,235.97,174.66,-27.9,199.74,-17.55
ZM,2022-02-28,Y,132.6,128.57,136.0,122.13,-7.89,122.78,-7.4,18,136.0,94.51,-28.72,116.28,-12.3
ZM,2022-05-23,Y,89.33,94.56,97.09,87.33,8.68,94.34,5.6,25,116.9,87.33,30.86,110.0,23.13
ZM,2022-08-22,Y,97.44,84.56,87.59,81.13,-16.73,81.32,-16.54,25,87.59,77.33,-20.63,78.68,-19.25
ZM,2022-11-21,Y,80.26,75.18,77.44,71.9,-10.41,77.15,-3.87,25,81.69,68.88,-14.17,69.86,-12.95
ZM,2023-02-27,Y,73.72,75.95,76.98,72.89,4.42,74.59,1.18,18,76.98,64.46,-12.56,69.19,-6.14
